term,catch_all,category
barcode,barcode,bioinformatics
bioinformatics,bioinformatic,bioinformatics
bioinformatic,bioinformatic,bioinformatics
reference,reference,bioinformatics
asv,asv,bioinformatics
otu,otu,bioinformatics
variant,variant,bioinformatics
ncbi,ncbi,bioinformatics
sra,sra,bioinformatics
blast,blast,bioinformatics
aligned,align,bioinformatics
align,align,bioinformatics
accession,accession,bioinformatics
symportal,symportal,bioinformatics
coral,coral,core
symbiodinium,symbiodini,core
symbiodiniaceae,symbiodini,core
zooxanthellae,zooxanthellae,core
clade c,cladec,core
clade d,claded,core
cladocopium,cladocopium,core
durusdinium,durusdinium,core
scleractinian,scleractinian,core
shuffling,shuffl,functional
shuffled,shuffl,functional
shuffled,shuffl,functional
switching,switc,functional
switched,switc,functional
coexistence,coexist,functional
coexist,coexist,functional
cohabitation,cohabit,functional
cohabit,cohabit,functional
cooccurrence,cooccur,functional
cooccur,cooccur,functional
within colony,withincolony,functional
intra colony,intracolony,functional
community,community,functional
its2,its2,marker
its1,its1,marker
its,its,marker
18s,18s,marker
28s,28s,marker
5.8s,5.8s,marker
psbr,psbr,marker
lsu,lsu,marker
ssu,ssu,marker
dna,dna,method
extraction,extrac,method
extracted,extrac,method
extract,extrac,method
sequenced,sequenc,method
sequencing,sequenc,method
sequence,sequenc,method
genotyping,genotyp,method
genotyped,genotyp,method
qpcr,qpcr,method
pcr,pcr,method
dgge,dgge,method
gel,gel,method
electrophoresis,electrophoresis,method
primer,primer,method
symvar,symvar,method
its2rev2,its2rev2,method
itsd,itsd,method
itsintfor2,itsintfor2,method
itsdino,itsdino,method
amplicon,amplicon,method
illumina,illumina,method
miseq,miseq,method
purify,purif,method
purified,purif,method
library,library,method
pool,pool,method
taq,taq,method
polymerase,polymerase,method
adapter,adapter,method
ribosome,ribosom,method
ribosomal,ribosom,method
amplifiy,amplif,method
amplified,amplif,method
tissue,tissue,method
nucleic,nucleic,method
annealing,anneal,method
anneal,anneal,method
cycle,cycle,method
master,master,method
mix,mix,method
sample,sampl,method
sampled,sampl,method
samples,sampl,method
sanger,sanger,method
ngs,ngs,method
