sample_name,name,value,index,host_genus_meta,host_species_meta,published,sample_name_index
AGb_087,D1/D4/D6/D17-D2.2-D2,82171.0,1000.pdf,NA,NA,y,AGb_087-1000.pdf
AGa_028,D1/D4/D6/D17-D2.2-D2,38581.0,1000.pdf,NA,NA,y,AGa_028-1000.pdf
AGb_071,D1/D4/D6/D17-D2.2-D2,56214.0,1000.pdf,NA,NA,y,AGb_071-1000.pdf
AGa_013,D1/D4/D6/D17-D2.2-D2,26484.0,1000.pdf,NA,NA,y,AGa_013-1000.pdf
AGb_061,D1/D4/D6/D17-D2.2-D2,66030.0,1000.pdf,NA,NA,y,AGb_061-1000.pdf
OMc_091,D1/D4/D6/D17-D2.2-D2,348.0,1000.pdf,NA,NA,y,OMc_091-1000.pdf
OMd_053,D1/D4/D6/D17-D2.2-D2,694.0,1000.pdf,NA,NA,y,OMd_053-1000.pdf
OMc_089,D1/D4/D6/D17-D2.2-D2,339.0,1000.pdf,NA,NA,y,OMc_089-1000.pdf
AGa_051,D1/D4/D6/D17-D2.2-D2,50326.0,1000.pdf,NA,NA,y,AGa_051-1000.pdf
OMa_063,D1/D4/D6/D17-D2.2-D2,421.0,1000.pdf,NA,NA,y,OMa_063-1000.pdf
AGa_043,D1/D4/D6/D17-D2.2-D2,22724.0,1000.pdf,NA,NA,y,AGa_043-1000.pdf
AGb_118,D1/D4/D6/D17-D2.2-D2,118267.0,1000.pdf,NA,NA,y,AGb_118-1000.pdf
OMb_078,D1/D4/D6/D17-D2.2-D2,651.0,1000.pdf,NA,NA,y,OMb_078-1000.pdf
OMd_096,D1/D4/D6/D17-D2.2-D2,764.0,1000.pdf,NA,NA,y,OMd_096-1000.pdf
OMd_068,D1/D4/D6/D17-D2.2-D2,1114.0,1000.pdf,NA,NA,y,OMd_068-1000.pdf
OMd_048,D1/D4/D6/D17-D2.2-D2,401.0,1000.pdf,NA,NA,y,OMd_048-1000.pdf
OMa_044,D1/D4/D6/D17-D2.2-D2,618.0,1000.pdf,NA,NA,y,OMa_044-1000.pdf
AGc_162,D1/D4/D6/D17-D2.2-D2,92823.0,1000.pdf,NA,NA,y,AGc_162-1000.pdf
OMb_081,D1/D4/D6/D17-D2.2-D2,664.0,1000.pdf,NA,NA,y,OMb_081-1000.pdf
AGa_019,D1/D4/D6/D17-D2.2-D2,36792.0,1000.pdf,NA,NA,y,AGa_019-1000.pdf
OMb_020,D1/D4/D6/D17-D2.2-D2,533.0,1000.pdf,NA,NA,y,OMb_020-1000.pdf
AGc_140,D1/D4/D6/D17-D2.2-D2,44154.0,1000.pdf,NA,NA,y,AGc_140-1000.pdf
OMa_031,D1/D4/D6/D17-D2.2-D2,1086.0,1000.pdf,NA,NA,y,OMa_031-1000.pdf
AGa_017,C15h-C15k-C15p-C15q,315.0,1000.pdf,NA,NA,y,AGa_017-1000.pdf
AGa_017,D1/D4/D6/D17-D2.2-D2,18688.0,1000.pdf,NA,NA,y,AGa_017-1000.pdf
OMb_058,D1/D4/D6/D17-D2.2-D2,1327.0,1000.pdf,NA,NA,y,OMb_058-1000.pdf
OMa_060,D1/D4/D6/D17-D2.2-D2,818.0,1000.pdf,NA,NA,y,OMa_060-1000.pdf
OMe_013,D1/D4/D6/D17-D2.2-D2,484.0,1000.pdf,NA,NA,y,OMe_013-1000.pdf
ADe_038,D1/D4/D6/D17-D2.2-D2,385.0,1000.pdf,NA,NA,y,ADe_038-1000.pdf
OMb_095,D1/D4/D6/D17-D2.2-D2,1771.0,1000.pdf,NA,NA,y,OMb_095-1000.pdf
OMc_043,D1/D4/D6/D17-D2.2-D2,776.0,1000.pdf,NA,NA,y,OMc_043-1000.pdf
OMb_030,D1/D4/D6/D17-D2.2-D2,1059.0,1000.pdf,NA,NA,y,OMb_030-1000.pdf
OMc_002,D1/D4/D6/D17-D2.2-D2,850.0,1000.pdf,NA,NA,y,OMc_002-1000.pdf
OMb_071,D1/D4/D6/D17-D2.2-D2,528.0,1000.pdf,NA,NA,y,OMb_071-1000.pdf
AGb_080,D1/D4/D6/D17-D2.2-D2,39479.0,1000.pdf,NA,NA,y,AGb_080-1000.pdf
OMb_075,D1/D4/D6/D17-D2.2-D2,747.0,1000.pdf,NA,NA,y,OMb_075-1000.pdf
OMb_028,D1/D4/D6/D17-D2.2-D2,607.0,1000.pdf,NA,NA,y,OMb_028-1000.pdf
AGb_108,C15h-C15k-C15p-C15q,682.0,1000.pdf,NA,NA,y,AGb_108-1000.pdf
AGb_108,D1/D4/D6/D17-D2.2-D2,41472.0,1000.pdf,NA,NA,y,AGb_108-1000.pdf
OMe_008,D1/D4/D6/D17-D2.2-D2,405.0,1000.pdf,NA,NA,y,OMe_008-1000.pdf
OMa_047,D1/D4/D6/D17-D2.2-D2,1653.0,1000.pdf,NA,NA,y,OMa_047-1000.pdf
OMa_002,D1/D4/D6/D17-D2.2-D2,1405.0,1000.pdf,NA,NA,y,OMa_002-1000.pdf
ADe_015,D1/D4/D6/D17-D2.2-D2,625.0,1000.pdf,NA,NA,y,ADe_015-1000.pdf
OMb_042,D1/D4/D6/D17-D2.2-D2,788.0,1000.pdf,NA,NA,y,OMb_042-1000.pdf
OMe_029,D1/D4/D6/D17-D2.2-D2,1043.0,1000.pdf,NA,NA,y,OMe_029-1000.pdf
AGc_132,D1/D4/D6/D17-D2.2-D2,9373.0,1000.pdf,NA,NA,y,AGc_132-1000.pdf
ADe_027,D1/D4/D6/D17-D2.2-D2,623.0,1000.pdf,NA,NA,y,ADe_027-1000.pdf
ADe_029,D1/D4/D6/D17-D2.2-D2,765.0,1000.pdf,NA,NA,y,ADe_029-1000.pdf
AGa_060,C15h-C15k-C15p-C15q,2264.0,1000.pdf,NA,NA,y,AGa_060-1000.pdf
AGa_060,D1/D4/D6/D17-D2.2-D2,47394.0,1000.pdf,NA,NA,y,AGa_060-1000.pdf
AGa_025,D1/D4/D6/D17-D2.2-D2,4406.0,1000.pdf,NA,NA,y,AGa_025-1000.pdf
OMa_059,D1/D4/D6/D17-D2.2-D2,663.0,1000.pdf,NA,NA,y,OMa_059-1000.pdf
AGa_053,D1/D4/D6/D17-D2.2-D2,54799.0,1000.pdf,NA,NA,y,AGa_053-1000.pdf
AGb_105,C3/C3gulf,1351.0,1000.pdf,NA,NA,y,AGb_105-1000.pdf
AGb_105,C40f,127.0,1000.pdf,NA,NA,y,AGb_105-1000.pdf
AGb_105,D1/D4/D6/D17-D2.2-D2,33409.0,1000.pdf,NA,NA,y,AGb_105-1000.pdf
OMa_018,D1/D4/D6/D17-D2.2-D2,1029.0,1000.pdf,NA,NA,y,OMa_018-1000.pdf
AGa_041,D1/D4/D6/D17-D2.2-D2,72687.0,1000.pdf,NA,NA,y,AGa_041-1000.pdf
AGc_122,D1/D4/D6/D17-D2.2-D2,28474.0,1000.pdf,NA,NA,y,AGc_122-1000.pdf
AGb_084,C15h-C15k-C15p-C15q,8163.0,1000.pdf,NA,NA,y,AGb_084-1000.pdf
AGb_084,D1/D4/D6/D17-D2.2-D2,51382.0,1000.pdf,NA,NA,y,AGb_084-1000.pdf
OMd_072,D1/D4/D6/D17-D2.2-D2,853.0,1000.pdf,NA,NA,y,OMd_072-1000.pdf
AGb_081,C15h-C15k-C15p-C15q,2407.0,1000.pdf,NA,NA,y,AGb_081-1000.pdf
AGb_081,D1/D4/D6/D17-D2.2-D2,11467.0,1000.pdf,NA,NA,y,AGb_081-1000.pdf
OMe_035,D1/D4/D6/D17-D2.2-D2,296.0,1000.pdf,NA,NA,y,OMe_035-1000.pdf
OMe_038,D1/D4/D6/D17-D2.2-D2,279.0,1000.pdf,NA,NA,y,OMe_038-1000.pdf
OMb_070,D1/D4/D6/D17-D2.2-D2,568.0,1000.pdf,NA,NA,y,OMb_070-1000.pdf
OMc_069,D1/D4/D6/D17-D2.2-D2,634.0,1000.pdf,NA,NA,y,OMc_069-1000.pdf
OMe_027,D1/D4/D6/D17-D2.2-D2,523.0,1000.pdf,NA,NA,y,OMe_027-1000.pdf
OMd_060,D1/D4/D6/D17-D2.2-D2,238.0,1000.pdf,NA,NA,y,OMd_060-1000.pdf
KAb_043,C41-C1-C41b-C41g-C1b-C41m,8151.0,1000.pdf,NA,NA,y,KAb_043-1000.pdf
YBa_031,C41-C1-C41b-C41g-C1b-C41m,2441.0,1000.pdf,NA,NA,y,YBa_031-1000.pdf
KAa_020,C41-C1-C41b-C41g-C1b-C41m,2226.0,1000.pdf,NA,NA,y,KAa_020-1000.pdf
KAa_011,C41-C1-C41b-C41g-C1b-C41m,5612.0,1000.pdf,NA,NA,y,KAa_011-1000.pdf
YBb_040,C41-C1-C41b-C41g-C1b-C41m,2430.0,1000.pdf,NA,NA,y,YBb_040-1000.pdf
YBb_035,C41-C1-C41b-C41g-C1b-C41m,2915.0,1000.pdf,NA,NA,y,YBb_035-1000.pdf
YBb_037,C41-C1-C41b-C41g-C1b-C41m,4341.0,1000.pdf,NA,NA,y,YBb_037-1000.pdf
KAa_026,C41-C1-C41b-C41g-C1b-C41m,5833.0,1000.pdf,NA,NA,y,KAa_026-1000.pdf
YBb_036,C41-C1-C41b-C41g-C1b-C41m,3027.0,1000.pdf,NA,NA,y,YBb_036-1000.pdf
YBa_035,C41-C1-C41b-C41g-C1b-C41m,3783.0,1000.pdf,NA,NA,y,YBa_035-1000.pdf
