ITS2 type profile UID		108905	108854	108992	108923	108993	108853	108918	109880	108868	108869	109921	109888	109908	110176	109922	108925	108871	108878	109906	108895	108928	108994	109053	109961	110177	109531	109537	109529	109535	109987	109532	109116	109128	109135	109951	109284	109520	109534	109142	109270	109950	109119	109518	109519	109522	109524	109528	109538	109539	109943	109521	109525	109530	110111	109132	109194	109241	109957	110010	109526	110108	110009	109527	109619	109120	109121	110148	109141	109236	109369	109523	109533	109536	110058	109123	109139	109659	109198	110038	109273	109277	109942	109432	110046	109117	109122	109124	109127	109145	109663	109159	110036	110037	109228	109260	109286	109956	109476	109486	110002	110050	109554	109569	109579	109602	109603	109617	109626	109118	109126	109650	110165	110168	110178	109172	109184	109182	109196	110040	109231	109240	109257	109262	109267	109323	109357	110179	109947	109949	109485	109543	110062	109563	109665	109832	109826	109671	109695	109761	109673	109674	109693	109672	109699	109692	109827	109677	109694	109833	109666	109705	109709	109857	109664	109667	109676	109701	109711	109747	109828	109843	109837	109668	109669	109681	109686	109687	109710	109734	109772	109825	109834	109838	109849	109851	109861	109670	109685	109689	109690	109715	109743	109836	109840	109853
Clade		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
Majority ITS2 sequence		A1	A1	A1	A1/A1dl	A1/A1dl	A1	A1	A1	A1	A1	A1/A1j	A1	A1	A1	A1	A1/A1j	A1	A1j	A1	A1	A1	A10	A1et	C41	C3/C3c	C39	C3/C3gulf	C1dp/C1	C1/C41/C39	C1	C39	C3	C15	C39/C1	C1/C41e	C3	C15	C39	C41	C15r/C15	C1	C15h	C39	C39	C15/C15ia	C1	C41	C39	C41	C3	C15	C65a	C1/C1dp	C1/C3	C41	C3/C3c	C3	C41	C3	C3	C15	C3	C3cq	C1b	C1	C15h	C3/C3hp	C1	C3	C15h	C1/C41	C39	C3	C15	C41	C41	C3cq	C1/C41e	C3	C21	C15h	C3	C1/C1b	C41	C3	C3/C15h	C41	C1	C22b	C3hj	C1	C3	C15h	C15h	C15	C3	C1/C41	C116	C15	C3	C15	C163b	C65a	C3dx	C3hm	C3hn	C3ho	C40f	C1	C41	C3by	C41b	C65	C3c	C15	C3	C3	C22b	C3c	C116	C3	C15	C15	C39	C1	C15	C3	C1	C1	C1	C116	C116	C42.2	D1/D4/D6/D17	D1	D4/D1/D6/D5	D1	D5	D5/D4	D1	D1	D5	D1	D3a	D1	D5	D1	D5	D1	D1/D4	D1	D5	D5	D1	D5	D1/D6	D1	D5	D4/D5	D1	D1	D1	D4	D1	D1	D1	D1	D5	D5/D4	D1ci	D1	D1	D1	D1/D4	D1/D6	D1	D1	D6	D4	D1	D4	D5	D1	D1	D1
Associated species		S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	None	None	S. thermophilum	None	S. thermophilum	S. goreaui	S. goreaui	S. goreaui	None	S. thermophilum	None	S. goreaui	S. goreaui	S. thermophilum	None	None	None	None	S. goreaui	None	None	None	None	S. goreaui	None	None	None	S. thermophilum	None	None	S. goreaui	S. goreaui	S. goreaui	S. thermophilum	S. thermophilum	None	S. thermophilum	None	None	S. thermophilum	None	None	S. goreaui	None	S. thermophilum	S. goreaui	S. thermophilum	None	S. goreaui	None	S. thermophilum	None	None	S. goreaui	None	S. goreaui	S. thermophilum	None	None	S. thermophilum	S. goreaui	S. goreaui	S. thermophilum	S. thermophilum	None	S. goreaui	None	None	S. goreaui	S. thermophilum	None	None	None	None	S. goreaui	None	S. goreaui	None	None	None	None	None	None	None	None	None	S. goreaui	S. goreaui	None	None	None	S. thermophilum	None	None	None	None	S. thermophilum	None	S. thermophilum	None	None	None	S. goreaui	None	None	S. goreaui	S. goreaui	S. goreaui	None	None	None	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	None	None	S. trenchii	S. trenchii	None	S. trenchii	None	S. trenchii	None	S. trenchii	None	S. trenchii	S. glynnii,S. trenchii	S. trenchii	None	None	S. trenchii	None	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	None	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	None	S. glynnii,S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	None	None	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii	None	S. trenchii	None	None	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		24	15	14	11	10	5	5	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	33	23	21	21	16	16	15	15	14	14	14	13	11	11	11	10	10	9	8	8	8	8	8	8	8	8	7	7	7	7	6	6	6	6	6	6	6	5	5	5	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	68	16	15	14	12	12	11	10	10	9	8	7	7	6	6	6	5	5	5	5	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
ITS2 profile abundance DB		88	276	17	31	10	24	20	17	43	24	11	47	30	14	15	7	28	21	7	46	12	4	4	58	63	21	36	16	16	693	15	29	189	41	35	23	11	11	33	44	39	17	8	8	8	8	10	14	14	19	17	9	7	139	10	31	24	9	71	6	16	60	11	35	43	16	4	56	21	35	4	4	4	36	26	10	5	14	14	38	11	17	168	21	4	17	4	46	31	3	12	19	7	45	35	56	15	37	66	76	27	4	9	5	1	1	1	3	74	11	3	3	5	4	29	51	21	30	14	8	19	17	32	10	56	19	6	22	42	37	13	15	55	97	95	37	28	23	25	61	56	14	64	24	53	32	18	17	362	19	32	20	39	82	6	57	37	16	9	58	66	79	4	31	118	29	42	15	7	2	9	25	120	13	20	26	236	11	16	3	12	39	41	19	14
ITS2 type profile		A1-A1c-A1h-A1q	A1	A1-A1b-A1fk	A1/A1dl	A1/A1dl-A1fl	A1-A1b	A1-A1m-A1n	A1-A1c-A1h-A1cv	A1-A1m	A1/A1c-A1h	A1/A1j-A1c-A1h-A1dl	A1-A1g-A1dl	A1-A1bh-A1z	A1-A1ee	A1-A1dl-A1bh	A1j/A1	A1/A1g	A1j-A1bv-A1cb-A1-A1eg	A1-A1du-A1z	A1-A1z	A1-A1eq-A1ep	A10	A1et	C41-C1-C41b-C41g-C1b-C41m	C3/C3c-C3gulf	C39-C39q-C39b-C1-C39p	C3/C3gulf-C115d	C1dp/C1-C1do-C3hk-C1dm-C1dn	C1/C41/C39-C1b-C42bb-C3hl	C1/C3-C1c-C1b-C72k-C1w	C39-C39r-C1	C3/C3gulf	C15	C39/C1	C1/C41e-C1b-C41f-C41a-C41-C1f-C39-C1ae-C3	C3-C3c-C3gulf-C3bs	C15-C15hy	C39-C39q-C39b-C1-C39p-C39j-C39s	C41-C41e-C41b-C1-C41k	C15r/C15	C1-C1b-C41f-C39-C41-C41a-C1ae-C41e-C1f-C39a	C15h-C15k-C15p-C15q	C39-C1-C39m-C39n	C39-C1-C39o	C15/35762_C	C1-C1b-C42bb-C41v	C41-C41b-C1-C41e-C1b	C39-C1-C39c-C1b	C41-C1-C41b-C41j-C41g	C3-C3gulf-C3ar-C3as-C115d	C15/1191_C	C65a/C65	C1/C1dp-C1do-C1dm	C1/C1c/C3-C1b-C1al	C41/C1-C41b-C41g	C3/C3c-C3gulf-C3aq	C3-C3gulf-C3c-C3aj	C41-C1-C1b-C42bb-C39	C3-C3gulf-C3d-C3i-C115c-C115b-C3al-C3ak	C3-C3hi-C107-C65	C15-C15y-C15a-C15ab-C15v-C15dc-C15u-C15bo	C3-C3gulf-C3c-C3am-C3bs	C3cq-C3hj-C3ev	C1b	C1/C1c-C1b	C15h-C15k	C3/C3hp-C3gulf-C115d	C1/C39-C1b-C1af-C39a	C3-C3u-C3gulf	C15h/C15	C1/C41-C1b-C41u-C41t-C42bb	C39-C39q-C1	C3-C3gulf-C3c-C3bt-C39t	C15-C15y-C15a-C15z-C15aa-C15ab-C15w	C41	C41/C1-C41b	C3cq	C1/C41e-C1b-C41f-C41a-C41	C3-C3gulf-C3ap-C115b-C3ai	C21	C15h/C15t	C3-C3an-C3t-C3gulf	C1/C1b/C42.2/C3	C41/C1-C41b-C41c-C1b-C41d-C41e	C3-C3gulf-C3bs-C3hg-C3hd-C3hh-C3he-C3hf	C3/C15h-C3gulf	C41-C41e-C41b-C41s-C1	C1	C22b/C15/C15r	C3hj	C1-C1c-C72k	C3-C3u-C3gulf-C115d	C15h-C15o-C15k-C15dp-C116s	C15h	C15/C116	C3	C1/C41-C1b-C39-C3	C116	C15/C1	C3-C3au-C12a-C3bl-C29	C15-C15ai-C15by	C163b-C163c-C1	C65a	C3dx	C3hm	C3hn	C3ho	C40f	C1/C1c	C1/C41/C1b-C39	C3by	C41b	C65	C3c-C3-C3gulf	C15/C15ed	C3-C3au-C29-C3bk	C3-C3au	C22b/C15	C3/C3c-C3gulf-C3m-C3l-C3r-C3ao-C3aj	C116-C116f-C116n	C3/C3c-C3gulf-C3m-C3l-C3r-C3ao	C15-C15x-C15v-C15u-C15c-C15ab-C15d-C15dg	C15-C15x-C15v-C15ab-C15u-C15c-C15d	C39-C1-C39b-C39e	C42.2/C1-C1b-C3-C1au	C15/C15bo	C3-C3an	C1-C1b-C39-C41-C1af-C39a-C1ae	C1-C1b-C39-C41-C1ae-C41f-C1af-C39a	C1/C3/C1b	C39/C116-C1-C116l-C39k-C3cx	C116-C116f-C116d-C116e-C116q	C42.2	D1/D4/D6/D17-D2.2-D2	D1-D4-D4c-D1c-D4f	D4/D1/D6/D5-D2.2-D17-D2	D1-D17-D4-D6-D2.2-D2-D17b	D5-D5a-D4-D4a-D2	D5/D4	D1/D4	D1/D4/D4c-D2	D5-D4-D4a-D5d-D2	D1/D4-D4c-D1c	D3a/D3-D3c-D3d	D1/D17a-D4-D17-D1g	D5-D5a-D4-D5e-D4b-D4a	D1/D4/D2	D5-D4-D4a-D2-D5d-D5h-D5g	D1-D4-D4c-D1h-D1c-D2	D1/D6/D4-D2.2-D2	D1-D4-D4c-D1h	D5	D5-D5a-D4-D5f-D4a	D1/D4/D4c	D5-D4-D4a-D5i-D5b-D4b	D1/D4/D6	D1/D4-D4c-D4f	D5/D1-D4-D5a-D6	D5/D4/D9b	D1-D4-D6-D1b-D6c-D1d-D2.2-D10-D2	D1/D4-D4c-D4f-D1h	D1-D4-D4c-D6-D2-D4f	D4-D1-D6-D2.2-D2-D17-D17q	D1/D6-D4-D17-D2.2	D1-D4-D4c-D1c-D2	D1/D4-D1c	D1/D6/D4-D10-D1d	D5/D1-D5a-D4	D5/D4/D9b-D1bq	D1ci	D1/D1as-D4-D4c	D1-D4-D4c-D1c-D1h	D1-D4-D4c-D6-D1d-D2	D4/D1-D6-D6c-D6d-D1d	D1/D6-D4-D1d-D6c-D4d	D1/D4/D5-D4c-D2-D1h	D1/D4-D4c-D6	D1/D6	D4	D1-D17a-D4	D4/D5-D9b-D1bq-D5n	D5/D4/D4u-D9b	D1/D4-D4c-D2-D5-D1c	D1-D4-D1p-D6	D1-D4-D1c-D6
130703	AGb_087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82171.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130700	AGa_028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38581.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130701	AGb_071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56214.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
