sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3d	A1	23152_A	23153_A	23154_A	23155_A	A3	61701_A	22756_A	3205_A	63478_A	259661_A	22907_A	23171_A	23001_A	63479_A	259664_A	63480_A	259665_A	23172_A	23262_B	C3z	C15	C3	C1	C3.10	C3an	C3bq	C1b	C115	C3u	20879_C	C15ad	C116	C15ai	20868_C	C1u	20867_C	C3b	4687_C	529_C	20865_C	10874_C	22480_C	61723_C	21656_C	C116i	1010_C	7149_C	3890_C	1147_C	22914_C	C1al	17200_C	21791_C	776_C	735_C	7844_C	C115g	15308_C	14856_C	C15h	22608_C	4073_C	19804_C	21556_C	C21ab	12985_C	22617_C	20875_C	22913_C	C18a	C15bo	536_C	526_C	22920_C	21639_C	21554_C	22915_C	20896_C	22916_C	4710_C	23253_C	C3.2	20900_C	C15an	C115e	C15az	22771_C	22210_C	22800_C	C15m	542_C	C15r	17830_C	8749_C	10833_C	22801_C	1199_C	20884_C	22805_C	23159_C	8371_C	22802_C	22578_C	20877_C	10479_C	22803_C	C115a	C116l	22618_C	22923_C	22804_C	22919_C	5357_C	C93a	15105_C	3289_C	C15bp	22005_C	22933_C	1813_C	141_C	20910_C	22681_C	22786_C	1714_C	3925_C	21555_C	892_C	22806_C	5761_C	20880_C	9922_C	5501_C	671_C	23055_C	22949_C	22930_C	6394_C	C3db	719_C	22790_C	22082_C	18596_C	22792_C	23138_C	20873_C	22476_C	20882_C	C3cx	1194_C	20892_C	8938_C	11963_C	23156_C	3429_C	C15s	21565_C	22793_C	23160_C	10892_C	12054_C	C15cr	22621_C	21558_C	710_C	C15bq	23271_C	21557_C	23046_C	C15.8	23067_C	22243_C	8382_C	22807_C	8914_C	21562_C	11804_C	2441_C	20869_C	15890_C	20870_C	20871_C	23254_C	22947_C	22629_C	C116g	20881_C	10349_C	122929_C	22948_C	772_C	10124_C	22983_C	22627_C	22630_C	22984_C	22985_C	C3de	C3cl	2553_C	10125_C	2555_C	10128_C	10391_C	C1c	1593_C	1617_C	259662_C	4679_C	23239_C	22843_C	4709_C	10953_C	740_C	773_C	C15cb	C15cq	21561_C	1335_C	259663_C	1915_C	D1	D4	D2	D4c	D9	D2c	D2.2	D1h	D4f	D1c	63402_D	D6	21097_D	11298_D	16303_D	21099_D	D17c	21100_D	22379_D	21098_D	D1r	D17d	D17e	20623_D	945_D	D1m	D17k	10198_D	D1k	14506_D	63403_D	D5m	21107_D	21104_D	D17j	63442_D	63404_D	11438_D	D17l	9233_D	63409_D	14546_D	63415_D	20688_D	23012_D	937_D	22607_D	63405_D	63416_D	63406_D	63441_D	22588_D	D4q	13138_D	63407_D	2615_D	22383_D	D6c	63411_D	10203_D	22587_D	63408_D	63414_D	21120_D	22710_D	23016_D	21110_D	63410_D	910_D	D4d	21108_D	63430_D	D1u	21111_D	63418_D	63424_D	22658_D	18844_D	10201_D	14041_D	7487_D	23275_D	63417_D	936_D	63444_D	63413_D	10759_D	947_D	23019_D	14522_D	10757_D	10527_D	63440_D	1754_D	8418_D	22380_D	22782_D	15695_D	22661_D	22828_D	3878_D	22381_D	22831_D	2575_D	22783_D	12761_D	63501_D	14374_D	12527_D	66128_D	6882_D	11764_D	22382_D	22384_D	D2a	22655_D	22592_D	22819_D	22697_D	22784_D	22785_D	23075_D	13837_D	25562_D	15842_D	13995_D	G3c	G3d
74179	41-SEYITS2	68550	43680	983	43675	982	0	0	5	1	42235	30	0	0	1080	60	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-4.30972222	55.72444444	2016-04-01	12-13m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29094	0	5709	0	2498	1541	881	0	900	0	0	0	0	0	397	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	36	7	0	0	7	89	0	0	0	0	0	0	0	0	0	21	0	0	16	16	30	13	0	0	36	9	0	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	0	0	0	0	0	0
74166	28-SEYITS2	51504	38406	848	38406	848	0	0	0	0	37367	27	4	0	1492	8	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	gemmifera	-4.30972222	55.72444444	2016-04-01	12-13m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	25643	0	5209	0	1994	1539	921	0	406	0	0	0	0	0	369	0	292	0	0	0	176	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	11	0	0	0	5	33	0	0	0	0	0	0	0	0	0	5	0	0	0	4	5	7	0	0	11	7	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
74168	30-SEYITS2	56093	31482	841	31482	841	0	0	0	0	30268	15	0	0	1103	23	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	gemmifera	-4.30972222	55.72444444	2016-04-01	12-13m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18852	0	6515	183	1068	611	730	0	820	0	0	0	0	0	176	0	570	325	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74149	11-SEYITS2	62298	45802	1097	45802	1097	0	0	0	0	44319	23	4	0	2128	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	gemmifera	-4.28194444	55.07555556	2016-04-01	10-14m	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	26914	0	5978	0	4131	1812	1348	0	1571	0	0	0	0	0	713	0	769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	11	0	0	0	0	14	0	0	0	0	0	0	0	0	0	4	0	0	0	4	6	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74153	15-SEYITS2	63683	49631	930	49631	930	0	0	0	0	47867	17	12	0	2349	10	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	gemmifera	-4.28194444	55.07555556	2016-04-01	10-14m	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	33448	0	6128	0	1702	1281	1511	0	1009	0	0	0	0	0	507	0	443	411	0	0	0	0	0	574	0	0	256	0	0	0	0	0	0	293	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74152	14-SEYITS2	61526	46896	1009	46896	1009	0	0	0	0	44620	15	0	0	2343	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	gemmifera	-4.28194444	55.07555556	2016-04-01	10-14m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29646	0	6448	0	1887	1475	1550	0	781	0	0	0	0	0	715	0	314	452	0	0	494	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74177	39-SEYITS2	64389	50549	1102	50549	1102	0	0	0	0	48124	24	0	0	2635	4	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-4.30972222	55.72444444	2016-04-01	12-13m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24071	0	10562	0	4775	3435	1118	0	893	0	0	0	0	0	525	0	422	500	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	11	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	4	0	0	20	6	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74154	16-SEYITS2	8504	5181	212	5181	212	0	0	0	0	5059	19	0	0	263	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-4.28194444	55.07555556	2016-04-01	10-14m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3357	0	913	0	148	104	109	0	78	0	0	0	0	0	35	0	60	56	0	0	0	0	0	26	0	0	33	0	0	0	0	0	0	24	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74155	17-SEYITS2	29680	17056	535	17056	535	0	0	0	0	16596	18	4	0	943	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-4.28194444	55.07555556	2016-04-01	10-14m	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10644	0	2850	0	646	476	434	0	384	0	0	0	0	0	137	0	206	134	0	0	0	0	0	139	0	0	96	0	0	0	0	0	0	94	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74156	18-SEYITS2	55060	35773	1038	35773	1038	0	0	0	0	34710	24	0	0	1514	20	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-4.28194444	55.07555556	2016-04-01	10-14m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19417	0	6226	0	2366	1378	846	0	2027	0	0	0	0	0	344	0	467	282	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	216	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	13	0	0	0	0	9	0	0	0	0	0	4	0	0	0	6	0	0	6	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
