ITS2 type profile UID		39922	40056	40039	40111	39945	39929	39904	40163	40357	39912	40017	40211	40189	40220
Clade		C	C	C	C	C	C	C	C	C	C	C	D	D	D
Majority ITS2 sequence		C1	C15	C3	C1b	C1d	C1d	C3	C50c	C15	C15	C15	D2	D6	D4
Associated species		S. goreaui	None	None	None	None	None	None	None	None	None	None	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		5	4	3	3	2	2	1	1	1	1	1	5	3	1
ITS2 profile abundance DB		116	53	73	228	47	50	47	18	7	83	101	6	49	19
ITS2 type profile		C1-C1b-C1c-C42.2-C1bh-C1br	C15-C15by-C15ai	C50c/C50a/C3/C21-C3b-C50f	C3/C1b	C1d-C42.2-C1-C1k	C1d-C42.2-C1-C3cg	C3/C3b	C50c	C15-C15l-C15bp-C15n-C15.8	C15-C15l-C15n-C15bb-C15.8	C15	D2/D1-D2.2-D4	D1/D4/D6	D1/D4-D6-D6b
74223	E60	107702.0	0	0	0	0	0	0	0	0	0	0	0	0	0
74242	T4	184432.0	0	0	0	0	0	0	0	0	0	0	0	0	0
74241	T3	153666.0	0	0	0	0	0	0	0	0	0	0	0	0	0
74239	T1	74244.0	0	0	0	0	0	0	0	0	0	0	0	0	0
74240	T2	192968.0	0	0	0	0	0	0	0	0	0	0	21095.0	0	0
74224	E61	0	0	0	0	0	0	0	0	0	0	0	21264.0	0	0
74226	E63	0	0	0	0	0	0	0	0	0	0	0	55166.0	0	0
74225	E62	0	0	0	0	0	0	0	0	0	0	0	2709.0	0	0
74237	E94	0	0	0	0	0	0	6215.0	2045.0	0	0	0	12119.0	0	0
74230	E79	0	132139.0	0	0	0	0	0	0	0	0	0	0	0	0
74227	E76	0	99959.0	0	0	0	0	0	0	0	0	0	0	0	0
74229	E78	0	101694.0	0	0	0	0	0	0	0	0	0	0	0	0
74228	E77	0	50812.0	0	0	0	0	0	0	0	0	0	0	0	0
74238	E95	0	0	45053.0	0	0	0	0	0	0	0	0	0	0	0
74235	E92	0	0	51095.0	0	0	0	0	0	0	0	0	0	0	0
74236	E93	0	0	37531.0	0	0	0	0	0	0	0	0	0	0	0
74220	E16	0	0	0	0	0	0	0	0	0	0	0	0	64455.0	0
74219	E15	0	0	0	0	0	0	0	0	0	0	0	0	55067.0	0
74221	E17	0	0	0	0	0	0	0	0	0	0	0	0	114275.0	0
74216	E7	0	0	0	0	129195.0	0	0	0	0	0	0	0	0	0
74217	E8	0	0	0	5915.0	199335.0	0	0	0	0	0	0	0	0	0
74215	E6	0	0	0	4620.0	0	129646.0	0	0	0	0	0	0	0	0
74218	E9	0	0	0	12835.0	0	118109.0	0	0	0	0	0	0	0	0
74232	E82	0	0	0	0	0	0	0	0	109022.0	0	0	0	0	0
74233	E83	0	0	0	0	0	0	0	0	0	116483.0	0	0	0	0
74231	E81	0	0	0	0	0	0	0	0	0	0	101884.0	0	0	0
74222	E18	0	0	0	0	0	0	0	0	0	0	0	0	0	143005.0
74234	E84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		2-4-308-1-831-848	517-1574-523	32-37038-20940-80-41-35	4-32	106-1-2-109	106-2-1-108	32-80	37038	517-3402-518-519-534	517-518-519-534-522	517	855-853-10403-854	933-854-853	854-853-933-4747
Average defining sequence proportions and [stdev]		0.707[0.044]-0.103[0.020]-0.072[0.013]-0.053[0.015]-0.034[0.012]-0.030[0.010]	0.936[0.010]-0.040[0.004]-0.024[0.008]	0.477[0.043]-0.185[0.065]-0.170[0.012]-0.121[0.024]-0.033[0.007]-0.014[0.002]	0.776[0.070]-0.224[0.070]	0.701[0.092]-0.180[0.049]-0.092[0.024]-0.027[0.019]	0.588[0.190]-0.202[0.113]-0.145[0.051]-0.065[0.027]	0.796[nan]-0.204[nan]	1.000[nan]	0.790[nan]-0.076[nan]-0.068[nan]-0.043[nan]-0.023[nan]	0.826[nan]-0.058[nan]-0.051[nan]-0.036[nan]-0.030[nan]	1.000[nan]	0.626[0.040]-0.251[0.045]-0.071[0.014]-0.053[0.018]	0.387[0.004]-0.319[0.007]-0.294[0.011]	0.534[nan]-0.258[nan]-0.152[nan]-0.055[nan]
