sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	8366_A	A1z	A1dk	3964_A	C15	C1	C1d	C3	C42.2	C1b	C50c	C1c	C50a	C3b	C15by	C1br	C3cg	C3.10	C1bh	C15bn	832_C	C15ai	1857_C	1194_C	3568_C	C15bp	C21	835_C	735_C	C18a	141_C	C15l	834_C	C15bb	20900_C	C1k	C3cc	147_C	40909_C	146_C	10957_C	37336_C	183_C	31597_C	C1w	C1bi	21203_C	65_C	C15n	40961_C	181_C	76_C	5_C	59_C	46_C	63351_C	C21ab	160_C	C1al	117_C	C3cp	C15.8	20890_C	2628_C	849_C	23638_C	830_C	C50f	769_C	9950_C	70769_C	41886_C	24441_C	4073_C	114_C	C15cq	4134_C	21038_C	C1au	110_C	322_C	526_C	70785_C	C1j	1829_C	775_C	70770_C	563_C	8222_C	15814_C	15105_C	4710_C	C15bo	70761_C	54733_C	C15h	70760_C	118_C	561_C	307_C	20308_C	70771_C	4687_C	10701_C	130_C	21709_C	70788_C	21374_C	14272_C	111_C	560_C	70786_C	528_C	123_C	21931_C	196_C	5403_C	521_C	40890_C	C1t	126_C	5747_C	70772_C	70787_C	43222_C	317_C	C15ac	70762_C	268411_C	70768_C	37039_C	4104_C	C93a	20867_C	D1	D2	D6	11469_D	D1ak	D4	D2.2	70773_D	70782_D	D1h	70774_D	70775_D	32448_D	70776_D	70777_D	70778_D	10646_D	10556_D	D6b	70779_D	70758_D	70757_D	14506_D	70764_D	70780_D	32578_D	D4i	70781_D	15825_D	11250_D	70763_D	70766_D	70759_D	70783_D	23241_D	45776_D	2615_D	70784_D	19491_D	D4p	70765_D	27516_D	70767_D	D2c	10157_D	22785_D	D4c	2103_D	2595_D	21896_D	70755_D	29200_D	10757_D	10527_D	70756_D	D1m	19422_D
74223	E60	162104	124292	2309	124292	2309	0	0	0	0	118852	14	0	0	7431	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	millipora	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	0	72014	0	1795	6932	12580	0	6968	0	0	0	4247	0	0	4961	0	2844	0	0	0	0	0	0	1973	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	0	0	0	0	0	0	0	0	0	0	0	806	0	0	0	0	0	606	0	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74242	T4	278739	215960	3025	215878	3020	82	5	0	0	205698	18	0	0	12869	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	tenuis	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	0	144321	0	3596	5159	12453	0	17246	0	0	0	2565	0	0	2688	0	1719	0	0	0	0	0	0	4396	0	0	0	0	2525	0	0	0	0	0	0	0	0	0	0	0	2138	0	0	0	0	0	0	0	0	0	0	0	0	0	1575	0	0	0	0	0	1557	0	1326	0	0	0	0	0	0	0	0	0	1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74241	T3	230007	178654	2775	178247	2752	404	22	3	1	171782	16	0	0	12249	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	tenuis	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	0	108776	0	3305	8171	16287	0	10901	0	0	0	4507	0	0	5024	0	3473	0	0	0	0	0	0	2770	0	0	0	0	1801	0	0	0	0	0	0	0	0	0	0	0	1506	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	0	0	0	0	0	1066	0	813	0	0	0	0	0	0	0	0	0	917	1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74239	T1	124373	92213	1957	90234	1869	1972	87	7	1	85164	17	0	0	5820	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	tenuis	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	0	51234	0	3090	4269	8252	809	5407	0	0	0	2299	0	0	2783	0	1850	0	0	0	0	0	0	1280	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	0	0	0	506	0	396	0	0	0	0	0	0	0	0	0	432	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74240	T2	332406	255248	4413	255245	4412	3	1	0	0	244666	31	0	0	15941	2311	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	tenuis	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	0	132805	0	3234	11881	22271	0	11361	0	0	0	7300	0	0	7350	0	5005	0	0	0	0	0	0	3629	0	0	0	0	1924	0	0	0	0	0	0	0	0	0	0	0	1666	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	0	0	0	0	0	1275	0	1117	0	0	0	0	0	0	0	0	0	1347	1644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3997	14371	0	0	5848	1716	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	336	333	193	188	185	184	166	164	154
74224	E61	47701	33856	838	33856	838	0	0	0	0	32380	16	0	0	0	2482	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	millipora	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	22	142	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5658	12893	0	0	8189	1148	1565	0	0	0	0	0	859	0	0	0	389	0	0	0	218	320	0	315	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0
74226	E63	127453	91422	1609	91422	1609	0	0	0	0	87006	21	0	0	30	7678	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	millipora	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	39	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	5	0	15127	32787	0	0	24078	2701	4551	0	0	0	0	0	1195	0	0	0	996	0	0	0	685	729	0	657	0	0	0	0	0	570	0	941	440	0	0	0	450	0	0	0	0	510	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74225	E62	6789	4395	122	4395	122	0	0	0	0	4353	17	0	0	0	356	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	millipora	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	1605	0	0	1220	95	189	0	0	0	0	0	74	0	0	0	61	0	0	0	42	0	0	23	0	0	42	0	0	33	50	0	0	0	22	0	0	0	28	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
74237	E94	66840	44118	1458	36941	1164	7167	293	10	1	35446	45	0	0	5170	1527	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	millipora	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	0	185	0	4946	0	0	2045	0	1881	1269	0	0	0	441	0	0	0	0	488	0	239	0	352	0	0	533	462	0	0	0	524	0	486	207	257	165	0	236	497	0	0	0	228	159	0	205	88	230	0	85	146	227	227	233	0	0	187	0	88	0	0	108	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	2678	7962	0	0	4078	525	954	0	0	0	0	0	383	0	0	0	355	0	0	0	221	242	0	0	0	0	0	0	0	0	0	0	139	0	102	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74230	E79	192184	148617	1615	148589	1614	28	1	0	0	146065	10	0	0	9773	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Poritidae	Porites	lutea	-16.38800000	145.56600000	01.05.18	1-2m	0	0	0	0	0	123380	0	0	0	0	0	0	0	0	0	6009	0	0	0	0	2552	0	2750	0	2919	0	0	0	0	3069	0	0	0	0	0	0	0	0	0	0	0	1964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1601	0	0	0	0	0	0	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
