ITS2 type profile UID		100096	100089	101186	100175	100166	100506	100552	100539	100658	100548	100430	101167	100884	100890	100891	100767	100733
Clade		A	A	B	B	B	C	C	C	C	C	C	C	D	D	D	D	D
Majority ITS2 sequence		A3	A3	B1	B1	B1	C50c	C93a	C3u/C3	C50a	C66	C66	C66	D1	D1	D1	D1	D1
Associated species		S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	S. minutum,S. antillogorgium,S. pseudominutum	S. minutum,S. antillogorgium,S. pseudominutum	S. minutum,S. antillogorgium,S. pseudominutum	None	None	None	None	None	None	None	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii
ITS2 profile abundance local		7	1	6	6	1	5	3	3	3	1	1	1	6	4	4	3	2
ITS2 profile abundance DB		7	15	30	58	57	237	10	38	51	13	50	6	355	29	172	29	39
ITS2 type profile		A3-A6b-A3g-A6i	A6b/A3-A3g-A6d-A3ai-A6c	B1-B1o-B1p-B1g	B1-B1o-B1p	B1	C50c/C50a/C3-C50f-C3b-C50u-C3ad	C93a	C3u/C3	C50a	C66/C93a	C66	C66-C66ad-C93a-C66ac	D1/D4-D4c-D1h-D1c-D2	D1/D4/D5-D4c-D2	D1-D4c-D4-D6-D1h	D1-D4-D4c-D1h	D1/D4/D4c-D2
127079	7	0	0	25253.0	0	0	0	0	0	0	0	212.0	0	0	12259.0	0	0	0
127084	12	0	0	10396.0	0	0	0	197.0	45.0	38.0	0	0	0	0	0	0	0	9581.0
127083	11	0	0	2287.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2270.0
127074	2	5240.0	0	32067.0	0	0	0	0	0	0	0	0	0	28700.0	0	0	0	0
127076	4	4498.0	0	26492.0	0	0	0	0	0	0	0	0	0	23950.0	0	0	0	0
127075	3	6136.0	0	20694.0	0	0	0	0	0	0	0	0	0	18939.0	0	0	0	0
127080	8	0	0	0	14389.0	0	0	0	0	0	0	0	0	0	5462.0	0	0	0
127081	9	610.0	0	0	26437.0	0	0	0	0	0	0	0	0	0	11102.0	0	0	0
127082	10	0	0	0	58709.0	0	0	0	0	0	380.0	0	0	0	26161.0	0	0	0
127078	6	0	4388.0	0	60500.0	0	0	0	0	0	0	0	571.0	29215.0	0	0	0	0
127077	5	763.0	0	0	11401.0	0	0	0	0	0	0	0	0	14118.0	0	0	0	0
127073	1	3499.0	0	0	14422.0	0	0	0	0	0	0	0	0	16500.0	0	0	0	0
127095	23	0	0	0	0	0	7368.0	0	0	0	0	0	0	0	0	0	0	0
127094	22	0	0	0	0	0	12430.0	0	0	0	0	0	0	0	0	0	0	0
127097	25	0	0	0	0	0	37802.0	0	0	0	0	0	0	0	0	0	0	0
127093	21	0	0	0	0	0	44512.0	0	0	0	0	0	0	0	0	0	0	0
127096	24	0	0	0	0	0	46771.0	0	0	0	0	0	0	0	0	0	0	0
127086	14	0	0	0	0	0	0	237.0	62.0	38.0	0	0	0	0	0	5584.0	0	0
127087	15	0	0	0	0	0	0	315.0	54.0	31.0	0	0	0	0	0	5761.0	0	0
127089	17	1734.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2144.0	0	0
127091	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3647.0	0
127090	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874.0	0
127088	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655.0	0
127085	13	0	0	0	0	2321.0	0	0	0	0	0	0	0	0	0	2044.0	0	0
127092	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		22385-22421-22469-701108	22385-22421-22469-71238-699933-699936	4946-29213-29215-29275	4946-29213-29215	4946	37038-20940-32-35-37040-6396-80	869		20940	14180-869	14180	14180-42798-42799-869	853-854-2308-1730-1752-855	853-854-1730-1732-855	853-854-1730-1752-933	853-854-1730-1752	853-854-855-1730
Average defining sequence proportions and [stdev]		0.438[0.102]-0.313[0.029]-0.185[0.044]-0.064[0.030]	0.499[nan]-0.259[nan]-0.183[nan]-0.024[nan]-0.023[nan]-0.011[nan]	0.915[0.002]-0.040[0.004]-0.035[0.005]-0.009[0.002]	0.925[0.001]-0.040[0.001]-0.035[0.002]	1.000[nan]	0.410[0.066]-0.330[0.021]-0.083[0.033]-0.060[0.016]-0.049[0.008]-0.039[0.013]-0.029[0.011]	1.000[0.000]	0.597[0.110]/0.403[0.110]	1.000[0.000]	0.989[nan]-0.011[nan]	1.000[nan]	0.905[nan]-0.054[nan]-0.026[nan]-0.014[nan]	0.611[0.004]-0.316[0.004]-0.029[0.002]-0.018[0.001]-0.015[0.001]-0.011[0.001]	0.621[0.007]-0.331[0.005]-0.024[0.004]-0.014[0.002]-0.010[0.001]	0.753[0.021]-0.201[0.016]-0.020[0.004]-0.017[0.002]-0.009[0.002]	0.748[0.017]-0.219[0.014]-0.018[0.002]-0.015[0.002]	0.734[0.004]-0.212[0.002]-0.032[0.005]-0.022[0.003]
