sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A6b	A3g	A6i	A3ai	35861_A	701144_A	700112_A	1391937_A	364620_A	693524_A	A6d	1391940_A	A6c	1204577_A	1391938_A	A3d	701021_A	905679_A	22412_A	33881_A	477175_A	A3an	1149215_A	363630_A	B1	B1o	B1p	29308_B	29243_B	29218_B	44226_B	B1g	B1h	61925_B	29380_B	B1b	30130_B	29418_B	29322_B	29806_B	C50c	C50a	C3	C50f	C50u	42249_C	C3ad	C93a	C3b	40907_C	24506_C	37051_C	C3u	37042_C	C21	C66	49265_C	37332_C	40975_C	42136_C	37039_C	40890_C	C15gv	32944_C	41041_C	21311_C	1391936_C	21187_C	465715_C	22327_C	1272282_C	198806_C	48546_C	920855_C	C66ad	42017_C	42001_C	1391944_C	39053_C	38899_C	45637_C	21669_C	1391941_C	C66ac	770522_C	704904_C	C57d	493852_C	1167125_C	C66a	1237965_C	C116ai	27093_C	C66u	61764_C	61766_C	71871_C	42808_C	1391943_C	42806_C	61765_C	1391945_C	D1	D4	D4c	D10	D1h	44215_D	32740_D	D1c	D2	D1as	13758_D	44216_D	18764_D	D6	14229_D	53484_D	2131_D	D9	D5	4121_D	44233_D	24905_D	8839_D	2598_D	1742_D	D9b	2102_D	11828_D	1738_D	908_D	13983_D	25443_D	2795_D	1391942_D	D4i	132745_D	1391935_D	21096_D	D17i	21095_D	1391939_D
127079	7	7_GATCTG_L001_R1_001.fastq.gz	78f672215e4001783da9704049e20c0d7ffba49f322cd6160b2767b166892faa	7_GATCTG_L001_R2_001.fastq.gz	fc1325b6920cfa5d588461b504bfa1fc111ca4983b7d23ca745d541b2eb937cc	584781	42802	855	42802	855	0	0	0	0	41616	38	5	1725	37	1271	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23183	998	878	561	471	420	273	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	8	0	9	11	0	0	5	9	5	4	0	0	0	0	0	0	6	0	0	0	0	0	7565	4091	275	370	203	316	0	0	135	105	349	230	0	0	0	69	0	64	193	0	80	0	101	0	64	75	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0
127084	12	12_TACAAG_L001_R1_001.fastq.gz	22e2651e3802b844a5d656be511d3e466365ee4be87489d8f38874b279bc11a1	12_TACAAG_L001_R2_001.fastq.gz	5a51c343e5c3dccf7f7e86665314be99a6a40e3133f92c232c39af438ececb42	76811	22397	597	22342	590	52	6	3	1	21667	37	0	578	38	333	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9537	414	321	204	174	200	0	124	104	0	0	0	0	0	0	0	54	38	23	0	4	5	4	197	0	0	4	0	22	0	0	0	0	0	0	0	0	0	18	0	0	4	0	0	5	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	5	0	0	0	0	0	0	0	0	0	7006	2047	188	0	129	0	120	0	340	44	0	0	100	93	0	0	0	0	0	67	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0
127083	11	11_GTAGCC_L001_R1_001.fastq.gz	8fec8c35dc6e4ec6ecc7ae60c60203bc1f873b06e54a6f061d3d32f97b016f41	11_GTAGCC_L001_R2_001.fastq.gz	67fd1efb0d585e9579a79aff41e967f5fbf0b876bd385a974657a06265fb2340	16908	5020	135	5008	134	12	1	0	0	4918	23	0	164	0	55	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2085	77	100	56	53	38	0	25	28	17	0	10	0	0	0	0	15	0	0	0	0	0	0	47	0	0	0	0	16	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1673	477	54	0	0	0	0	0	66	0	0	0	22	21	0	0	0	0	0	0	0	12	0	0	0	0	0	0	9	0	0	0	0	0	0	12	0	0	0	0	0
127074	2	2_ACATCG_L001_R1_001.fastq.gz	530d2d6acbfc5486853a2c5b262c3fc330ad8b463822cf6ab8b9adc1a113ecf2	2_ACATCG_L001_R2_001.fastq.gz	31db758b2e3da232862ae1150e1c0cf67beccd805f547cfbbc61d2fc61470f5a	87384	75490	1270	75479	1268	8	1	3	1	73205	35	560	2660	0	1528	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	1897	1815	1148	380	188	142	0	64	75	92	80	0	68	0	39	0	0	0	0	0	0	0	0	0	0	29324	1427	1055	803	618	590	371	261	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17649	9025	485	1527	423	536	0	835	283	453	191	236	0	0	398	0	0	282	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127076	4	4_TGGTCA_L001_R1_001.fastq.gz	9647c0018356c5e22dfcba980a0265267b3a080e9a85dffb43cf0f7aa6913072	4_TGGTCA_L001_R2_001.fastq.gz	7cd2dd50961ce612a487132a1f03558f2f3fc9de4c70709f318cfb92e3773059	78353	62683	1103	62664	1098	7	1	12	4	60868	39	410	2122	0	1325	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	1747	1437	930	384	138	104	0	39	57	59	37	57	34	31	42	38	0	0	0	0	0	0	0	0	0	24230	1136	918	682	506	544	231	208	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14714	7478	443	1264	377	346	0	719	219	360	170	160	0	0	378	0	0	221	0	0	0	0	137	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127075	3	3_GCCTAA_L001_R1_001.fastq.gz	73eeedfe3c880e09f09d48bc7f2ff9ac4a1955d48b5690e3d9a0c0ffc42efe36	3_GCCTAA_L001_R2_001.fastq.gz	e6249d1c7eb91be5f29d07b3e2319ebe967bf838239a46e2ce27860451f0b5ab	64393	52991	1101	52973	1098	18	3	0	0	51333	48	652	1671	9	1190	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	2389	2031	1276	440	263	170	0	87	105	71	56	71	56	43	39	31	39	37	0	0	0	0	0	0	0	18955	875	653	538	400	356	261	211	155	116	0	0	0	0	0	0	40	24	0	0	5	5	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11603	5935	314	892	281	325	0	585	221	316	155	235	0	0	286	0	0	190	0	0	92	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127080	8	8_TCAAGC_L001_R1_001.fastq.gz	268a5e8390937d81cf249b41f4618bc301d67e1297c9fc1ea1512f13c0940bbc	8_TCAAGC_L001_R2_001.fastq.gz	555ed1a168c27d2916cbeee7f80bb90930a503f4526a20568bf3a0d1e2b79d0a	835169	22162	523	22119	514	3	1	40	8	21576	27	14	783	0	418	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	13304	578	507	282	259	242	0	0	0	0	0	0	0	0	0	0	28	15	0	5	0	0	4	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3444	1768	125	162	79	136	0	0	54	58	152	93	0	0	0	0	0	26	71	0	0	0	0	0	37	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127081	9	9_CTGATC_L001_R1_001.fastq.gz	90aa14616ff106e0dd5c2682d1b6d1e0cf317dba87d134fe315c4a79641b5e63	9_CTGATC_L001_R2_001.fastq.gz	9634e4d2cc20949a2f14c02471162c3485ecfc63efd638d9aeb3401bfadf95ed	127500	42435	753	42416	751	12	1	7	1	41247	35	18	1501	13	628	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	373	161	65	11	4	4	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24447	1044	946	558	458	485	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	4	0	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6840	3697	331	350	197	136	0	0	99	149	341	86	0	0	0	0	0	0	135	0	0	0	0	0	65	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127082	10	10_AAGCTA_L001_R1_001.fastq.gz	c44a025e898325b4799f00e39e5347d916a7f03e845b724beacc079ebbc4793b	10_AAGCTA_L001_R2_001.fastq.gz	7d41cc4d8950d986fba56f599877882797f3f772412ba1b29721ea04fb36f78c	149320	96226	1360	96209	1358	17	2	0	0	93200	37	0	3900	65	2381	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54251	2289	2169	1325	1059	954	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	20	0	0	0	0	0	16	0	14	0	0	0	17	4	4	8	0	0	0	0	6	5	0	0	7	0	4	0	16263	8765	535	709	462	620	0	0	253	255	672	472	0	0	0	170	0	0	345	0	131	0	174	0	0	133	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0
127078	6	6_ATTGGC_L001_R1_001.fastq.gz	79fce4255bb0ada9c3e03ba68018d7d817497ce1928ba7ddd307e9f7701746b9	6_ATTGGC_L001_R2_001.fastq.gz	bdc9da646b426477b392ec1263393238e809dedb364bc42f06c0092ded76f852	574315	107859	1704	107834	1699	22	4	3	1	104168	58	436	4205	115	3074	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	2190	1136	804	127	107	50	0	0	58	68	92	101	71	50	0	30	43	0	0	38	0	29	0	0	0	55827	2464	2209	1332	1157	1002	714	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	29	0	17	15	0	0	14	6	15	12	0	0	0	20	10	11	0	14	4	0	5	4	17890	9234	567	815	442	731	0	730	352	280	899	566	0	0	0	191	0	0	347	0	163	0	188	0	152	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0
127077	5	5_CACTGT_L001_R1_001.fastq.gz	c5da19d446eb4d543818461600e7607797da1ba4ab94f8bc5e154926dacccaf9	5_CACTGT_L001_R2_001.fastq.gz	cf138db4b48fb16339479e0620145781fa4c832219bd25e0bd78a3ee24eeb955	137120	29674	586	29660	583	8	1	6	2	28885	37	70	868	4	390	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	287	250	159	67	17	14	0	7	11	13	0	0	0	5	0	10	0	0	0	0	10	0	5	5	0	10568	444	389	297	251	193	64	0	0	63	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8609	4447	223	788	236	131	0	425	178	246	0	0	0	0	194	0	0	131	71	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127073	1	1_CGTGAT_L001_R1_001.fastq.gz	2e43958efe32fb0bd17533478882bcdbfb8f30fcb5a1a4e1ca9d9cfce168a2a0	1_CGTGAT_L001_R2_001.fastq.gz	9456d118e10797f83f697b91726c3ce6fbef57693f77536dd4f4383b7bff3ead	88792	38773	769	38756	765	7	1	10	3	37759	34	181	1122	0	727	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	1325	1129	729	316	72	47	0	47	25	22	0	0	0	33	25	15	0	0	0	0	0	0	0	0	0	13348	614	460	356	319	272	103	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9965	5351	313	812	229	183	0	480	162	247	123	116	0	0	220	0	0	144	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127095	23	23_CAAGTG_L001_R1_001.fastq.gz	895e2904c1b229b2ac8d4a3af47b629ea6b9e697c91b8626b2d75ab7e41eee23	23_CAAGTG_L001_R2_001.fastq.gz	99fe649296297733adab50443267b53e646a1e28c71f6c9134a2736727977650	12504	8802	240	8648	229	154	11	0	0	8258	21	0	0	801	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2752	2547	713	445	371	151	284	0	256	96	155	45	0	50	79	0	42	52	0	0	47	51	0	0	42	34	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127094	22	22_CTCTCT_L001_R1_001.fastq.gz	76381bb4600ccae66ffda7aa405776add2c78ed049590d804b6dbbd85d735e25	22_CTCTCT_L001_R2_001.fastq.gz	f05181c989a552473d9225c73323a510f671c2faaf5aca7e563ee886774e3c6c	23020	14990	376	14818	367	169	8	3	1	13967	20	0	0	1346	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	Merulinidae 	Platygyra 	daedalea	18.21166667	109.47500000	16.05.30	3-6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4089	3943	1474	981	713	190	711	0	519	280	351	77	0	70	169	0	83	94	0	0	0	66	0	0	68	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
