ITS2 type profile UID		51086	51950	51507	51315	51882	51361	51876	51230	51424	51428	51526	51294	51859	51993
Clade		A	C	C	C	C	C	C	C	C	C	C	C	D	D
Majority ITS2 sequence		A1	C1	C50b	C3bo/C3k	C15	C50b	C15	C3	C15	C15	C15	C3	D1	D1
Associated species		S. microadriaticum	S. goreaui	None	None	None	None	None	None	None	None	None	None	S. trenchii	S. glynnii
ITS2 profile abundance local		5	8	4	4	3	2	2	2	1	1	1	1	2	1
ITS2 profile abundance DB		9	391	9	11	39	35	16	105	27	35	46	137	5	2
ITS2 type profile		A1-A1v	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k	C50b/C3z-C3-C3.10	C3bo/C3k-C3bp	C15-C15ce-C15cc-C15n-C15cf-C15l-C15.8	C50b-C3-C50p-C3bm-C50f	C15-C15az-C15ai	C3/C3b	C15-C15dt	C15-C15cn	C15/C1b	C3	D1-D2.2-D4-D1m-D1c	D1-D1r
74210	42-NCITS2	0	37997.0	0	0	0	0	0	0	0	0	0	0	0	0
74209	41-NCITS2	0	22039.0	0	0	0	0	0	0	0	0	0	0	0	0
74211	43-NCITS2	0	22666.0	0	0	0	0	0	0	0	0	0	0	0	0
74212	44-NCITS2	0	36401.0	0	0	0	0	0	0	0	0	0	0	0	0
74214	46-NCITS2	0	35242.0	0	0	0	0	0	0	0	0	0	0	0	0
74207	39-NCITS2	0	33020.0	0	0	0	0	0	0	0	0	0	0	0	0
74208	40-NCITS2	0	19748.0	0	0	0	0	0	0	0	0	0	0	702.0	0
74199	02-NCITS2	44106.0	0	594.0	0	0	0	0	0	0	0	0	0	0	0
74202	05-NCITS2	55222.0	0	0	0	0	1856.0	0	0	0	0	0	0	0	0
74198	01-NCITS2	47142.0	2137.0	618.0	0	0	0	0	0	0	0	0	0	0	0
74201	04-NCITS2	42878.0	0	2518.0	0	0	0	0	0	0	0	0	0	0	0
74200	03-NCITS2	7075.0	0	5827.0	0	0	0	0	0	0	0	1267.0	0	438.0	0
74206	19-NCITS2	0	0	0	31178.0	0	0	0	0	0	0	0	0	0	0
74205	18-NCITS2	0	0	0	22589.0	0	0	0	0	0	0	0	1786.0	0	0
74204	17-NCITS2	0	0	0	20168.0	0	0	0	3199.0	0	0	0	0	0	0
74203	16-NCITS2	0	0	0	16545.0	0	0	0	3156.0	0	0	0	0	0	740.0
74196	26-NCITS2	0	0	0	0	33368.0	0	0	0	0	0	0	0	0	0
74195	25-NCITS2	0	0	0	0	36781.0	0	0	0	0	0	0	0	0	0
74197	27-NCITS2	0	0	0	0	30122.0	0	0	0	0	0	0	0	0	0
74213	45-NCITS2	0	0	0	0	0	29891.0	0	0	0	0	0	0	0	0
74193	14-NCITS2	0	0	0	0	0	0	27899.0	0	0	0	0	0	0	0
74191	11-NCITS2	0	0	0	0	0	0	23775.0	0	0	0	0	0	0	0
74192	13-NCITS2	0	0	0	0	0	0	0	0	32871.0	0	0	0	0	0
74194	15-NCITS2	0	0	0	0	0	0	0	0	0	34607.0	0	0	0	0
Sequence accession / SymPortal UID		883-1057	2-308-4-1-831-848-835-832	20905-20862-32-71	21164/37-21165	517-6417-21364-518-519-21365-534	20905-32-20922-35-20930	517-5080-523	32-80	517-769	517-596	517-4	32	853-10403-854-20860-2308	853-944
Average defining sequence proportions and [stdev]		0.808[0.004]-0.192[0.004]	0.650[0.042]-0.128[0.015]-0.101[0.022]-0.037[0.009]-0.023[0.011]-0.023[0.007]-0.019[0.004]-0.018[0.006]	0.501[0.089]-0.246[0.078]-0.209[0.031]-0.043[0.012]	0.511[0.136]/0.335[0.192]-0.154[0.057]	0.628[0.007]-0.133[0.033]-0.092[0.021]-0.053[0.001]-0.041[0.002]-0.040[0.009]-0.014[0.003]	0.678[0.147]-0.162[0.024]-0.066[0.058]-0.060[0.062]-0.034[0.002]	0.933[0.006]-0.034[0.002]-0.033[0.004]	0.791[0.018]-0.209[0.018]	0.972[nan]-0.028[nan]	0.984[nan]-0.016[nan]	0.954[nan]-0.046[nan]	1.000[nan]	0.682[0.080]-0.107[0.018]-0.077[0.056]-0.070[0.024]-0.064[0.019]	0.984[nan]-0.016[nan]
