sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A1v	8049_A	8366_A	21439_A	21440_A	63379_B	63380_B	21689_B	C15	C1	C3bo	C3k	C1c	C50b	C1b	C3	C3bp	C15cc	C15ce	C42.2	C1al	C50f	C15l	C50a	C1bh	C3dq	C3z	C72k	21166_C	C1br	C3a	21038_C	C15n	C3bm	C1cb	714_C	C15cf	C3ba	C50q	C29	21167_C	21039_C	C3b	C15m	63354_C	21555_C	21554_C	C15ai	21169_C	C15az	C1w	C15eh	526_C	834_C	21170_C	849_C	C50p	C15.8	430_C	C15bb	528_C	C15gb	C3.10	C15cq	21171_C	21172_C	21173_C	830_C	C15dt	10568_C	11963_C	21175_C	21174_C	21367_C	22210_C	C21	21176_C	20924_C	4134_C	21368_C	4687_C	8371_C	21178_C	21557_C	21230_C	710_C	21372_C	21374_C	21560_C	20923_C	C15cn	21366_C	21559_C	21463_C	C1ag	20927_C	18032_C	C3bq	58_C	20890_C	719_C	21959_C	C3cz	21449_C	C1bc	C15dr	20929_C	21040_C	21450_C	21561_C	C3an	22211_C	21562_C	21182_C	21181_C	C3bd	21183_C	21558_C	C15bd	21369_C	1871_C	21371_C	C15ga	2090_C	298_C	20926_C	22214_C	21588_C	C93a	C42a	C115	21179_C	20925_C	C15bn	C15w	22082_C	22212_C	C21ab	63347_C	20864_C	63365_C	21564_C	21177_C	141_C	2091_C	20948_C	21566_C	21507_C	63356_C	21644_C	21370_C	183_C	10479_C	21451_C	20867_C	C50v	21638_C	20875_C	21639_C	21141_C	20998_C	21641_C	21035_C	C1ci	742_C	21647_C	21645_C	C3cp	21642_C	20949_C	21643_C	5436_C	21043_C	C1x	C1bz	21052_C	21646_C	870_C	21772_C	20899_C	866_C	21051_C	864_C	21047_C	21034_C	21503_C	871_C	21504_C	20865_C	21773_C	21036_C	879_C	21506_C	20928_C	C18a	20944_C	21056_C	21037_C	5429_C	21778_C	20942_C	21781_C	20934_C	20935_C	20941_C	21502_C	20872_C	20900_C	21505_C	C15eo	D1	D2.2	D1c	D4	21098_D	D1m	21099_D	21691_D	21100_D	6835_D	21692_D	21694_D	1692_D	21693_D	D2c	2103_D	D17c	D1r	21695_D	20861_D	D17d	D17e	D17k	D17j	21124_D	22310_D	20623_D	21696_D	D9	22311_D	D6	21095_D	D4j	21096_D	1733_D	263995_D	63373_H
74210	42-NCITS2	74096	43926	1018	43926	1018	0	0	0	0	41936	18	0	0	1957	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-21.94927800	165.99093100	10.02.16	1-3	0	0	0	0	0	0	0	0	0	0	23784	0	0	4751	0	4431	596	0	0	0	1663	1148	0	0	0	843	0	0	714	0	986	0	912	0	0	825	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	230	0	0	244	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74209	41-NCITS2	54059	25894	731	25894	731	0	0	0	0	24493	20	0	0	1088	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-21.94927800	165.99093100	10.02.16	1-3	0	0	0	0	0	0	0	0	0	0	13911	0	0	2767	0	2736	388	0	0	0	898	674	0	0	0	470	0	0	367	0	505	0	423	0	0	385	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	181	0	0	125	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74211	43-NCITS2	49657	26817	645	26817	645	0	0	0	0	25474	19	0	0	1542	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-21.96745300	165.97179300	10.02.16	1-3	0	0	0	0	0	0	0	0	0	0	16874	0	0	2861	0	1286	439	0	0	0	516	627	0	0	0	167	0	0	577	0	225	0	275	0	0	160	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	200	0	0	233	0	202	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74212	44-NCITS2	72118	43788	1038	43788	1038	0	0	0	0	41092	19	0	0	2491	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-21.96745300	165.97179300	10.02.16	1-3	0	0	0	0	0	0	0	0	0	0	24316	0	0	5102	0	3342	530	0	0	0	1004	1366	0	0	0	513	0	0	822	0	705	0	695	0	0	597	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	296	0	0	247	0	245	0	0	0	0	0	0	0	0	0	0	0	199	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74214	46-NCITS2	68004	42808	1028	42805	1027	0	0	3	1	40159	20	0	0	2478	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-21.96745300	165.97179300	10.02.16	1-3	0	0	0	0	0	0	0	0	0	0	23092	0	0	4951	0	3406	666	0	0	0	1114	1256	0	0	0	520	0	0	792	0	735	0	743	0	0	632	0	0	0	0	0	0	563	0	0	0	0	0	0	0	0	277	0	0	257	0	235	0	0	0	0	0	0	0	0	0	0	0	184	0	297	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74207	39-NCITS2	109286	40556	1056	40556	1056	0	0	0	0	38195	20	0	0	1600	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-21.94927800	165.99093100	10.02.16	1-3	0	0	0	0	0	0	0	0	0	0	20923	0	0	4894	1052	3197	1115	0	0	0	1285	853	0	0	0	979	0	0	537	0	673	0	397	0	235	532	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	285	0	0	255	0	188	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74208	40-NCITS2	58217	24341	574	24341	574	0	0	0	0	23129	34	0	0	1098	17	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	-21.94927800	165.99093100	10.02.16	1-3	0	0	0	0	0	0	0	0	0	0	12024	0	0	2104	356	2470	547	0	0	0	912	413	0	0	0	822	0	0	393	0	560	0	365	0	0	463	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	166	0	0	132	0	104	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	84	36	26	9	37	8	0	0	0	0	0	0	0	16	0	14	9	0	0	13	13	7	6	0	0	0	0	0	0	4	0	0	0	0	0	0
74199	02-NCITS2	91126	48728	822	48728	822	0	0	0	0	48138	40	3152	0	150	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora 	pulchra	-21.94927800	165.99093100	10.02.16	1-3	35869	8237	1658	825	437	232	0	0	0	41	0	10	0	0	342	0	114	0	0	0	0	0	8	0	0	0	0	115	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	6	0	11	8	0	4	10	0	0	0	0	0	0	8	0	5	7	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	7	6	6	4	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74202	05-NCITS2	113202	62342	1057	62342	1057	0	0	0	0	61140	43	3301	0	506	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora 	pulchra	-21.94927800	165.99093100	10.02.16	1-3	44558	10664	1801	908	592	0	0	0	0	31	0	0	0	0	1451	0	269	0	0	0	0	0	29	0	0	0	0	105	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	29	0	39	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	36	0	22	38	18	0	11	13	0	31	0	0	0	0	0	0	0	0	0	0	15	11	18	17	16	0	0	15	14	12	12	12	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74198	01-NCITS2	99531	54578	922	54578	922	0	0	0	0	53616	35	3137	0	294	0	0	0	0	0	0	coral	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora 	pulchra	-21.94927800	165.99093100	10.02.16	1-3	37915	9227	1432	825	669	211	0	0	0	65	1355	0	0	234	348	215	148	0	0	0	99	58	0	0	0	72	0	103	29	0	76	0	0	0	42	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	23	0	0	0	0	0	0	0	0	19	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	51	0	42	0	40	0	34	0	0	0	20	19	0	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
