ITS2 type profile UID		42970	42971	42972	42846	43200	43010	42961	43315	43316	43310	43321	43125	43138	43137	43324	43099	43313	43319	43087	43083	43149	43123	43311	43092	43312	43322	43088	43095	43355	43127
Clade		C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
Majority ITS2 sequence		C3u/C3/C115/C27	C27/C3/C3u	C3/C3u	C27	C3/C3u/C115	C27	C15h	D1	D1/D4	D1	D1	D1	D1	D1/D4/D17f	D1	D1	D1	D1	D1	D1	D17f	D1	D1	D4	D1	D1	D4	D1	D1	D1
Associated species		None	None	None	None	None	None	None	S. trenchii	S. trenchii	S. trenchii	S. trenchii	S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii	None	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii
ITS2 profile abundance local		271	112	35	9	7	4	3	67	48	39	17	17	14	13	11	10	8	7	7	6	5	3	2	2	1	1	1	1	1	1
ITS2 profile abundance DB		271	112	35	12	7	9	17	67	50	45	24	42	14	13	56	26	71	36	24	31	5	72	49	28	332	35	45	37	20	23
ITS2 type profile		C3u/C3/C115/C27-C3bn	C27/C3/C3u-C115	C3/C3u-C115-C3ed	C27-C3	C3/C3u/C115-C27-C3b	C27-C21-C27a	C15h	D1-D4-D4c-D4f-D1l-D1c	D1/D4-D4c-D1c-D17d	D1-D4-D4c-D4f-D1c	D1-D4-D1c-D17d-D1r-D17e-D17c	D1/D4-D4c-D4f	D1-D4-D4c-D4f-D1l	D1/D4/D17f-D9a	D1-D4-D4c-D6-D2-D1c-D4f	D1/D4-D1c	D1-D4-D17d-D17c-D17e-D1r-D4c-D1c-D17j-D17l-D17k	D1-D4-D6-D4c-D2	D1-D4-D4c-D1c	D1/D4/D4c	D17f	D1-D4-D6-D4c-D4f	D1-D4-D4c-D1h-D1c	D1/D4/D6	D1/D4-D4c-D1h-D1c-D2	D1-D4-D4c-D2-D4f-D1h	D1/D4	D1-D4-D4c-D1c-D2	D1/D4-D6-D4c	D1-D4-D2-D4c-D4f
76360	SEM_O15	19973.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76356	SEM_O11	9054.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76319	SEM_D04	20847.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76048	KUS_O01	12926.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76035	KUS_M03	23254.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
