sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C27	C3	C3u	C115	C3ed	C3bn	C115a	C115e	C21	C27a	C115g	25912_C	1707_C	1010_C	4558_C	37174_C	23471_C	25895_C	26063_C	25878_C	25910_C	22888_C	25911_C	C3b	26072_C	26043_C	25909_C	25917_C	C15h	25124_C	991_C	25897_C	22813_C	C3db	26067_C	C21ab	22875_C	25925_C	25880_C	25908_C	25903_C	25924_C	25944_C	C116f	141_C	22573_C	25923_C	25882_C	25920_C	26086_C	C57d	15701_C	26096_C	9772_C	25885_C	26134_C	25913_C	20900_C	9929_C	22883_C	C3ab	26178_C	25886_C	10351_C	25884_C	20872_C	373997_C	25879_C	22812_C	22609_C	25935_C	25902_C	25887_C	10375_C	C15do	26042_C	C18a	9922_C	25901_C	25974_C	C116	26179_C	129900_C	C93a	16182_C	4741_C	C3.10	C66	C1	373993_C	2555_C	25958_C	25948_C	26132_C	25993_C	11944_C	25956_C	26004_C	11935_C	26000_C	374009_C	373995_C	5965_C	26175_C	26066_C	373996_C	25999_C	D1	D4	D4c	D1c	D4f	D1l	D17d	4935_D	D17f	D17e	D1r	D2	D4k	D6	D17j	D1ad	D17c	D1h	8839_D	5499_D	D1u	D17l	13454_D	D5m	D9a	12294_D	26103_D	15970_D	25941_D	3878_D	13466_D	12509_D	10936_D	26104_D	1751_D	D17k	4934_D	26144_D	2598_D	26105_D	25963_D	26106_D	26095_D	12507_D	D1g	25955_D	17968_D	26172_D	26013_D	11827_D	2579_D	22588_D	D4r	25942_D	25951_D	2615_D	26016_D	26015_D	26007_D	26145_D	25943_D	26047_D	25953_D	26005_D	25964_D	26018_D	374010_D	25979_D	41532_D	17035_D	D4l	26023_D	25965_D	26014_D	26019_D	26028_D	D4j	26017_D	11828_D	26021_D	14041_D	D4i	26138_D	26167_D	2580_D	63569_D	17967_D	D2.2	26053_D	373994_D	26035_D	26148_D	18844_D	26057_D	26149_D	373990_D	3296_D	D1ao	373998_D	21131_D	26058_D	132883_D	373999_D	374000_D	373989_D	25952_D	7144_D	26049_D	32604_D	374001_D	374002_D	373991_D	19423_D	21127_D	26025_D	26033_D	1776_D	155340_D	D2a	24386_D	22029_D	10207_D	373992_D	134808_D	374003_D	66234_D	374004_D	12426_D	374005_D	10201_D	374006_D	374007_D	374008_D	25967_D	25968_D	26037_D
76360	SEM_O15	30140	20860	382	20860	382	0	0	0	0	20249	9	0	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Fungiidae	Podabacia	crustacea	1.20727800	103.75408600	2015-09-07	3-5m	15752	1423	1889	815	0	94	0	0	114	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76356	SEM_O11	14546	9777	209	9777	209	0	0	0	0	9358	9	0	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Fungiidae	Podabacia	crustacea	1.20727800	103.75408600	2015-09-07	3-5m	6648	691	1188	423	0	104	0	0	137	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76319	SEM_D04	33649	22920	422	22892	419	28	3	0	0	21679	10	0	0	320	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Platygyra	daedalea	1.20727800	103.75408600	2015-09-07	3-5m	387	3917	13766	2514	228	263	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76048	KUS_O01	22475	14659	324	14648	323	11	1	0	0	13485	11	0	0	175	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Fungiidae	Podabacia	crustacea	1.22493300	103.86095800	2015-07-07	3-5m	2161	2683	6547	1367	156	168	103	108	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76035	KUS_M03	38154	26076	559	26069	557	7	2	0	0	24264	13	0	0	439	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Merulina	ampliata	1.22493300	103.86095800	2015-07-07	3-5m	666	3083	16855	2471	134	179	221	184	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76034	KUS_M02	24452	16103	332	16096	331	7	1	0	0	14868	11	0	0	217	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Merulina	ampliata	1.22493300	103.86095800	2015-07-07	3-5m	915	3152	8174	1756	183	217	126	117	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76255	RAF_D15	39605	26880	576	26862	573	18	3	0	0	24688	17	0	0	376	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Platygyra	daedalea	1.16015800	103.74046900	2015-08-07	3-5m	823	3467	16661	2482	167	159	259	146	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	27	6	0	0	0	13	0	25	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76047	KUS_M15	26015	17330	360	17320	359	10	1	0	0	16081	12	0	0	237	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Merulina	ampliata	1.22493300	103.86095800	2015-07-07	3-5m	653	3343	9069	2020	192	247	126	149	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76036	KUS_M04	28091	15371	420	15371	420	0	0	0	0	14183	13	0	0	168	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Merulinidae	Merulina	ampliata	1.22493300	103.86095800	2015-07-07	3-5m	456	2862	7882	2105	136	181	158	126	0	0	96	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76358	SEM_O13	13927	9229	196	9220	194	9	2	0	0	8734	13	0	0	40	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Fungiidae	Podabacia	crustacea	1.20727800	103.75408600	2015-09-07	3-5m	2334	1606	3315	885	93	155	84	76	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
