ITS2 type profile UID		62484	62567	63015	63018	62678	62983	62621	62833	62870
Clade		C	C	C	C	C	C	C	D	D
Majority ITS2 sequence		C1d	C1d/C42.2	C1d	C1d	C15h	C1d	C42.2	D1bt	D4
Associated species		S. goreaui	None	S. goreaui	S. goreaui	None	None	S. goreaui	None	None
ITS2 profile abundance local		7	4	2	2	2	1	1	16	4
ITS2 profile abundance DB		30	196	21	72	15	52	168	19	5
ITS2 type profile		C1d/C42.2/C1	C1d/C42.2-C1bl-C1-C3cg-C1b	C1d/C1-C42.2-C3cg-C1b-C3	C1d/C1/C42.2/C3cg-C1b-C3cw-C45c-C115k-C1au	C15h-C116s-C15dp	C1d-C42.2-C1-C1k-C1b	C1d/C1/C42.2-C1b-C3cg-C45c-C115k-C1au-C3-C41p	D1bt-D6-D1-D4-D1bs	D4-D1-D6-D1bu-D2.2-D1h
106050	T0_15	0	0	0	0	0	0	0	29520.0	0
106049	T0_14	0	0	0	0	0	0	0	85999.0	0
106055	T0_20	0	0	0	0	0	0	0	141806.0	0
106052	T0_17	0	0	0	0	0	0	0	79194.0	0
106047	T0_12	0	0	0	0	0	0	0	163393.0	0
106067	T5_19	0	0	0	0	0	0	0	77374.0	0
106046	T0_11	99.0	0	0	0	2002.0	0	0	175633.0	0
106054	T0_19	0	0	0	0	0	0	0	116990.0	0
106064	T5_15	0	0	0	0	0	0	0	128480.0	0
106048	T0_13	0	0	0	0	0	0	0	89817.0	0
106063	T5_13	0	0	0	0	0	0	0	46368.0	0
106065	T5_16	0	0	0	0	0	0	0	153189.0	0
106068	T5_20	180.0	0	0	0	0	0	0	84129.0	0
106051	T0_16	0	0	0	0	0	0	0	100796.0	0
106062	T5_11	0	0	0	0	8922.0	0	0	105524.0	0
106042	T0_7	107800.0	0	0	0	0	0	0	0	0
106060	T5_8	71896.0	0	0	0	0	0	0	0	0
106038	T0_3	158519.0	0	0	0	0	0	0	0	0
106043	T0_8	143619.0	0	0	0	0	0	0	0	0
106057	T5_3	59534.0	0	0	0	0	0	0	0	10854.0
106039	T0_4	0	111099.0	0	0	0	0	0	0	0
106061	T5_10	0	141478.0	0	0	0	0	0	0	0
106056	T5_1	0	101385.0	0	0	0	0	0	7226.0	0
106045	T0_10	0	835.0	0	0	0	0	0	0	0
106037	T0_2	0	0	0	0	0	0	0	0	120067.0
106053	T0_18	0	0	0	0	0	0	0	0	115747.0
106066	T5_18	0	0	0	0	0	0	0	0	77299.0
106040	T0_5	0	0	187189.0	0	0	0	0	0	0
106058	T5_5	0	0	300953.0	0	0	0	0	0	0
106041	T0_6	0	0	0	52042.0	0	0	0	0	0
106044	T0_9	0	0	0	76416.0	0	0	0	0	0
106059	T5_6	0	0	0	0	0	42166.0	0	0	0
106036	T0_1	0	0	0	0	0	0	114163.0	0	0
Sequence accession / SymPortal UID		106-1-2	106/1-2-43221-108-4	106-1-2-108-4-32	106-1-2-108-4-112-5-20-117	1584-9919-9917	106-1-2-109-4	1-106-2-4-108-32-5-20-117-118	11469-933-853-854-70773	854-853-933-70782-10403-1752
Average defining sequence proportions and [stdev]		0.754[0.069]-0.187[0.053]-0.059[0.043]	0.456[0.088]/0.303[0.029]-0.105[0.071]-0.097[0.027]-0.025[0.014]-0.014[0.003]	0.812[0.011]-0.082[0.005]-0.066[0.004]-0.023[0.001]-0.010[0.001]-0.007[0.000]	0.737[0.143]-0.099[0.067]-0.094[0.060]-0.023[0.005]-0.017[0.008]-0.011[0.004]-0.007[0.002]-0.007[0.002]-0.007[0.002]	0.910[0.006]-0.060[0.010]-0.030[0.004]	0.747[nan]-0.185[nan]-0.051[nan]-0.011[nan]-0.006[nan]	0.311[nan]-0.287[nan]-0.217[nan]-0.059[nan]-0.050[nan]-0.022[nan]-0.016[nan]-0.015[nan]-0.012[nan]-0.011[nan]	0.312[0.023]-0.247[0.011]-0.228[0.022]-0.178[0.018]-0.035[0.003]	0.356[0.016]-0.298[0.018]-0.165[0.034]-0.099[0.024]-0.043[0.003]-0.039[0.002]
