sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B1	C1d	C42.2	C1	C1bl	C3cg	114_C	C1k	C1bi	C1b	C3.12	C15h	110_C	C1cc	C3	C115k	C1au	C3cw	21709_C	111_C	115_C	C45c	121_C	130_C	C42ap	70785_C	C41p	21860_C	196_C	22063_C	43252_C	70786_C	32895_C	566_C	653_C	C1j	C93a	445_C	762_C	C1ba	43223_C	278_C	C116s	C15dp	C116r	9921_C	9920_C	272047_C	11020_C	280263_C	139389_C	167208_C	C15	517266_C	C66	9922_C	69850_C	69849_C	22296_C	134_C	889616_C	1593_C	889617_C	D1bt	D1	D6	D4	D1bs	70776_D	70774_D	D1h	32578_D	15825_D	70775_D	D1bu	D2.2	70780_D	70778_D	70777_D	70779_D	D4c	10556_D	D6b	45776_D	151558_D	70781_D	14506_D	D4p	D1n	268437_D	D1g	D2c	205624_D	11298_D	70783_D	70784_D	14549_D	10082_D	14166_D	14233_D	268486_D	D17d	D17j	D17l	10614_D	D17e	10616_D	D17c	D17k	D4s	11827_D	D17f	889612_D	889613_D	889614_D	889615_D
106050	T0_15	48828	38732	333	38732	333	0	0	0	0	36670	15	0	0	0	5761	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.31	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9738	5653	7689	5194	1246	1090	1009	720	0	0	910	0	669	194	873	836	500	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106049	T0_14	147733	115628	1056	115628	1056	0	0	0	0	107803	19	0	0	0	18363	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.30	1-2m	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26831	20828	20594	14709	3037	2024	2336	1828	2730	2547	1912	0	995	2058	1544	1638	1023	613	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106055	T0_20	232540	190726	1620	190726	1620	0	0	0	0	178849	20	0	0	0	31903	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.36	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	46864	29972	34334	25599	5037	4290	4328	2452	2998	2905	4109	0	1807	2586	3475	3040	2154	874	0	0	0	0	844	0	0	0	1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106052	T0_17	130331	106953	976	106953	976	0	0	0	0	99982	19	0	0	0	17790	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.33	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25178	18088	19104	14181	2643	2203	2307	1510	2281	2139	2110	0	926	1707	1678	1363	908	562	0	0	0	0	502	0	0	0	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106047	T0_12	273862	224163	1988	224163	1988	0	0	0	0	206999	23	0	0	117	36763	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.28	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	18	0	0	0	0	0	11	0	5	48300	40051	40783	28159	6100	3610	4484	3498	4962	4572	3781	0	1975	4302	2718	3570	1869	1235	0	0	0	1781	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106067	T5_19	128301	104912	989	104912	989	0	0	0	0	98117	19	0	0	0	17402	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.30	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25738	17519	18517	12584	3016	2066	2501	1471	2474	2209	1950	0	713	1864	1549	1414	0	512	0	0	0	845	530	0	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106046	T0_11	290895	239177	2081	239158	2078	0	0	19	3	222862	36	0	0	288	35967	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.27	1-2m	0	63	21	15	0	0	0	0	0	0	0	1814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	16	0	0	0	0	0	134	54	67	50	24	0	52	47	46	44	0	0	0	14	0	0	0	0	0	0	0	46524	46322	45769	31570	5448	4245	3997	4479	4598	4258	3741	0	2993	3402	3068	3111	1899	1318	0	0	0	1592	1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106054	T0_19	195638	158838	1413	158838	1413	0	0	0	0	148618	19	0	0	0	26289	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.35	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37392	27415	28152	19863	4168	3137	3481	2345	3802	3481	2947	0	1222	2844	2201	2195	1412	860	0	0	0	0	789	0	0	0	0	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106064	T5_15	212976	176106	1544	176106	1544	0	0	0	0	163259	19	0	0	0	29791	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	19.01.27	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39091	30104	31652	22747	4886	3571	3845	2589	3610	3525	3148	0	1579	2975	2616	2729	1610	820	0	0	0	1245	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106048	T0_13	149609	122473	1158	122464	1157	9	1	0	0	114729	20	0	0	0	20622	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	Pocilloporidae	Pocillipora	acuta	-16.38628900	145.56388200	24.05.29	1-2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29228	20918	21502	15439	2730	2306	2557	1816	2858	2839	2326	0	1057	2162	1756	1572	0	684	0	0	0	927	560	0	0	0	759	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
