ITS2 type profile UID		71572	72559	72301	72043	72047	72446	72407	72048	72498	72044	72046	71917	72507	72045	72065	71940	71949	71825	71829	72157	72418	72076	72097	71730	71884	72156	72040	72521	72515	72174	72168	72177
Clade		A	A	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D
Majority ITS2 sequence		A1	A1	B1	C3f	C3f	C1	C1	C3f/C3	C15	C3f/C3fl	C42a	C1	C3	C42.2	C3	C1/C3	C42a	C42a	C42g	C1y	C42.2	C3k	C91	C1	C15	C3fn	C1	D1	D1	D1	D1	D1
Associated species		S. microadriaticum	S. microadriaticum	S. minutum,S. antillogorgium,S. pseudominutum	None	None	S. goreaui	S. goreaui	None	None	None	None	S. goreaui	None	None	None	S. goreaui	None	S. goreaui	S. goreaui	None	S. goreaui	None	None	S. goreaui	None	None	S. goreaui	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		1	1	2	50	28	17	14	13	9	7	7	6	5	4	2	2	2	2	2	2	2	1	1	1	1	1	1	58	10	10	3	2
ITS2 profile abundance DB		37	12	64	50	28	372	257	13	11	7	7	17	6	4	40	77	26	14	38	5	25	20	13	29	27	6	33	74	105	103	23	90
ITS2 type profile		A1-A1bw-A1bf-A1bx	A1-A1ee	B1-B1a-B1b-B1g	C3f-C3fl-C3-C50a-C3ae-C3fm-C3h-C50q	C3f-C3fl-C50a-C3-C3ae-C3fm-C3h-C3bj	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k	C1/C3-C1c-C1b-C72k-C1w	C3f/C3-C50a-C3fl-C3ae-C3fm-C50q-C3b	C15-C15ek-C15gy-C15gk-C15el	C3f/C3fl-C3ae-C3-C3bj-C50a-C3h	C42a-C1-C42.2-C1j-C1b-C42as-C42aa	C1/C1b/C3-C1u-C1bo	C3-C3fo-C3a	C42.2-C42aq-C1-C42ar	C21/C3	C3/C1	C42a-C42.2-C1-C1b-C42b-C1au	C42a/C1b/C1-C42.2-C42b	C42g/C42a/C1/C42.2-C42h-C42b-C1b	C1y	C42.2/C1-C42i-C3-C1b-C1au	C3k	C91	C1/C1c-C1b	C15-C15by	C3fn	C1/C42.2/C3-C1b	D1-D4-D6-D1b-D1d-D6c-D4d	D1-D4-D4c-D6-D1d-D2	D1-D4-D4c-D1c-D2	D1/D4/D1d-D6	D4/D1/D1ab-D6
107417	E112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5849.0	0	0	0	0
107415	E110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5264.0	0	0	0	0
107408	E104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12742.0	0	0	0	0
107289	C109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11923.0	0	0	0	0
107288	C108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14998.0	0	0	0	0
107319	C24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32105.0	0	0	0	0
107287	C107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18986.0	0	0	0	0
