sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A5p	A1dh	A1er	C1	C3	C15	C1b	C40	C42.2	C1bh	C50a	C8	C1c	C50c	C1br	C8a	C21	C1cb	C3at	C3b	C15l	C3av	C1w	C15n	C115	C3ju	C72k	C1ge	C3dp	C1ej	C15bp	C42ao	C15qz	C1al	C42ca	C15bb	C40t	C15.8	873562_C	C21aw	C42co	C3eg	C3i	C3sa	C1jx	C40s	C50bh	C42e	C21av	C8k	C1kt	C8l	33298_C	33293_C	C50bi	C3sf	C8j	C3tp	C21ax	C8e	C15jr	42264_C	C50av	41287_C	C3ih	21243_C	C40h	C45e	C115a	C50t	42203_C	42157_C	41906_C	C41z	C1cu	C3ed	C15kw	21066_C	42305_C	337887_C	37039_C	C21ab	71648_C	C116bf	40841_C	C15kj	17032_C	42162_C	43102_C	C1t	21062_C	43108_C	43115_C	870372_C	21064_C	C50az	66428_C	C8n	C3lk	C3eq	36434_C	48189_C	407758_C	384221_C	43060_C	C50f	C42ae	15357_C	22609_C	C15hr	C22s	C15il	C21ay	71603_C	C3ad	C3gk	680_C	7153_C	5429_C	C40r	C40e	20872_C	47711_C	383227_C	C42bw	872615_C	336063_C	40328_C	C3cy	C42au	C1fn	C1ch	C1aa	42735_C	392349_C	723067_C	C115g	37267_C	21982_C	21077_C	37119_C	C1em	C1bo	2833_C	21085_C	C91	C3ew	281_C	21513_C	73408_C	21053_C	481700_C	D1	D4	D6	D2	D4c	D1cc	D2.2	D1fy	D6t	D1cs	D1as	D17	D6c	D1ih	D1df	173424_D	41740_D	19904_D	D4d	41744_D	D1az	25688_D	1238379_D	D10	D1d	691904_D	D1c	12287_D	D2a	727211_D	G3t
138172	Sp9	Fwd_15-Rev_20_R1.fastq.gz	032216daff9129a1732694113674976382c5c763b69bfaf0056136f92422943b	Fwd_15-Rev_20_R2.fastq.gz	4a046fc926b56bc1967f037eaa4aca440969a5c4fb1f50798bd6f43cd7df6911	657	20211007_scharfenstein	62093	35847	1213	35822	1210	4	1	21	2	34100	13	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	pocilloporidae	stylophora	pistillata	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	21337	468	0	3576	0	2421	1835	0	0	1456	0	1054	0	0	635	0	0	0	0	224	0	0	318	315	280	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138171	Sp8	Fwd_15-Rev_19_R1.fastq.gz	6b79b9c02c41cbb000066d547f08bff61d7375913f7a3951aa133e0c739b77e2	Fwd_15-Rev_19_R2.fastq.gz	b3ac9093883f5d1a06e67532b54e5ae502f0a3b7b77b0f1cd3eaa1b455fcf48e	657	20211007_scharfenstein	37741	11818	507	11792	506	0	0	26	1	11100	15	0	0	49	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	pocilloporidae	stylophora	pistillata	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	7281	164	0	1051	0	764	550	0	0	357	0	245	0	0	182	0	0	0	0	81	0	0	95	67	89	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138176	El7	Fwd_15-Rev_24_R1.fastq.gz	a12a820f38968eed34f9a2e9156e04bf97256ca276a9d6c2ba1dcae5f20d1e84	Fwd_15-Rev_24_R2.fastq.gz	d9a214ea5ecd4a750db3318f61e0142145553ae6092308ef9c37adb0004158aa	657	20211007_scharfenstein	43231	23578	924	23571	922	3	1	4	1	22409	15	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	merulinidae	echinopora	lamellosa	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	13942	230	0	2212	0	1611	1244	0	0	919	0	714	0	0	455	0	0	0	0	190	0	0	198	222	140	0	0	0	109	0	123	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138170	Sp7	Fwd_15-Rev_18_R1.fastq.gz	d6b71ee9e8062c8ba2cba8b29e8712add3873dc2341fd980ea822144c87e077b	Fwd_15-Rev_18_R2.fastq.gz	bb9a5bf8532de5cb462b44de5a46d7c344b5e4bdae44673336bb1082e523b3c1	657	20211007_scharfenstein	60068	33895	1205	33888	1203	3	1	4	1	32284	15	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	pocilloporidae	stylophora	pistillata	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	20295	331	0	3141	0	2173	1740	0	0	1418	0	979	0	0	633	0	0	0	0	203	0	0	307	272	305	0	0	0	148	0	192	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138173	Sp10	Fwd_15-Rev_21_R1.fastq.gz	9d7e248d4867d2958946345c284396604367823c86531e26d5bb6119d67f6851	Fwd_15-Rev_21_R2.fastq.gz	b4f4f1350848bbda10fbbf5e249ee6ce90f778062ad958e4294e08ab16ee5dbb	657	20211007_scharfenstein	59974	38279	1276	38276	1275	3	1	0	0	36466	15	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	pocilloporidae	stylophora	pistillata	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	22149	502	0	3696	0	2720	2187	0	0	1540	0	1071	0	0	779	0	0	0	0	268	0	0	335	327	351	0	0	0	174	0	204	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138175	Sp12	Fwd_15-Rev_23_R1.fastq.gz	b4d9b2cf46abd273468bd9fd67ddb9439878c3d06cd3283616ba0e4c76cf44b1	Fwd_15-Rev_23_R2.fastq.gz	903d94711de0c234b6f647c7d97a1a641a240f5ac54e2ec7048f9a11f2f3029e	657	20211007_scharfenstein	52331	30336	1096	30333	1095	0	0	3	1	28320	15	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	pocilloporidae	stylophora	pistillata	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	17548	434	0	2746	0	1901	1552	0	0	1303	0	805	0	0	588	0	0	0	0	205	0	0	279	275	229	0	0	0	145	0	173	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138150	Dp9	Fwd_13-Rev_22_R1.fastq.gz	e0b1f7fc129a290906695971bfca4e31b3b2744b894685ce3cceba3fe0256109	Fwd_13-Rev_22_R2.fastq.gz	6fba5abb32317ee3d09d1680c167c7c2a16aced4ecd74dabe53d0467c777e244	657	20211007_scharfenstein	55000	27409	1066	27373	1064	0	0	36	2	25552	15	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	faviidae	favia	pallida	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	15329	392	0	2786	0	1846	1520	0	0	979	0	823	0	0	565	0	0	0	0	186	0	0	205	249	249	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138179	El10	Fwd_16-Rev_15_R1.fastq.gz	8b9c72e7662d34c7fb7f5a7a58fd8e11683673a2a45c1a8ca77bd0cd1cf98a45	Fwd_16-Rev_15_R2.fastq.gz	aaec4f7d32bb3a91038f4551d8e66c4790027863b2b5d7eccf0b23726736e711	657	20211007_scharfenstein	41355	13105	547	13076	546	0	0	29	1	12420	16	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	merulinidae	echinopora	lamellosa	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	7854	189	0	1293	0	781	614	0	0	486	0	332	0	0	225	0	0	0	0	104	0	0	131	98	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138180	El11	Fwd_16-Rev_16_R1.fastq.gz	1c9e41606947f28935dcb0329ee753eb2e72c58f1bc899df6bffee1acb3f2235	Fwd_16-Rev_16_R2.fastq.gz	2601632fb7867eb01034a8419a05455e33f8ecd4528caaec50418a6a95fe4c17	657	20211007_scharfenstein	48667	12434	501	12385	499	0	0	49	2	11718	17	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	merulinidae	echinopora	lamellosa	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	7783	120	0	1001	0	762	559	0	0	431	0	253	0	0	195	0	0	0	0	58	0	0	94	79	92	0	0	0	63	0	61	51	0	0	0	0	0	0	0	0	67	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138136	Pd7	Fwd_12-Rev_20_R1.fastq.gz	8b294816700777f803148c9d4bf41cae8dd2fc5dbba5a860258718f857135522	Fwd_12-Rev_20_R2.fastq.gz	6423b8a131a4afdc9715bdb87b84875d90cff69a7fe97dd5a9a370ddcd5511a6	657	20211007_scharfenstein	48753	34627	1179	34624	1178	3	1	0	0	33046	19	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	merulinidae	platygyra	daedalea	999.00000000	999.00000000	15.12.2020	aquarium	0	0	0	20121	341	0	3403	0	2463	1973	0	0	1309	0	1021	0	0	678	0	0	0	0	266	0	0	269	315	322	0	0	0	144	0	182	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	22	0	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
