ITS2 type profile UID		43289	42687	43285	43359	43247	43300	42629	42689	43257	43298	42612	43280	43302	42611	42678	43256	43260	43297	43301	43303	42659	42690	42637	42688	43248	42630	42661	42684	42725	42675	42628	42633	42640	42646	42654	42679	42677	42697	43249	43259	43275	43357	43358	43189	43242	43191	42935	43240	42988	43184	43232	42937	42905	42782	42943	43006	42787	42890	43186	42894	42952	43008	42775	42934	42946	42969	43239	42779	42841	42944	42839	42953	43004	42900	42930	42941	42950	42962	42986	42859	42936	42963	42990	42940	42942	42948	42949	42951	42987	43015	43342	42892	42938	42979	42991	43059	43226	43231	42899	42947	42985	43038	43187	43222	43246	43344	42840	42995	42996	42997	43000	43009	43042	43209	42761	42771	43345	42858	42906	42939	42945	42973	42992	42994	43003	43123	43314	43331	43309	43127	43130	43113	43126	43318	43125	43129	43086	43128	43322	43324	43329	43090	43312	43319	43088	43089	43095	43141	43325	43355	43083	43092	43106	43093	43114	43115	43317	43321	43353	43157	43158
Clade		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	F	F
Majority ITS2 sequence		A1	A1	A1/A1k	A1k/A1	A1/A1k	A1	A1/A1c	A1/A1l/A1g	A1	A1	A1	A1k	A1	A1	A1	A1	A1	A1	A1	A1/A1t	A1l/A1	A1/A1j	A1j	A1/A1t	A1/A1w	A1	A1	A1	A1s	A1	A1	A1j	A1	A13	A1	A1	A1	A1	A1	A1	A1	A1j	A1	C1/C39/C41	C1/C39/C41/C116	C1	C15	C72/C1	C15/C72/C116	C1	C15	C15/C15r	C15/C116	C1	C116	C1n/C3/C3v	C15/C22b/C15r	C15	C1	C72/C1	C15/C91f	C15/C15h/C22b	C1	C1	C15h/C15	C7	C15	C1/C39	C3	C1/C72/C39	C3	C15h/C15r/C15	C15/C116/C15h	C15	C15	C39	C163b	C3	C39/C116	C15/C22b	C15	C15h	C1	C15	C1/C39	C39/C1	C116	C15h/C15t	C1/C39	C1b/C3	C72	C72	C41	C15	C1	C91f	C15h	C22b	C15	C39/C116	C72/C15	C91h	C1	C41/C1	C15	C21	C3	C91f	C15	C3	C1	C15h	C15j	C15	C3	C1	C41b	C1	C116	C15an	C1	C21	C15	C15h	C1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D6/D1	D1/D6	D1	D1	D1/D6	D1	D1	D1	D1	D1/D4	D1	D3a/D1	D1	D1	D1	D1/D6	D1	D1	D4	D1	D1	D1	D3a	F2c	F5b
Associated species		S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. goreaui	S. goreaui	S. goreaui	None	S. goreaui	None	S. goreaui	None	None	None	S. goreaui	None	None	None	None	S. goreaui	S. goreaui	None	None	S. goreaui	S. goreaui	None	None	None	S. goreaui	None	S. goreaui	None	None	None	None	None	None	None	None	None	None	None	None	S. goreaui	None	S. goreaui	S. goreaui	S. goreaui	None	S. goreaui	None	None	None	S. goreaui	None	S. goreaui	None	None	None	None	S. goreaui	None	None	S. goreaui	S. goreaui	None	None	None	None	None	None	S. goreaui	None	None	None	S. thermophilum	S. goreaui	None	S. goreaui	None	None	S. goreaui	None	None	None	S. goreaui	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. trenchii	None	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	None	None	None
ITS2 profile abundance local		73	51	32	20	15	13	12	12	12	10	9	9	9	8	8	8	8	8	8	8	7	6	4	4	4	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	83	49	43	37	33	31	25	22	22	21	19	17	16	15	15	13	13	13	12	12	12	11	11	10	10	10	10	9	9	9	8	8	8	8	8	8	7	7	7	7	6	6	6	6	5	5	4	4	4	4	4	4	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55	33	27	25	17	17	14	14	14	13	13	10	9	9	8	7	4	4	4	3	3	3	3	3	3	2	2	2	1	1	1	1	1	1	1	1
ITS2 profile abundance DB		74	58	37	20	16	13	25	12	12	11	276	15	9	22	17	15	14	20	8	9	47	10	21	12	6	88	9	18	3	6	34	13	22	3	11	10	26	6	139	12	8	15	7	104	74	58	41	33	35	58	84	48	40	31	23	32	76	100	29	27	15	28	34	63	20	20	11	23	68	20	41	15	22	45	47	9	12	77	9	56	15	27	7	25	29	6	18	5	12	247	11	21	14	11	11	7	4	54	29	5	3	8	30	73	15	14	19	8	8	16	11	6	3	8	36	9	7	10	5	1	87	43	2	17	80	72	42	27	31	23	18	16	17	14	42	13	22	28	35	56	10	24	332	36	45	25	37	20	43	20	31	28	32	5	17	15	11	24	7	2	3
ITS2 type profile		A1-A1c-A1h-A1q-A1i	A1-A1k-A1c-A1h	A1/A1k-A1b-A1z	A1k/A1	A1/A1k-A1c-A1h-A1b	A1-A1dl-A1bh	A1/A1c-A1h	A1/A1l/A1g-A1o-A1p	A1-A1x-A1r-A1u-A1g	A1-A1k-A1c-A1h-A1bf-A1bw-A1bx	A1	A1k/A1-A1ea	A1-A1eo-A1dl	A1-A1b	A1-A1m-A1n	A1-A1k-A1c-A1g-A1h	A1-A1c-A1h-A1cv	A1-A1cr-A1dl	A1-A1k-A1c-A1h-A1dl	A1/A1t-A1k-A1c-A1h	A1g/A1l/A1-A1o-A1cr-A1dp-A1p-A1dq-A1dn	A1/A1j	A1j-A1bv-A1cb-A1-A1eg	A1/A1t	A1/A1w-A1y-A1z-A1b	A1/A1c-A1h-A1ce	A1-A1ea	A1-A1dl	A1s	A1-A1m-A1co	A1-A1m	A1/A1j-A1bv-A1cb-A1c-A1cg	A1-A1f	A13	A1-A1aa-A1e	A1-A1bw-A1du-A1bf-A1bx	A1-A1bw-A1bf-A1bx-A1eb	A1-A1cp-A1g	A1-A1cc-A1c-A1h-A1q-A1i	A1-A1m-A1dl	A1/A1w-A1y-A1ag	A1j-A1bv-A1cb-A1	A1-A1k	C1/C39/C41-C1b-C1w-C39a	C1/C39/C41/C116-C1b-C72	C1-C1b-C39-C41-C1ae-C41f-C1af-C39a	C15-C15y-C15a-C15ab-C15w	C72/C1-C72a-C1b-C72b-C72c-C72d	C15/C1b/C72/C39/C116	C1-C1b-C41f-C39-C41-C41a-C41e-C1ae-C1f-C1w	C15-C15y-C15df-C15x-C15a-C15z-C15aa-C15w-C15ab	C15/C15r	C15/C116	C1/C39-C1b-C1af-C39a	C116-C116f-C116e-C116d	C3/C1n/C3v	C22b/C15/C15r	C15	C1-C1b-C39-C41-C1ae-C1af	C72/C1-C1b	C15/C91f	C15/C22b/C15h	C1/C41/C1b-C39	C1/C1b	C15h/C15	C7	C15-C1b-C39-C15y-C15a	C1/C39-C1b	C3-C3au-C29-C3bk	C1/C72/C39/C1b	C3/C3au	C15r/C15h/C15	C15/C116/C15h	C15-C15x-C15v-C15ab-C15u-C15c-C15d	C15-C15by-C15ai	C39-C1-C39b-C39e	C163b	C3	C116/C39-C1-C116l-C39k-C3cx	C15/C22b	C15/C60a-C15b-C15e	C15h-C15k	C1-C1b-C41-C1h-C39	C15/C41	C1/C39	C39/C1-C39c-C39d	C116/C1-C1b	C15h/C15t	C1/C39-C72-C1b-C116	C3/C1b	C72	C72-C1-C72f-C72g	C41/C1-C41b-C41c-C1b-C41d	C15-C1b-C72-C39-C93a-C93b-C116-C15i	C1/C72/C41-C1b	C91f	C15h-C15as-C15t-C15at	C22b/C15-C15a-C15an-C15de	C15-C15x-C15v-C15u-C15d-C15c-C15ab-C15dg	C39/C1/C116-C39b	C72/C15-C15h-C15j-C72a-C1b	C91h	C1/C41/C39/C22b-C1b	C41/C1-C41b-C41g-C1b	C15-C15ah-C15x-C15v	C21	C3-C3au-C29	C91e/C91f-C91i-C91h	C15/C22b/C39-C41	C3-C41-C3au-C1b	C1-C1am-C1an-C1ao	C15h-C116s-C15dp	C15j	C15-C15bn-C15by	C3/C3gulf	C1-C1b-C41f-C41-C41e-C41a-C39-C1f-C1ae	C41b	C41/C1-C1b-C41b	C116-C116f-C22b	C15an	C1	C21/C3	C15-C72-C72a-C1b	C15h-C15as-C15at-C15au	C1/C42.2/C1b	D1-D4-D6-D4c-D4f	D1-D4-D4c-D4f-D3b-D1c	D1-D4-D6-D6b-D1d-D1i-D1j-D10	D1-D4-D6-D4c-D10	D1-D4-D2-D4c-D4f	D1-D4-D1b-D4c-D4f	D1-D4-D6-D6b	D1-D4-D1p-D6	D1-D4-D6-D2b-D1d-D2a	D1/D4-D4c-D4f	D1-D4-D6b-D6-D1d-D1q-D1j	D1/D6-D4-D2.2-D17	D1/D6-D4-D10	D1-D4-D4c-D2-D4f-D1h	D1-D4-D4c-D6-D2-D1c-D4f	D1/D6-D4-D10-D6b	D1/D4-D4c-D2	D1/D4-D4c-D1h-D1c-D2	D1-D4-D6-D4c-D2	D1/D4	D1/D4/D1d-D6	D1-D4-D4c-D1c-D2	D3a/D1/D3/D4	D1-D4-D6-D2-D1c-D4c-D10	D1/D4-D6-D4c	D1/D4/D4c	D1/D4/D6	D1-D4-D17d-D17e-D17c-D1r-D17j-D17l-D17k	D1-D4-D4f	D4	D1/D4/D3a/D3-D6-D9b	D4/D1-D6-D6c-D6d-D1d	D1-D4-D1c-D17d-D1r-D17e-D17c	D3a	F2c	F5b
73776	Q15GX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31991.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73790	Q30GX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74988.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73779	Q15GX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36554.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
