sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	C1d	C1bl	C42.2	C21	C1	C3	71003_C	C3cg	C1b	C1k	C3at	C1bi	114_C	C3db	C3b	C3av	C115k	110_C	C21af	C3dp	37676_C	21208_C	C3eg	C21e	41218_C	41217_C	C3ab	38920_C	24569_C	322_C	41216_C	41215_C	41226_C	71030_C	118_C	C1au	41221_C	C45c	71028_C	71029_C	43252_C	12_C	C1c	436490_C	23413_C	21709_C	54162_C	8129_C	41224_C	123_C	893_C	18746_C	41228_C	43224_C	307_C	C72k	102264_C	43240_C	70995_C	70996_C	15680_C	70997_C	115_C	71031_C	436491_C	14603_C	834_C	21931_C	C50f	C1al	C1w	849_C	C1j	C3u	42940_C
77271	Rec5_T3	27880	21793	672	21793	672	0	0	0	0	20743	11	0	0	423	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	08.05.2018	0m	13011	2702	2137	0	1320	0	281	322	283	245	0	169	142	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77295	Rec11_T3	33474	26929	758	26929	758	0	0	0	0	25904	10	0	0	686	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	08.05.2020	0m	14578	5669	2725	0	1069	0	572	269	236	420	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77264	Rec3_T4	29352	23487	720	23487	720	0	0	0	0	22567	10	0	0	627	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.06.2017	0m	12501	5030	2489	0	900	0	493	239	217	348	0	216	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77268	Rec4_T4	27610	22117	687	22117	687	0	0	0	0	21213	10	0	0	558	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.06.2018	0m	11707	4681	2286	0	967	0	456	249	195	338	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77256	Rec1_T4	27616	22168	655	22168	655	0	0	0	0	21335	10	0	0	563	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.06.2017	0m	11782	4557	2466	0	906	0	444	266	210	347	0	238	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77299	Rec12_T3	53830	43205	1063	43205	1063	0	0	0	0	41030	10	0	0	1056	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	08.05.2020	0m	22482	8654	4537	0	2117	0	855	539	478	667	0	500	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77257	Rec2_T1	41746	33956	833	33956	833	0	0	0	0	32725	10	0	0	960	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	11.04.2017	0m	17581	7201	3611	0	1676	0	706	414	413	551	0	318	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77294	Rec11_T2	53570	42781	1043	42781	1043	0	0	0	0	40842	10	0	0	1138	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	17.04.2020	0m	22544	8848	4174	0	1977	0	872	567	460	696	0	438	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77275	Rec6_T3	39418	31210	872	31210	872	0	0	0	0	29781	10	0	0	876	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	08.05.2018	0m	16288	6610	2773	0	1599	0	737	441	420	466	0	308	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77255	Rec1_T3	42164	33756	915	33756	915	0	0	0	0	31888	10	0	0	889	0	0	0	0	0	0	coral - aquarium	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	08.05.2017	0m	17603	7042	3159	0	1494	0	743	467	343	511	0	380	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
