sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A4	A4a	71557_A	71560_A	373904_A	1398261_A	136583_A	37985_A	67498_A	A3at	B2a	40229_B	B19	29324_B	1398254_B	1398255_B	40230_B	50998_B	363084_B	1398256_B	B1	1398196_B	326410_B	1398197_B	B18c	C3	C21	C3an	C3fc	C3de	C3b	C3bb	C65b	C3s	C3fd	C21ae	C3gz	65808_C	41315_C	892227_C	C3dk	C3gu	C3gw	C3gy	1398199_C	C3gx	C3gv	44082_C	1398208_C	1398201_C	1398198_C	115584_C	20889_C	47745_C	71453_C	1398200_C	892623_C	1398212_C	1398213_C	1398210_C	C50f	C3ey	3238_C	21025_C	71372_C	C6b	42844_C	99002_C	132192_C	75670_C	1398227_C	71371_C	67000_C	470998_C	1398217_C	C3ad	1398253_C	1398218_C	1398211_C	C1	1398215_C	C40g	1398219_C	1398220_C	20921_C	C3ag	C93.1	C3db	1398228_C	105162_C	1398224_C	25492_C	C3dw	1398223_C	C3fy	1398226_C	1398204_C	1398221_C	1398172_C	46030_C	1398205_C	1398232_C	128933_C	1398202_C	109783_C	38271_C	1398233_C	1398230_C	1398258_C	1398235_C	990_C	C6a	53700_C	71505_C	1398195_C	52147_C	22869_C	1398214_C	C11	1398257_C	54162_C	C16	1628_C	1398229_C	1398216_C	54160_C	1398252_C	1398234_C	1398222_C	1398225_C	22689_C	1398231_C	41031_C	9770_C	25923_C	22806_C	2427_C	1398180_C	1364_C	423805_C	1398262_C	1830_C	789925_C	24506_C	11191_C	C3n	1398259_C	29186_C	1398203_C	37068_C	1398181_C	1398237_C	903269_C	99568_C	1398173_C	39422_C	1398236_C	21018_C	21909_C	47758_C	470507_C	91355_C	99053_C	1398260_C	44826_C	18746_C	41854_C	G3am	1398174_G	G3b	1398176_G	1398175_G	1398177_G	1398182_G	1398178_G	1398184_G	1398183_G	1398185_G	1398190_G	57869_G	1398189_G	1398187_G	1398191_G	1398188_G	57133_G	1341836_G	1398240_G	1398239_G	1398238_G	481020_G	1398241_G	1161965_G	1398179_G	1398242_G	1398246_G	1398245_G	1398244_G	1398243_G	1398193_G	484569_G	1398250_G	1398249_G	1398248_G	1398247_G	738443_G	1398251_G	1341844_G	518630_G	481032_G	1398186_G	1398192_G	1398194_G	1337502_G
127556	MX57	MX57_S57_L001_R1_001.fastq.gz	c390f12f1b7933dedab1c53cebc764760057701f087729c83c2411ce0e72e10f	MX57_S57_L001_R2_001.fastq.gz	a1a98f81067c588a69882f7ba28ed5c0a47d6961063576a4bb0dda6c05d7f215	39005	20568	656	20565	655	0	0	3	1	20149	14	0	0	417	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.58667000	-89.75208000	19.07.19	33.933933933933936	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14218	998	632	2279	0	371	313	560	231	120	0	0	127	167	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127504	MX5	MX5_S5_L001_R1_001.fastq.gz	8c3ae3718953d4fb62810e0bf51b4080b62953cb12e953c1c1355c7c85ce7eb1	MX5_S5_L001_R2_001.fastq.gz	dab87514a0840c465e5f03c1eecda08c34d321e164039231751b4a84c632524b	34386	17549	569	17526	567	23	2	0	0	17187	11	0	0	478	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.39622000	-89.70578000	18.07.19	24.924924924924923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11773	1075	533	1332	0	216	483	1073	224	0	0	0	150	178	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127550	MX51	MX51_S51_L001_R1_001.fastq.gz	ad3ac723055cca247615fc7b35172840e0a91efda1511f00e5e15281f1d5b88c	MX51_S51_L001_R2_001.fastq.gz	5bcba8c51f62045aef570dd17ea279763da24a1f90ec20879914526bcad74c22	31833	14827	479	14824	478	0	0	3	1	14390	13	0	0	292	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.58667000	-89.75208000	19.07.19	33.933933933933936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10292	780	472	1391	0	269	266	329	150	149	0	0	61	107	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127521	MX22	MX22_S22_L001_R1_001.fastq.gz	be72b15990e955a8d0a511d0aec5bca6258863cd57a19198e845299a28dd9316	MX22_S22_L001_R2_001.fastq.gz	a4ca86afccd6a44c48a0d5dfa411e9c7e70e9209d1f73766ca2b184fe0167627	27946	12450	455	12450	455	0	0	0	0	11979	13	0	0	272	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.39592000	-89.70556000	18.07.19	37.83783783783784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8358	546	385	1038	0	658	208	253	115	146	0	0	57	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127559	MX60	MX60_S60_L001_R1_001.fastq.gz	908a316c95f051954aa0ce9e6514415da5101426871af9b133d587aa4f114274	MX60_S60_L001_R2_001.fastq.gz	a17c81067c61cd632284cecd2fbc1728ee99a7a80cf41e59b3ea04974d1243f9	30160	13817	520	13805	518	12	2	0	0	13628	12	0	0	283	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.58667000	-89.75208000	19.07.19	23.723723723723722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9222	847	394	1127	0	302	325	799	222	107	0	0	59	134	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127520	MX21	MX21_S21_L001_R1_001.fastq.gz	7cd234241d92a985dd576e5f8c276fd3578bed58ce66a178cb201cde699e368b	MX21_S21_L001_R2_001.fastq.gz	35d3ae40d5472166225770b0213c2be6fb8ea6d0939c40923334c382d7124481	48083	24072	785	24068	784	4	1	0	0	23310	12	0	0	456	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.39592000	-89.70556000	18.07.19	39.03903903903904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16198	1014	936	2314	0	864	408	495	312	313	0	0	155	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127563	MX64	MX64_S64_L001_R1_001.fastq.gz	6b2d378411b85f38a4d8939a7f82b3f90870dbd3129560530e738264b7f946c5	MX64_S64_L001_R2_001.fastq.gz	b1e194e56d35d20ecd9c4864a96989dcd83853925af518f2aeff8a40dd187e6c	32442	16035	507	16035	507	0	0	0	0	15587	12	0	0	325	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.50925000	-89.62780000	19.07.19	25.825825825825824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11008	711	534	1222	0	550	296	495	226	220	0	0	130	108	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127557	MX58	MX58_S58_L001_R1_001.fastq.gz	56604aecbb7366a06d6b1d64bdac96ea94db9c2b8cac06b22315a1b98b481fe0	MX58_S58_L001_R2_001.fastq.gz	ee481f5fead0dd3303b7450bc6e478e776ed2bb279289ef4f620fcc8a04b5678	33978	17794	585	17784	583	0	0	10	2	17341	14	0	0	580	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.58667000	-89.75208000	19.07.19	25.225225225225223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12305	750	572	1733	0	239	379	491	186	0	0	0	122	171	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	87	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127516	MX17	MX17_S17_L001_R1_001.fastq.gz	4a555651f30758e677fd6acda5cfe0c4e6b246abe65ffda48b00ef456b83b0e6	MX17_S17_L001_R2_001.fastq.gz	30c8cf730275ef448abab52f14682e1c21e09916d01a90e2155da7bc39eddf50	31768	16114	533	16114	533	0	0	0	0	15547	13	0	0	367	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.39592000	-89.70556000	18.07.19	36.93693693693694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10875	690	546	1329	0	672	278	363	202	225	0	0	96	99	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127560	MX61	MX61_S61_L001_R1_001.fastq.gz	4aa1c26b31bf4864699470e972e6cb3a4987ad0810ac339740b2ad48a0a74d6a	MX61_S61_L001_R2_001.fastq.gz	c9b6b868779b56de173838c5a6e1f56e37205e646599f1e8ace5c0732720a3d3	37441	18536	682	18521	681	15	1	0	0	18018	12	0	0	414	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Montastraeidae	Montastraea	cavernosa	22.58667000	-89.75208000	19.07.19	23.723723723723722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11491	1404	697	1341	0	676	478	995	280	242	0	0	112	178	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
