sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	61701_A	A2b	71004_A	71008_A	C1d	C1bl	C42.2	C1	C1b	C3cg	C1bm	C1k	71003_C	114_C	C1bi	70997_C	C3	70995_C	C115k	70996_C	C45c	110_C	C1au	C1j	118_C	21931_C	70999_C	33500_C	71001_C	71000_C	71002_C	307_C	43224_C	123_C	322_C	115_C	196_C	21709_C	657_C	95_C	126_C	71005_C	71006_C	71009_C	317_C	316_C	D5
77181	LarM2bz	32610	28097	722	28097	722	0	0	0	0	26311	10	0	0	770	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	13825	5612	2722	1676	450	467	0	486	587	0	303	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77206	RecM2dz	41034	35680	887	35680	887	0	0	0	0	33823	10	0	0	1144	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	18349	7332	3474	1608	419	483	0	573	856	0	441	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77205	RecM2cz	38228	33006	808	33006	808	0	0	0	0	31711	11	0	0	1185	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	17256	6945	3134	1413	356	487	0	579	759	0	356	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77207	RecM2ez	39731	34106	914	34106	914	0	0	0	0	32362	11	0	0	1222	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	17356	6994	3340	1551	402	475	0	656	838	0	366	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77182	LarM2cz	37297	32587	727	32587	727	0	0	0	0	30556	11	0	0	944	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	15947	6468	3217	1819	534	590	0	542	748	0	330	0	0	0	165	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77157	AdM2az	46640	41150	894	41150	894	0	0	0	0	38598	12	0	0	1394	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	19997	8352	4103	2148	681	671	0	678	923	253	383	0	0	0	191	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77200	RecM1cz	32185	27547	784	27547	784	0	0	0	0	25834	11	0	0	814	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	13909	5207	2686	1285	504	464	0	541	566	0	294	0	0	0	130	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77180	LarM2az	30175	25864	718	25864	718	0	0	0	0	24240	12	0	0	859	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	12922	5139	2548	1140	373	467	0	396	554	0	277	0	0	0	119	0	0	188	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77184	LarM2ez	26809	23009	629	23009	629	0	0	0	0	21611	13	0	0	918	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	11139	4613	2238	1232	387	362	0	368	505	155	247	0	0	0	107	0	0	157	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77183	LarM2dz	27009	23275	614	23275	614	0	0	0	0	21914	13	0	0	919	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	11238	4619	2347	1284	362	411	0	383	528	138	237	0	0	0	114	0	0	145	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77199	RecM1bz	35866	30558	873	30558	873	0	0	0	0	29744	13	7	0	1161	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	7	0	16458	6074	2862	1193	355	434	0	635	704	0	388	0	0	0	156	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
77178	LarM1dz	32525	28241	718	28241	718	0	0	0	0	26365	12	0	0	780	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	13130	5232	2997	1842	627	627	0	499	576	0	360	0	0	0	143	0	128	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77158	AdM2bz	43591	38475	847	38475	847	0	0	0	0	35510	12	0	0	1517	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	17205	7170	4132	2617	953	801	0	559	863	431	370	0	0	0	186	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77176	LarM1bz	20827	17684	482	17684	482	0	0	0	0	16483	13	0	0	654	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	02.04.2017	acquarium	0	0	0	0	8413	3100	1931	1042	385	393	0	283	348	115	181	0	0	0	101	0	0	116	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77159	AdM2cz	35673	31415	662	31415	662	0	0	0	0	29359	14	0	0	1291	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	14383	5924	3287	2109	684	583	0	489	637	306	311	0	0	0	173	0	0	201	125	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77203	RecM2az	48595	43505	818	43505	818	0	0	0	0	40862	13	0	0	1508	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	19933	8341	4291	3108	1034	999	0	678	960	275	502	0	0	0	274	0	194	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77155	AdM1dz	32317	27875	706	27875	706	0	0	0	0	25930	13	0	0	1112	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.12994800	146.84138200	02.04.2017	acquarium	0	0	0	0	12495	4880	3158	2056	657	633	0	473	555	245	292	0	0	0	174	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0
77198	RecM1az	32274	28249	637	28249	637	0	0	0	0	26515	13	0	0	1122	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	-19.26491400	147.05562100	06.04.2017	acquarium	0	0	0	0	13197	5156	3016	1836	546	621	0	504	590	173	344	0	0	0	173	0	0	229	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0
