sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A3	A1gf	760006_A	A1ee	3804_A	70045_A	3283_A	A1gc	3528_A	A1du	A1g	364485_A	922_A	1767146_A	72388_A	969_A	1438_A	73416_A	7561_A	33881_A	A3w	76466_A	363131_A	3177_A	6772_A	9434_A	2058_A	B1	C3ae	C3f	C3bj	C3	C3p	C3g	C3k	55_C	C3ch	C21	152_C	C3gj	C3in	C21.12	38_C	48_C	C3io	53_C	236_C	44_C	925363_C	62_C	C3il	C3im	C3.10	C3gl	47_C	C3hv	181_C	397_C	C3fj	54_C	240_C	C3.11	33161_C	33162_C	169_C	56_C	66_C	140_C	69_C	63351_C	76_C	C3b	C3cp	C3.9	65_C	884538_C	33164_C	70_C	891932_C	237_C	39_C	1778091_C	33171_C	C116	33163_C	C3h	418_C	46445_C	42_C	33180_C	1778086_C	756765_C	C3fv	241_C	51_C	288_C	243_C	34_C	46449_C	32995_C	1500390_C	920736_C	64_C	75_C	744202_C	144_C	67_C	238_C	61_C	1778090_C	931204_C	68_C	915532_C	1004567_C	45_C	174_C	1778087_C	178_C	C116i	1778089_C	399_C	401_C	1778085_C	744126_C	1778093_C	1778095_C	915536_C	1778082_C	49_C	1778094_C	1778083_C	918332_C	924760_C	915370_C	33097_C	1778088_C	290_C	1500999_C	1778097_C	50_C	921509_C	928011_C	917448_C	1778096_C	1501479_C	293_C	1778084_C	33179_C	917792_C	32946_C	921522_C	1778092_C	917067_C	1768442_C	747180_C	471_C
134682	308	308_R1.fastq.gz	53e6347a4eff96787e42e82546ce553c902f746df9acc612d6de63aa76670d95	308_R2.fastq.gz	016c106c4f9d6b9ff549ee579f0b077e9d23a57f396129446e0bc3cf7528e792	3763	2657	126	2657	126	0	0	0	0	2508	19	0	0	151	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59114400	-149.79333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1670	94	227	128	128	0	59	28	10	16	11	11	0	14	10	0	0	30	0	0	0	23	0	0	0	0	0	0	11	0	0	0	10	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134676	300	300_R1.fastq.gz	81b36d258ec26cd8ef7ea79bbd9b71bf4375655fd46dedd7de98fc6d205b5bc1	300_R2.fastq.gz	65b0a3f42575bd4d2ed23bec0877f38e872ced77a4bfe32488f39fd4bf596372	7170	5237	222	5237	222	0	0	0	0	5028	15	0	0	357	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59114400	-149.79333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3363	161	516	232	190	0	156	77	0	53	54	0	0	0	0	0	0	46	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	33	40	0	0	0	0	40	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134655	97	97_R1.fastq.gz	1d4c90df15a7b812ce8d381b7ad6b7820bf79327279d784265b6a4e97dc817e9	97_R2.fastq.gz	5f11075beae1617af99f19e3566d0708dbc7fad7dc56d1494ef64ec61a964e2e	4263	2889	158	2889	158	0	0	0	0	2819	18	0	0	212	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.48500600	-149.88333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1925	101	262	130	112	0	59	41	0	18	31	0	0	0	0	0	0	21	0	0	0	19	0	0	0	0	0	0	14	0	0	0	0	0	24	17	0	0	0	0	12	0	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134666	172	172_R1.fastq.gz	d6c6fcaaa794e24d2aa1f52c848db267cf1ecef4a8dc6f1ebc0a9bd514f45a6a	172_R2.fastq.gz	5743aa1f579b1b1a141f6da81a5f68dcd50be6cfbf76e8bcf1db3f248ad1dbb5	9177	6503	295	6503	295	0	0	0	0	6194	17	0	0	466	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.48210300	-149.88333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4236	238	545	233	268	0	131	105	0	42	68	0	0	35	37	26	0	49	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	47	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134734	627	627_R1.fastq.gz	46687883c7796fa918118616a4ea7b97b5b50c5083a7b3b05816f6b1b8ae1935	627_R2.fastq.gz	1c2de7481bba92bb10b4c9d226f9f873004b3955b9dc12b5e7e53037ab954c10	11305	8527	288	8527	288	0	0	0	0	8127	18	0	0	676	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59296100	-149.79215000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5225	455	800	252	383	0	266	132	0	70	76	0	0	0	34	47	0	58	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	47	0	0	0	0	0	0	0	47	0	0	0	0	0	40	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134654	96	96_R1.fastq.gz	33507f92c1129ee264a88fefcc5eb819851f06b027810b8862f9cbb8bcc103b3	96_R2.fastq.gz	33b40d0f13a5e97f7888bb2a6f398c7723b6a69127c2e94726e0692b4e0ec7f1	4660	3177	143	3177	143	0	0	0	0	3032	19	0	0	188	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.48500600	-149.88333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2059	73	301	135	110	0	72	42	0	22	29	26	0	13	15	12	0	28	0	0	0	0	0	0	20	0	0	0	0	0	13	21	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134735	630	630_R1.fastq.gz	688e7d42fc164d94f5d315bd38109feeb51447bf0d138a1def3ac6b72430e9f0	630_R2.fastq.gz	c574d6be8bf6004a5254396c33dec3c265bddd402d0afe871e55dad4d51360a7	7339	4914	230	4914	230	0	0	0	0	4688	19	0	0	332	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59296100	-149.79215000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2906	323	534	208	153	0	124	69	0	35	66	26	0	28	25	19	0	32	0	0	0	35	0	0	0	0	0	0	20	0	0	0	0	0	0	28	0	0	0	0	38	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134722	600	600_R1.fastq.gz	91922435e80e4a13fd0d654e706e8ba3b40572ce563746d83c64c1960c765e29	600_R2.fastq.gz	6d88767a6db35490aa65fff6335e26b958d65c89cfbeba683aa82636d33c919f	14196	10195	401	10195	401	0	0	0	0	9753	20	0	0	715	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59296100	-149.79215000	Jul-Aug 2013	 3-10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5838	579	1230	555	338	0	265	127	0	80	91	72	0	69	62	0	0	54	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	63	80	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134645	62	62_R1.fastq.gz	b15a48320805abd18ecadaa9ee09bcb5fdc2fbf6dc12e684e37d1bd6be930a07	62_R2.fastq.gz	fff9fd67e492515416535490906e02f1821507bb6120c9d6f4d3c8341786f184	5013	3329	153	3329	153	0	0	0	0	3192	20	0	0	245	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.48500600	-149.88333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2043	147	330	157	136	0	67	37	0	33	51	0	0	0	0	0	0	17	0	0	0	0	0	0	13	21	0	0	0	0	0	0	14	0	30	24	0	17	0	0	15	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134683	310	310_R1.fastq.gz	2e1483bed22aeaed632b0728fda0683d306dc187ddb3b8967f7198faa6baf27d	310_R2.fastq.gz	65170da379d82a837710d54bc7f6988e0cd531033b58253f8c6c09bf0b7e2444	6351	4162	215	4162	215	0	0	0	0	3955	19	0	0	339	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	-17.59114400	-149.79333000	Jul-Aug 2013	 3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2552	194	444	114	143	0	120	44	0	26	45	23	0	0	24	0	0	35	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	32	22	0	0	0	0	44	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
