sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	760290_A	C15	C15bn	C15ev	C15bi	C15by	C15ij	C15ss	C15ac	48336_C	C15l	C15st	C15gb	C15he	C15bb	69713_C	C15dt	C15er	C15n	C15sr	8797_C	491246_C	C15ai	C15ed	C15il	C15dq	C15.8	C15ii	10255_C	C15sc	38402_C	C15km	176768_C	C93l	527_C	54777_C	C15h	C15br	C15jl	C15hs	491323_C	69925_C	C15ko	C15ay	C15pm	C15kj	C15cc	C15bq	C15ps	C116aa	593_C	C15kk	C15kh	C15mj	69714_C	C15kl	C15im	C15bd	C15lu	C15af	64094_C	11309_C	139563_C	C15bp	C15mh	784_C	C15hu	1340_C	C15az	C15qx	C15cn	C15lg	8813_C	540_C	4548_C	C15jm	69928_C	C15fz	C15cq	C116t	C15ch	C116bf	616_C	280301_C	572181_C	1894454_C	868_C	69927_C	54735_C	C116	556195_C	38812_C	54733_C	41730_C	14049_C	215007_C	C15jk	5749_C	28334_C	C15jj	33293_C	19760_C	534597_C	491287_C	C15mk	69972_C	537352_C	C15bo	1890506_C	C15fh	C15rx	C116ak	C15mi	C15.1	21431_C	C15hr	537363_C	782_C	69926_C	1894470_C	710_C	69929_C	69666_C	C22z	C15kn	C15jn	C15gk	490975_C	1890754_C	69930_C	31123_C	C15cd	C15kp	69931_C	808_C	5663_C	146771_C	17078_C	C15ry	C116ab	719_C	707_C	C15id	491344_C	1890571_C	C15qu	7151_C	31405_C	71927_C	C15bc	C116au	15537_C	C15kw	C15pe	267765_C	1894455_C	C15gr	C15df	1890512_C	267767_C	170915_C	537343_C	1894471_C	69531_C	1894456_C	724526_C	354940_C	5274_C	C15qe	8914_C	4671_C	1894457_C	32296_C	D4	D17f	11827_D	2580_D	D9e	1894459_D	1894458_D	D17ai	D5m	D4ar	1894460_D	263164_D	D17aj	26034_D	1894461_D	25953_D	1894462_D	375281_D	1894463_D	26019_D	22602_D	13996_D	937_D	1894464_D	D4k	D17k	26058_D	1894465_D	1894468_D	1894467_D	1894466_D	D4aw	26024_D	1894469_D	10207_D	F4.8a	G3x	G3ap	G3z
135525	B7_S19	FouhaFinalJF_B7_S19_R1_NoIll_ITS.fastq.gz	d917b04ed3dd3d8e83801640c844e281ad05cd47e23bdd4994de65c88483bcc4	FouhaFinalJF_B7_S19_R2_NoIll_ITS.fastq.gz	1169a9b8b7094ef4e190f951b6e3caf6959bc35d798fbbb2df7f712911be3b06	645	20210914_fifer	13266	10613	359	10613	359	0	0	0	0	10137	14	0	0	284	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	8579	181	367	0	99	0	233	0	98	0	128	63	57	0	67	72	0	0	74	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135548	D6_S42	FouhaFinalJF_D6_S42_R1_NoIll_ITS.fastq.gz	c3bfe270155c2a06e8b2d05b15db9cd2bae79c653fd16eee9634587b376d3da9	FouhaFinalJF_D6_S42_R2_NoIll_ITS.fastq.gz	d3eac464aed3d361a04ce9af33bcc0d3571c1b5e50f1c8d5d01b309f62b0f382	645	20210914_fifer	9790	7561	302	7561	302	0	0	0	0	7181	12	0	0	209	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	6059	144	257	0	68	0	140	0	93	0	118	51	77	0	64	0	0	0	58	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135517	B10_S22	FouhaFinalJF_B10_S22_R1_NoIll_ITS.fastq.gz	4f8e0844358e7c2d9c1eb1027b7becc30286ee7528eb67e808f16b9c7bbfca5c	FouhaFinalJF_B10_S22_R2_NoIll_ITS.fastq.gz	3d59953101c60c07cece803712960945e9371d520498b8fac75041bcfd306786	645	20210914_fifer	32280	26372	561	26372	561	0	0	0	0	25016	13	0	0	581	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	21014	501	878	0	269	0	597	0	234	0	367	187	216	0	207	165	0	0	241	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135541	D10_S46	FouhaFinalJF_D10_S46_R1_NoIll_ITS.fastq.gz	dd775b09c080a39c08f878434cc023109c9a04af73ee6e2ea650493f0420c88c	FouhaFinalJF_D10_S46_R2_NoIll_ITS.fastq.gz	800e7a06174f74dcfee8fc5463303b28704e98b9a1355dd452f0e14d167c113d	645	20210914_fifer	33308	27022	612	27022	612	0	0	0	0	25906	16	7	0	806	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	7	21677	568	917	0	251	0	501	0	216	0	386	185	198	0	204	167	0	0	243	137	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135547	D5_S41	FouhaFinalJF_D5_S41_R1_NoIll_ITS.fastq.gz	f656d4cc0518594a7f3146c7becbbb830d2f9395a814453f2fbfe94d497745b0	FouhaFinalJF_D5_S41_R2_NoIll_ITS.fastq.gz	82deb18b0a93e264be4a44e4500a4760810c9238953787d74846d9c93abfcbd6	645	20210914_fifer	12688	10103	346	10103	346	0	0	0	0	9831	15	0	0	350	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	8236	183	325	0	92	0	186	0	101	0	158	71	91	0	94	72	0	0	67	57	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135536	C6_S30	FouhaFinalJF_C6_S30_R1_NoIll_ITS.fastq.gz	3936b9126104365c1d7c53c01c997ab01d7c8fe850035d1bce5de4872f825f35	FouhaFinalJF_C6_S30_R2_NoIll_ITS.fastq.gz	b71f612f4d0d84fc9f0ce637cfbef4e86dc850fc88790cf16516e9522d640fe7	645	20210914_fifer	10202	7898	326	7898	326	0	0	0	0	7615	14	0	0	280	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	6356	151	265	0	70	0	139	0	118	0	111	45	47	0	76	68	0	0	83	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135560	E6_S54	FouhaFinalJF_E6_S54_R1_NoIll_ITS.fastq.gz	66b5cbeee18e8debeff032fee18c44885c68399bb2c605e7242fe7c1e3a00b96	FouhaFinalJF_E6_S54_R2_NoIll_ITS.fastq.gz	0c5638270da78e54a7f15f4918f4683e2f46dd32c48d8934d5c6bdd7cac68fa2	645	20210914_fifer	9463	7392	306	7392	306	0	0	0	0	7183	16	0	0	190	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	6014	147	228	0	74	0	129	0	70	0	96	38	46	0	62	61	0	0	39	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135558	E4_S52	FouhaFinalJF_E4_S52_R1_NoIll_ITS.fastq.gz	95bd73f4a31dffebfe7c8fd0ffe37bb4e9dfac74746491fd434cf76ff1bd9bcd	FouhaFinalJF_E4_S52_R2_NoIll_ITS.fastq.gz	08a2cc030360757b839ce0e172af408608f704b7843f419a70f5b4e64a70336f	645	20210914_fifer	9023	6993	286	6993	286	0	0	0	0	6617	17	0	0	241	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	5528	116	198	0	77	0	154	0	59	0	92	56	43	0	48	43	0	0	42	38	0	0	0	0	27	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135516	B1_S13	FouhaFinalJF_B1_S13_R1_NoIll_ITS.fastq.gz	c46aa0f111b183cd984063d50c68990a6b0aaba4d893387257e6dd49733be461	FouhaFinalJF_B1_S13_R2_NoIll_ITS.fastq.gz	397b8e3b342ec071f7700128e9922f0c13e6f762dfeba79d60e21a7a7d39bfd4	645	20210914_fifer	7610	5815	260	5815	260	0	0	0	0	5528	14	0	0	111	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	4603	108	178	0	56	0	160	0	50	0	119	38	44	0	28	30	0	0	51	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135537	C7_S31	FouhaFinalJF_C7_S31_R1_NoIll_ITS.fastq.gz	1efe42d5cd179c70a768aba06a62449ce60451a5862cef115c5961df3cdc8b26	FouhaFinalJF_C7_S31_R2_NoIll_ITS.fastq.gz	1ffbc32f59417e06c637609b19c48b0000f90d4559e25f5fa07abfe1f2461df4	645	20210914_fifer	9272	7083	294	7083	294	0	0	0	0	6872	16	0	0	250	0	0	0	0	0	0	coral_field	cnidaria	Anthozoa	scleractinia	poritidae	porites	lobata	999.00000000	999.00000000	201905	0.5-7.0	0	5715	125	210	0	64	0	117	0	76	0	106	49	105	0	57	50	0	0	47	50	0	34	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
