sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A4a	1466327_B	C15	C40	C15by	C3	C15bd	C15er	C15os	C15cq	C115	C15l	336034_C	C15n	C15ev	C15ot	C15jk	C15bn	C15dt	C15.8	C15bb	C15gk	335958_C	C15im	1765124_C	C15op	14620_C	C15dq	C15pm	C15pf	C22s	73151_C	249099_C	C15kl	64094_C	C15he	4666_C	38809_C	741604_C	10255_C	C15qy	C15or	C3ge	776_C	C15gr	1932902_C	C15h	740_C	C15cn	618_C	C15ei	C40h	C15rg	C15ry	C15jw	64089_C	39284_C	C15id	139487_C	C116bf	1932907_C	335792_C	5764_C	C15pz	139579_C	69706_C	18555_C	C15lg	C15kj	69742_C	21557_C	23160_C	C15ai	C21ab	12985_C	1932903_C	779_C	C15fh	41346_C	3925_C	69619_C	C15hr	10257_C	43200_C	C15bp	1181_C	1932909_C	1879354_C	C15kw	C15qx	C40e	4663_C	C15cr	C15s	18922_C	C15eg	1807652_C	C15sb	725174_C	593_C	C115a	22915_C	1932908_C	11051_C	33293_C	465532_C	1932910_C	490534_C	31121_C	11309_C	31963_C	C15es	C15je	C15uv	C91h	4712_C	4745_C	551590_C	69741_C	C15bc	596906_C	1269236_C	C15v	69517_C	1932904_C	648867_C	C115e	1932899_C	33648_C	1932900_C	C15pd	20308_C	1932905_C	14158_C	C15ss	1320_C	4094_C	732_C	17832_C	69951_C	69592_C	43203_C	54750_C	615073_C	C15jn	142442_C	1932901_C	C15ay	37010_C	5761_C	10739_C	C15ra	C15ed	C15w	C15ff	12445_C	741269_C	C15qe	1932906_C	C39ab	C15o	20880_C	C15an	277763_C	C91k	21449_C	35710_C	D1	D4	D4c
138530	MVDs0	MVDs0_S135_L001_R1_001.fastq.gz	372d15ba96b2ceb8b1f5bbbdb6ac9535e5177ff61b10d4825a457524ceb374ad	MVDs0_S135_L001_R2_001.fastq.gz	10fb39fb82c2e0a4ac6d2a8e39865555385a9e9d553981708a7b97a50241140f	663	20211012_klepac_fifer	4782	3143	125	3143	125	0	0	0	0	2986	8	0	0	38	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.17870000	-169.65468000	20150719	1	0	0	2797	0	56	0	0	30	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138493	HVEt0	HVEt0_S89_L001_R1_001.fastq.gz	6ad625c2775741fae3c8c1803a06225af6326bc1eea29fabfc4d4ef1a023c424	HVEt0_S89_L001_R2_001.fastq.gz	4095a41d462f6486a8b6cff632cb537fce6b9cddffc79e181393de4107d745ff	663	20211012_klepac_fifer	6861	4119	228	4119	228	0	0	0	0	3966	11	0	0	54	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.18340000	-169.66049000	20150719	2	0	0	3588	0	80	0	0	82	0	29	0	17	0	22	0	0	29	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	35	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138528	MVCs0	MVCs0_S131_L001_R1_001.fastq.gz	5dfbba35e047cc44a1ec830f7be8bc3f688ca5985a2658cacb44ef11bd719ae1	MVCs0_S131_L001_R2_001.fastq.gz	7ff7632ed33b63a1fc7270d88ef11ca77376f87fecf086a134b76f0a14485554	663	20211012_klepac_fifer	9735	1859	70	1859	70	0	0	0	0	1830	12	0	0	18	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.17879000	-169.65443000	20150719	1	0	0	1614	0	44	0	9	52	20	20	0	0	0	0	0	11	12	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
138491	HVDt0	HVDt0_S85_L001_R1_001.fastq.gz	04feb8f89bbccecc370f570fb9d2f490ce8ebe521f20e9001450db583c6463d7	HVDt0_S85_L001_R2_001.fastq.gz	97e12f3939b893fbac65ce9170de644b738a1d155c1a2bfa73c914151f4d7b2c	663	20211012_klepac_fifer	6146	3671	192	3671	192	0	0	0	0	3605	12	0	0	104	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.18336000	-169.66026000	20150719	2	0	0	3038	0	144	0	81	82	0	67	0	0	0	0	33	0	19	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138504	LVAs0	LVAs0_S103_L001_R1_001.fastq.gz	47f3ed080f934ec193a2de5c6b57e9ffe20b48890ee1819e1badaf2dfce46a29	LVAs0_S103_L001_R2_001.fastq.gz	8f7eb9948e9f7680c484a0f4d89a4c366aba364ea896f110365bdddb036968f2	663	20211012_klepac_fifer	5934	3469	185	3469	185	0	0	0	0	3353	15	0	0	107	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.17132000	-169.64401000	20150720	1	8	0	2938	0	23	0	0	68	0	17	0	0	0	0	40	0	13	25	0	0	0	0	0	41	0	0	0	29	20	0	0	68	0	24	0	0	0	0	0	0	0	0	0	26	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138490	HVDs0	HVDs0_S84_L001_R1_001.fastq.gz	2df9b2075fb5c98847f2b03810956a3feba75086ce84b6354d8ea6e85afabcae	HVDs0_S84_L001_R2_001.fastq.gz	e7152d55fb9e827a7536e57ce437e9123964e49741213047d8bdf884c2c87372	663	20211012_klepac_fifer	6472	3793	212	3793	212	0	0	0	0	3603	15	0	0	126	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.18336000	-169.66026000	20150719	1	0	0	3035	0	105	0	74	89	0	57	0	0	0	0	23	0	23	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
138512	LVEs0	LVEs0_S119_L001_R1_001.fastq.gz	314e1149d925b2ac0258fe6e1c60971b3d73b5e15b17108904518331f25a9afb	LVEs0_S119_L001_R2_001.fastq.gz	3c6124b565796c8e3bccdebb949bc5fb93c214f2f553f26b89394ba15ec44ead	663	20211012_klepac_fifer	7325	3670	245	3670	245	0	0	0	0	3426	18	0	0	123	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.17139000	-169.64372000	20150720	1	0	0	2928	0	55	0	60	50	0	0	0	28	0	0	24	20	44	0	25	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	22	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
138513	LVEt0	LVEt0_S120_L001_R1_001.fastq.gz	d90ba1eb7dce5dcf2c7c0665ede4695b151d0d388a82abd15b108c60bab48db2	LVEt0_S120_L001_R2_001.fastq.gz	edcc07fba74ad8f3906124ba3fd2af8f2045b64fd8384b2d452a259e29a36083	663	20211012_klepac_fifer	9213	5577	214	5577	214	0	0	0	0	5237	18	0	0	216	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.17139000	-169.64372000	20150720	2	0	0	4428	0	81	0	40	51	0	0	0	0	0	0	61	64	0	0	96	0	0	87	0	0	0	0	0	0	35	0	0	0	0	0	0	27	0	47	43	52	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138488	HVCs0	HVCs0_S80_L001_R1_001.fastq.gz	6b8f04d0a2ca272cbe62b890a9aafbd400aa6f1b7a2c466f032b02069ee6410b	HVCs0_S80_L001_R2_001.fastq.gz	a6ad861af9a140902740cbed97c4006ca319c48036b9d1d6eb9abaffa6ea3d07	663	20211012_klepac_fifer	7819	5065	228	5065	228	0	0	0	0	4692	17	0	0	222	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.18346000	-169.66023000	20150719	1	0	0	3973	0	65	0	29	32	0	0	0	0	0	0	64	67	21	0	90	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	58	53	47	0	0	0	0	0	0	0	43	20	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138505	LVAt0	LVAt0_S104_L001_R1_001.fastq.gz	c05f57553656efe1822ec00e764ea4389fa8228efeb785899ec648d5c39ab90b	LVAt0_S104_L001_R2_001.fastq.gz	9a0eb9188bf6d1fce1daab5b6b5768ff5012188e8bcf4e4666813e1bcffc6dd2	663	20211012_klepac_fifer	6664	3679	191	3679	191	0	0	0	0	3485	18	0	0	125	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-14.17132000	-169.64401000	20150720	2	0	0	2913	0	57	0	14	39	0	0	0	0	0	0	62	69	20	0	47	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	19	0	29	0	23	0	0	0	0	0	0	0	0	38	0	0	0	31	0	0	0	22	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
