sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A6b	C40	C3	C115	C40h	C40i	C40e	C40j	C3ge	C115a	C15h	39131_C	C40r	49520_C	C40aa	C40ak	41416_C	752713_C	C93a	C116	9922_C	37031_C	37022_C	41308_C	37019_C	C1	C21ab	C40q	336000_C	C3gj	20880_C	42734_C	10374_C	C15do	C115g	1061020_C	337761_C	38715_C	70402_C	C18a	37020_C	C15hf	741784_C	C3u	C3b	38679_C	335824_C	42114_C	38846_C	49517_C	C40n	752647_C	C3mn	1264069_C	C15hg	39658_C	22609_C	335884_C	41427_C	C15mx	42133_C	C40o	C3.10	174273_C	336133_C	38847_C	D1	D4	D4c	D17d	D17c	D1r	D2	D5m	D4f	D17q	D17e	D17j	D17k	D1c	D6	D4ao	D17l	10201_D
113750	16	Plate1_C3_S19_L001_R1_001.fastq.gz	a0ec8a6f50b08d81951f266020b0e8527f40479540d702af2f21c68579a3e2a8	Plate1_C3_S19_L001_R2_001.fastq.gz	b949444b987a002781b0f810029ff67ece89c0583f767343af4351b9f4589cb7	573	20210108_bythell	35879	6095	267	6059	263	0	0	36	4	5922	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	5096	449	221	77	0	33	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113877	3013	Plate2_E11_S180_L001_R1_001.fastq.gz	d2ab0b449c21c02146554943e30efe43d3f573dc4610f5b59cc33b8056ca66a5	Plate2_E11_S180_L001_R2_001.fastq.gz	e503183d0423793507c66cd3eb5db248b8177e103f76ad512056061a582079dd	573	20210108_bythell	39314	5836	254	5795	249	0	0	41	5	5691	6	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	5014	331	183	86	0	41	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113924	3061	Plate3_A11_S272_L001_R1_001.fastq.gz	b35088d256d20d3aaf317a30f8ac17d17c03b63e6904f20f78e076041c30e5e0	Plate3_A11_S272_L001_R2_001.fastq.gz	3880c569568a5bc2ed2e5b091be73d8ec8fb1467fd660a658b0b055523c56259	573	20210108_bythell	36044	4586	234	4570	231	0	0	16	3	4472	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	4000	235	132	42	0	21	0	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113942	3081	Plate3_C6_S234_L001_R1_001.fastq.gz	686fb5ca247b781183d8a2e0b8f1eb9d58599b5d5ed617e5112218313cf02d08	Plate3_C6_S234_L001_R2_001.fastq.gz	44918977450a22417ae9c376ff4214c5d8448823d80f46ba81955cfe15d8c7cd	573	20210108_bythell	39799	7862	305	7818	301	0	0	44	4	7673	6	0	0	55	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6796	398	242	123	0	59	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113887	3023	Plate2_F9_S165_L001_R1_001.fastq.gz	d9a5928c8c4ab8fa03787a885f66859f332ae849fe331f8ba34c013bd1fd4603	Plate2_F9_S165_L001_R2_001.fastq.gz	9bf3aeea8a1e354e4088cddad8d8b9d1874f79ca544716e7c9b36bb9eb5a40d4	573	20210108_bythell	39205	7054	285	7032	282	0	0	22	3	6865	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6024	427	211	86	0	51	0	34	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113883	3019	Plate2_F5_S133_L001_R1_001.fastq.gz	62904a72a769f0840bbb009c534679f8c02c107573b3cdd47e56436c5169e2d2	Plate2_F5_S133_L001_R2_001.fastq.gz	d48c7fd1a6d0b992ee6e54f88875404d625fab007ce4ee9c61bbe19d137ada46	573	20210108_bythell	38066	7821	301	7807	299	0	0	14	2	7580	6	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6417	490	349	193	0	100	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113938	3077	Plate3_C2_S202_L001_R1_001.fastq.gz	144e1bc1669c53cd5cca4c6af49d77af1cd5d2c895275552d699f76dca72c2da	Plate3_C2_S202_L001_R2_001.fastq.gz	2179bbf5647c6a813075d84598a0d7bb753a7b273a3a510aa09842fbe493157d	573	20210108_bythell	32643	5656	253	5604	244	0	0	52	9	5442	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	4598	406	261	80	0	27	0	42	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113888	3024	Plate2_F10_S173_L001_R1_001.fastq.gz	1bef30ef81a4de33869b502665074e28c2e0d15d46b6bb10db1405774a4c5909	Plate2_F10_S173_L001_R2_001.fastq.gz	a7b50637b502f686f35796802e7cb2fdfd92d409723cd02abbe8d3b144f7606f	573	20210108_bythell	37670	8150	312	8133	309	0	0	17	3	7901	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6791	522	295	147	0	63	0	36	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113917	3054	Plate3_A4_S216_L001_R1_001.fastq.gz	d8b706b0485782e6cbf4a9307591213316f738691c1e9c6d1721857cbc8d8660	Plate3_A4_S216_L001_R2_001.fastq.gz	ba98d032157e25d258269bed0a5789b79b50e5815d2129c03ee8745d1ccda87e	573	20210108_bythell	38722	8306	332	8299	331	0	0	7	1	8066	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	6899	585	274	149	0	76	0	37	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113884	3020	Plate2_F6_S141_L001_R1_001.fastq.gz	35039cfe8477bd37c2ef46e2d3e4b83a9d3184b987a5f8d75121937e6a5379b3	Plate2_F6_S141_L001_R2_001.fastq.gz	a1df68b86f837f7ea16e93712648b908444260a9bb5b91c76c3a803f89098b44	573	20210108_bythell	44320	9305	326	9291	325	0	0	14	1	9018	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2019-05-28	2-3 m	0	7904	446	306	184	0	94	0	46	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
