ITS2 type profile UID		183654	184560	184002	183650	183652	184268	184271	184815
Clade		C	C	C	C	C	C	C	C
Majority ITS2 sequence		C42.2	C42.2	C42.2	C42.2	C42.2	C42.2	C42.2	C116
Associated species		None	None	None	None	None	None	None	None
ITS2 profile abundance local		10	3	1	1	1	1	1	1
ITS2 profile abundance DB		50	24	11	6	10	27	23	18
ITS2 type profile		C42.2-C1-C42j-C42k-C42l-C3-C1au	C42.2-C1-C42i-C42l-C1b	C1/C42.2-C1b-C3-C1au	C42.2-C1-C42p-C42j	C42.2/C1-C42j-C42k-C42i	C1/C42.2/C3/C1b	C42.2/C1-C1b-C3-C1au-C1j	C116-C116i-C116q
143834	p12	10973.0	0	0	0	0	0	0	0
143840	w12	6980.0	0	0	0	0	0	0	0
143827	b6	5429.0	0	0	0	0	0	0	0
143833	p6	1649.0	0	0	0	0	0	0	0
143836	r6	4417.0	0	0	0	0	0	0	0
143839	w6	6151.0	0	0	0	0	0	0	0
143843	y12	1471.0	0	0	0	0	0	0	0
143826	b.initial	2976.0	0	0	0	0	0	0	0
143842	y6	2528.0	0	0	0	0	0	0	0
143828	b12	1738.0	0	0	0	0	0	0	0
143837	r12	0	1908.0	0	0	0	0	0	0
143835	r.initial	0	2271.0	0	0	0	0	0	0
143841	y.initial	0	253.0	0	0	0	0	0	0
143831	g12	0	0	8674.0	0	0	0	0	0
143838	w.initial	0	0	0	4346.0	0	0	0	0
143832	p.initial	0	0	0	0	1081.0	0	0	81.0
143830	g6	0	0	0	0	0	3688.0	0	0
143829	g.initial	0	0	0	0	0	0	7295.0	0
Sequence accession / SymPortal UID		1-2-24-14-10-20-32	1-2-3-10-4	1-2-4-20-32	1-188-2-24	1-24-2-3-14	1-2-4-32	1-2-4-32-15-20	632-634-6114
Average defining sequence proportions and [stdev]		0.549[0.107]-0.223[0.064]-0.069[0.013]-0.060[0.028]-0.040[0.023]-0.030[0.010]-0.029[0.013]	0.521[0.075]-0.252[0.041]-0.112[0.009]-0.065[0.067]-0.049[0.040]	0.811[nan]-0.151[nan]-0.019[nan]-0.010[nan]-0.009[nan]	0.574[nan]-0.168[nan]-0.166[nan]-0.093[nan]	0.712[nan]-0.085[nan]-0.081[nan]-0.077[nan]-0.044[nan]	0.816[nan]-0.152[nan]-0.021[nan]-0.011[nan]	0.811[nan]-0.155[nan]-0.013[nan]-0.009[nan]-0.007[nan]-0.005[nan]	0.556[nan]-0.247[nan]-0.198[nan]
