sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A6b	A3v	A1hb	701144_A	477185_A	C40	C3	C115	C15h	C40h	C40e	C40j	C40i	C3ge	C115a	C15do	39131_C	49520_C	C116	C15mv	37031_C	C40aa	9922_C	41416_C	C15mx	37019_C	C15hg	C93a	37022_C	C40r	112542_C	C15mw	10374_C	C116l	C15hf	752713_C	10707_C	42114_C	42116_C	22957_C	C116a	26045_C	C40o	41308_C	C116br	C3u	C3gj	C40ak	26092_C	1264049_C	C40q	1061020_C	C21ab	335884_C	42796_C	C40am	C1	741784_C	48853_C	17998_C	C3.10	148169_C	20880_C	D1	D4	D4c	D1c	D2	D1gz	D17e	D3b	D4n	D1h	10408_D	D4ao	13822_D	D4ae	24698_D	D2.2	5660_D	45335_D	D4f	D17c	31541_D	D1fk	12292_D	1264047_D	D1cr	20195_D	1264065_D	12427_D	10210_D
113741	48	Plate1_B6_S42_L001_R1_001.fastq.gz	175cf021a12628c4ce4e5f2185bd71af52ec175e6c02f8e429c61ed031e3ee3d	Plate1_B6_S42_L001_R2_001.fastq.gz	b6b2fe614201cf55e8742f26beffbbc31214ef08ed1679caa3a8eefefd969108	573	20210108_bythell	44071	7879	325	7856	321	0	0	23	4	7734	6	0	0	44	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	6862	386	284	0	104	54	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113750	16	Plate1_C3_S19_L001_R1_001.fastq.gz	a0ec8a6f50b08d81951f266020b0e8527f40479540d702af2f21c68579a3e2a8	Plate1_C3_S19_L001_R2_001.fastq.gz	b949444b987a002781b0f810029ff67ece89c0583f767343af4351b9f4589cb7	573	20210108_bythell	35879	6095	267	6059	263	0	0	36	4	5922	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	5096	449	221	0	77	33	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113734	59	Plate1_A11_S81_L001_R1_001.fastq.gz	75102d822f89d48983f33f736ff1528b512f5fb9352f661c801d418e58f18fd0	Plate1_A11_S81_L001_R2_001.fastq.gz	e63a34be784f33327a557f53c7d7e2c5fabe082cf6ffac5ceeeb8cd0e6fd41b8	573	20210108_bythell	43382	9197	345	9185	344	0	0	12	1	8952	8	4	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	4	7475	745	444	0	146	69	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113757	77	Plate1_C10_S75_L001_R1_001.fastq.gz	64c6811dccb4f38d3f75da4357e34f7385a9a3a88300d76f4c6d5d5f861efb05	Plate1_C10_S75_L001_R2_001.fastq.gz	092d10f1c64ed32762f68779b09e6a061758202fcd675aabcd2bb95417333ee3	573	20210108_bythell	36220	6141	271	6132	269	0	0	9	2	5915	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	4842	560	268	0	120	52	0	0	30	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113733	70	Plate1_A10_S73_L001_R1_001.fastq.gz	2b6a8be5a7f736ffa53d38efe6c4c1f8e73d27b8e8a6a670f75526cd750f83c9	Plate1_A10_S73_L001_R2_001.fastq.gz	a6c5f11e9bc307b56611a1324252becadfb74687467aca93cc82b6d639c1497f	573	20210108_bythell	32232	5667	256	5662	255	0	0	5	1	5531	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	4855	353	168	0	47	39	0	0	39	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113751	18	Plate1_C4_S27_L001_R1_001.fastq.gz	ba7afd9f26f83022e64f8c3085a6d8235e7ef41be01a3a0dfcbb21ed1d2752e3	Plate1_C4_S27_L001_R2_001.fastq.gz	71255a953639ed8ec7d2b7ceed2ed6ec1169467ed0e40e1e2866e62241f5ca73	573	20210108_bythell	43698	9596	333	9542	332	0	0	54	1	9203	9	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	7762	668	419	0	155	74	0	0	54	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113765	66	Plate1_D6_S44_L001_R1_001.fastq.gz	ff1ffd04e25a33ba449cf26b28b55f4d22b5f6fee8ef85d31bb4577ca1719d25	Plate1_D6_S44_L001_R2_001.fastq.gz	296665ef1ecf24a74e6cb9ac9b7a9d415c9532ba5f7f45d00479f8c0f1f61876	573	20210108_bythell	22901	3532	183	3526	182	0	0	6	1	3455	7	0	0	31	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	3040	174	99	0	67	27	0	0	0	17	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113758	7	Plate1_C11_S83_L001_R1_001.fastq.gz	0d47e4341f95591745be85b18d416f5e4abb0e821ecbd4c4839fd2015cd53c69	Plate1_C11_S83_L001_R2_001.fastq.gz	91ec3983791fced98109edda36768b4553a39d563d678153b35430098c85adf0	573	20210108_bythell	41949	9912	349	9888	347	0	0	24	2	9641	8	0	0	47	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	8260	602	334	0	210	100	0	0	39	49	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113732	72	Plate1_A9_S65_L001_R1_001.fastq.gz	3f6d9ce6e33125192a58685569c965777b54172287bdedc4bd13dcd4c748a700	Plate1_A9_S65_L001_R2_001.fastq.gz	ce9a03306553bb19729be0cec92cd121f360ebbe3b36f24f3cec94471172c357	573	20210108_bythell	38265	5621	254	5610	253	0	0	11	1	5453	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	4541	440	261	0	88	45	0	0	45	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113756	78	Plate1_C9_S67_L001_R1_001.fastq.gz	520afb6b2e55b4b542af84b7d064554663b0bd00312ff5704a53d3bfcce38013	Plate1_C9_S67_L001_R2_001.fastq.gz	eade666e25af57016868530beba9956d2ab046ef5f10027a63cf89016003412a	573	20210108_bythell	32755	5916	264	5893	261	0	0	23	3	5692	7	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	4734	446	296	0	93	38	0	0	40	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113770	93	Plate1_D11_S84_L001_R1_001.fastq.gz	426da41cbba06eff59072f25afc1488eaad5846cb9462af710262aa46247aeb8	Plate1_D11_S84_L001_R2_001.fastq.gz	f5f265a1e661a7007b6107e334cff3d9a985d4f2b86f69166352fe0173575d50	573	20210108_bythell	40739	6524	271	6521	270	0	0	3	1	6359	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	5392	412	230	0	144	84	0	0	38	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113747	24	Plate1_B12_S90_L001_R1_001.fastq.gz	d7bb833132df131077710c9836f1cce9a8b2bf891016d7ad1ff86ef91237fe8a	Plate1_B12_S90_L001_R2_001.fastq.gz	0ec56448865bee9cb50dafc8e3fcdd53b54b637bc2d579517614e1a38e894737	573	20210108_bythell	43523	8338	316	8335	315	0	0	3	1	8079	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	6882	539	337	0	134	62	0	39	40	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113766	64	Plate1_D7_S52_L001_R1_001.fastq.gz	f64e0146886966d6761a2bd55d1ed6295f73d1c6a9e55c038b1f14f2d0feaf67	Plate1_D7_S52_L001_R2_001.fastq.gz	7c298399df80dc41c5c9587101b2adb56af577a1194e54fb7f1c3482601f3be0	573	20210108_bythell	38888	7001	284	6991	283	0	0	10	1	6840	7	0	0	73	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	5884	417	246	0	127	59	0	0	0	34	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113727	40	Plate1_A4_S25_L001_R1_001.fastq.gz	d5b159f4a7608faa7d138ecbcdf9f6e95dce1e17189ece5ef560a089c3f90401	Plate1_A4_S25_L001_R2_001.fastq.gz	e9c1b98f370e902dcc094c309be5f596aa43208e8c4aa48d0268f3a4eb60e3d0	573	20210108_bythell	40720	6097	263	6086	261	0	0	11	2	5973	8	0	0	25	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	5188	349	217	0	81	35	52	0	26	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113724	46	Plate1_A1_S1_L001_R1_001.fastq.gz	d0860f1b4c6bbcd16be03eaf1cee2f8cf3f73a5452ae68ba43d554e5131c7719	Plate1_A1_S1_L001_R2_001.fastq.gz	507e703d1bd0d158910654b93deb0cf0b858c922db1dfa415c1be65ad5dbe4ed	573	20210108_bythell	44032	6827	271	6819	270	0	0	8	1	6613	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	5407	459	336	0	179	112	0	0	35	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113749	25	Plate1_C2_S11_L001_R1_001.fastq.gz	c3e880fa669a1f4d16977f94654e5d084fa6459d3b863d936a98cbb1b77a47f2	Plate1_C2_S11_L001_R2_001.fastq.gz	515ac40a1482107d2cdbb0a5e98657b7c25753e2b918528fae23d8b9b1600923	573	20210108_bythell	34308	6217	256	6171	255	0	0	46	1	5990	9	4	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	4	0	4935	433	285	0	148	80	0	0	43	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113753	20	Plate1_C6_S43_L001_R1_001.fastq.gz	781dd263125fe25a7ac4d6d4ea2055b28f89e24c14113a13c3c0ed338419a2ef	Plate1_C6_S43_L001_R2_001.fastq.gz	e779dff022a72cad1b6a654950809d68847d1b1d62220bfb77a43538f1b133b7	573	20210108_bythell	24357	3821	213	3806	211	0	0	15	2	3709	9	0	0	19	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	3107	333	124	0	47	30	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113754	76	Plate1_C7_S51_L001_R1_001.fastq.gz	c6952e13d0b9b40c6bbf412faf31c52f37de0f5f276613a88f3ada6eaf69e590	Plate1_C7_S51_L001_R2_001.fastq.gz	8df1863cc578eef317857ba01c963378e354c9cfaaf8b7f8d156493fd3be09f1	573	20210108_bythell	31662	5564	250	5550	248	0	0	14	2	5383	9	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	5	0	0	0	0	4352	477	291	0	108	49	0	0	45	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113764	14	Plate1_D5_S36_L001_R1_001.fastq.gz	5b1b0c41c53bfe8959bcc61ba0a3129df91991a2b106458b8e17696eaa835f26	Plate1_D5_S36_L001_R2_001.fastq.gz	6829a2ac88c742372cd096e3b760650412072d371ec1ecf139c96b56dffd832e	573	20210108_bythell	44707	9180	338	9134	337	0	0	46	1	8887	8	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	digitifera	7.29110000	134.51940000	2018-03-30	2-3 m	0	0	0	0	0	0	7079	835	446	0	228	121	0	0	66	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
