sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A4at	C1	C1b	C39	C1w	C41	C3	C45d	C21ak	C39w	C83a	C1dq	123894_C	C3hr	C41j	C1af	C39u	C1du	C1a	C41l	257441_C	C1dr	C41o	C1dt	C1ae	C42.2	1501726_C	68638_C	1106_C	C4a	3636_C	C1ai	C1dl	4145_C	90804_C	C3hs	C1n	2660_C	96590_C	2833_C	1501809_C	C3ew	1182508_C	2685_C	2666_C	97645_C	C116	2664_C	406542_C	251581_C	2668_C	15428_C	C3i	3575_C	17565_C	1501700_C	2050_C	13932_C	2089_C	68637_C	C1v	C1ds	1501740_C	C41e	307_C	C41f	881_C	C39q	251820_C	C41b	870109_C	1501704_C	873773_C	C1c	C39j	C3ak	49384_C	17182_C	1501741_C	250245_C	15583_C	C39a	90828_C	2663_C	940170_C	1450569_C	6394_C	1501739_C	C93b	14775_C	1501701_C	1501727_C	C116l	1501699_C	1501736_C	C41a	7273_C	279062_C	C15h	C3dw	2839_C	5353_C	66475_C	71029_C	96796_C	1501722_C	8440_C	C1ap	1501702_C	650_C	C1f	1501703_C	C3cx	125744_C	72356_C	51198_C	17102_C	27517_C	11401_C	69058_C	18588_C	C15i	1501711_C	C1j	572751_C	1408_C	18283_C	1379665_C	150297_C	21938_C	C1au	13086_C	1126_C	2669_C	116412_C	1501830_C	2156_C	1501735_C	1501887_C	1167041_C	15472_C	96992_C	196860_C	16498_C	1501890_C	1501914_C	70133_C	28874_C	138295_C	10326_C	1501805_C	7528_C	62259_C	C115d	3629_C	7821_C	16815_C	25715_C	2092_C	403821_C	C3eq	C39s	1501902_C	192333_C	874270_C	10574_C	1501730_C	196458_C	1501715_C	174057_C	1501906_C	17505_C	C1cu	1501889_C	12786_C	69324_C	1501908_C	196_C	68666_C	3635_C	14429_C	26883_C	C3az	19017_C	1501742_C	185553_C	48318_C	48311_C	C3co	1501806_C	12213_C	1501743_C	1501737_C	1501744_C	196579_C	96833_C	72886_C	1501917_C	9770_C	1501907_C	C116f	1501915_C	138330_C	8441_C	4132_C	2727_C	154997_C	91106_C	1501903_C	C15k	1501904_C	8538_C	47195_C	1501731_C	878021_C	20928_C	18590_C	1501745_C	5078_C	2193_C	219115_C	9922_C	1501746_C	93976_C	1501747_C	12578_C	1501909_C	28056_C	2672_C	13271_C	96908_C	C41g	8635_C	12005_C	983504_C	196669_C	351_C	1501897_C	D1	D4	D4c	12086_D	D17d	D4f	D1h	D17c	1274672_D	D1r	D17e	D17j	2598_D	D5m	D17k	132119_D	D2	104655_D	D1as	14041_D	14522_D	473490_D	19491_D	19422_D	17968_D	11467_D	18844_D	D17q	10626_D	10201_D
132655	SA4679	SA4679_SA4679_N714-N503_L001_R1_001.fastq.gz	e6cf11b04f9cabc4da0c502b14122430459d946e9b2f075508dc43dbfe15ccd9	SA4679_SA4679_N714-N503_L001_R2_001.fastq.gz	6805cf1c77aebc92ddfd9473fa39703254936ae52e2876482be300a3cb012dd9	69095	54872	1424	54810	1420	62	4	0	0	52709	12	0	0	1942	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Incertae sedis	Blastomussa	merleti	29.22163333	34.91008333	2020-10-22	12.5	0	13739	3238	10182	0	16450	0	0	0	0	0	0	0	0	2175	304	651	0	0	0	1107	0	1278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132560	SA4622	SA4622_SA4622_N711-N510_L001_R1_001.fastq.gz	fb7b16f0fd5b8e3e5f6fcc8a4939091c6d50747a984d9e5325aef05f17795e65	SA4622_SA4622_N711-N510_L001_R2_001.fastq.gz	84d8c6bee2c42cb2a5d89d8f910d47b35fdabfb9d325b0ac25fe6e3d67560b54	63467	47648	1616	47642	1614	6	2	0	0	44829	21	0	0	4694	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Incertae sedis	Blastomussa	merleti	28.87693333	34.83168333	2020-10-18	10.3	0	18265	6575	6733	0	4122	0	0	0	0	0	0	0	0	507	448	1777	0	0	0	413	0	1069	0	0	0	0	0	576	359	0	280	0	572	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132548	SA4570	SA4570_SA4570_N707-N508_L001_R1_001.fastq.gz	6fc2313ac0ad2c1d76a30864b1bb038c2b99efcc74430e47cfcb1ead0de3771f	SA4570_SA4570_N707-N508_L001_R2_001.fastq.gz	7365acbf08c60065f4d65f822aab238704ced295d8916def061f9661bbee13fd	69430	51123	1659	51123	1659	0	0	0	0	47676	23	0	0	4801	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Coscinaraeideae	Coscinaraea	monile	29.14598333	34.88080000	2020-10-17	17.0	0	18681	6718	6974	0	4680	237	0	0	0	0	0	0	0	1505	556	1713	0	237	0	651	0	981	0	312	0	0	0	389	281	0	0	0	302	0	0	0	339	0	262	0	0	0	237	0	1111	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132648	SA4761	SA4761_SA4761_N706-N511_L001_R1_001.fastq.gz	d461102fa7f6ce0a7bdb867c6dbbb95d457e5f4ead0d9ab25aa2a37e1ff9e0e7	SA4761_SA4761_N706-N511_L001_R2_001.fastq.gz	51598d7d72264e0a5a7e39dba87ea9d838f95fd7b11a85c8c8e349e926389bae	79697	66969	1461	66969	1461	0	0	0	0	63346	19	0	0	6959	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Coscinaraeideae	Coscinaraea	monile	27.78251667	35.17743333	2020-10-29	25.0	0	28084	14869	5848	0	2613	0	0	0	0	0	0	0	0	1366	0	390	0	363	0	2237	0	0	0	1123	0	0	0	0	0	0	1328	0	926	0	0	0	0	0	0	0	0	0	780	0	0	0	1128	0	0	0	0	0	0	0	0	378	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132685	SA4774	SA4774_SA4774_N707-N502_L001_R1_001.fastq.gz	8847e2ab36d2acccb676211ad2f804e556455a42358f57087141e925195a77dd	SA4774_SA4774_N707-N502_L001_R2_001.fastq.gz	ba1139f0a05a8de89970e3098bf1779e2a393baaff0a8f8b84e2367b810bbdd6	59877	41385	1389	41385	1389	0	0	0	0	39777	24	0	0	4156	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Coscinaraeideae	Coscinaraea	monile	27.76511667	35.14888333	2020-10-29	13.9	0	15621	8398	5524	0	2418	0	0	0	0	0	0	0	0	890	456	433	0	279	0	1312	0	400	0	355	191	0	0	478	395	0	0	0	468	0	0	261	0	0	0	0	0	0	285	0	0	0	207	0	0	0	0	0	0	177	0	248	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132553	SA4615	SA4615_SA4615_N702-N510_L001_R1_001.fastq.gz	55d830d38d6b1433034ade6d155d59b9aec8af8df646532f9606171102aa35bd	SA4615_SA4615_N702-N510_L001_R2_001.fastq.gz	aec6f9e2e22318bddb9c16de36b22b5fc3d0ab05f589c1acdaa1cfc3752801ff	74005	56311	1874	56311	1874	0	0	0	0	52670	23	0	0	5670	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Coscinaraeideae	Coscinaraea	monile	28.87693333	34.83168333	2020-10-18	15.4	0	22480	8748	6642	0	3593	0	0	0	0	0	0	0	0	1086	880	1477	0	0	0	1022	0	960	0	344	0	0	0	765	367	0	423	0	731	0	0	0	362	0	296	0	0	0	291	0	0	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132762	SA4910	SA4910_SA4910_N712-N510_L001_R1_001.fastq.gz	c9ef99e603d0c3c1b48efc8b1f4bf6de038d3cc97bfaf0a1bbc41dde25de1468	SA4910_SA4910_N712-N510_L001_R2_001.fastq.gz	ab39ff0763735119665f8cde8c2c41336e568f557e11867898213e2764986e53	159503	117520	3401	117520	3401	0	0	0	0	109993	25	0	0	9892	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Incertae sedis	Blastomussa	merleti	28.02225000	34.69635000	2020-11-05	18.3	0	48462	21553	13222	1492	4392	0	0	0	0	0	0	0	0	1510	2029	2417	0	953	0	1818	0	1013	0	584	0	0	0	715	1228	0	1246	0	856	0	0	0	0	0	584	0	0	0	827	626	0	0	664	0	0	886	0	0	0	666	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0	0	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132569	SA4639	SA4639_SA4639_N710-N511_L001_R1_001.fastq.gz	4243b90e85f293ad510e31a282afe1adeaed1d31151c94e0f312f98c3c934921	SA4639_SA4639_N710-N511_L001_R2_001.fastq.gz	97b512397e0f72a9b26010cb80ec5cd3cabcf7a200aa69364aaab4b0f2b13871	71325	53699	1746	53699	1746	0	0	0	0	50753	24	0	0	5466	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Coscinaraeideae	Coscinaraea	monile	28.82455000	34.83190000	2020-10-19	24.3	0	22232	8683	5751	0	2857	275	0	0	0	0	0	0	0	1256	674	1059	0	408	0	1053	0	853	0	386	0	0	0	722	472	0	381	0	748	0	0	0	369	0	346	0	0	0	466	0	0	0	0	0	0	346	0	0	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132590	SA4648	SA4648_SA4648_N705-N502_L001_R1_001.fastq.gz	9ae439215209975c2c12b9a0502aea2f434a0196558fe5f7d1807c42788cdb65	SA4648_SA4648_N705-N502_L001_R2_001.fastq.gz	b6b89d7d70f91d0916c056aef0b88dceb424662e7768de4976a321b6189e21b3	78507	66264	1589	66255	1588	9	1	0	0	63988	27	0	0	7188	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Coscinaraeideae	Coscinaraea	monile	29.33873333	34.94793333	2020-10-21	16.0	0	26627	10590	8154	0	3407	0	0	0	0	0	0	0	0	2320	805	1601	0	470	0	873	0	920	0	381	0	0	0	414	483	0	513	0	562	0	0	529	333	0	419	0	0	0	459	0	1174	0	371	0	0	467	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132598	SA4668	SA4668_SA4668_N704-N503_L001_R1_001.fastq.gz	15c557cee3bb31b27db7a6c11d555bddd007d90a464b92ace511c0eacbc7d42d	SA4668_SA4668_N704-N503_L001_R2_001.fastq.gz	6e374c1cf1bed0bd860a804d72c1c6c5d6da1e51951959c2327013bbefb30a82	87003	71958	1708	71958	1708	0	0	0	0	67279	26	0	0	7235	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Coscinaraeideae	Coscinaraea	monile	29.32308333	34.94385000	2020-10-21	7.0	0	27251	10954	10507	0	2398	878	0	0	0	0	0	0	0	2923	1359	953	0	317	0	1137	0	569	0	0	0	0	0	1134	583	0	398	0	565	0	0	616	0	0	324	0	0	0	378	381	940	0	537	0	0	0	0	0	0	0	0	539	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	591	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
