ITS2 type profile UID		118512	119470	119465	119500	119475	119678	119603	118728	119628	118894	119627	119501	119563	119620	118729	119505	119503	118865	118869	119504	118881	118664	118942	118818	119076	118577	119061	119581	119623	119626	118733	118866	118867	118870	118878	118886	118641	118662	118663	118795	118928	118938	119580	119474	119116	118871	118872	118882	119021	118642	119026	119213	119354	119155	119147	119334	119222
Clade		B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D
Majority ITS2 sequence		B1	C15	C15	C31	C15	C1d	C15	C1d	C31	C1d	C31	C17d/C31	C1d	C31	C1d	C31/C17d	C31/C17d	C1d	C1d/C15	C17d	C31	C31	C17d	C3	C31	C15	C17d	C42a	C31	C31	C3	C31	C31/C17d	C15	C1d/C21	C3	C15	C31	C31	C15	C3	C15	C1d	C15	C21ar	C15	C1d	C42a	C31	C17d	C15h	D4/D1	D4/D1	D1/D4/D6	D4/D1/D6	D1/D4	D4
Associated species		S. minutum,S. antillogorgium,S. pseudominutum	None	None	None	None	None	None	None	None	None	None	None	S. goreaui	None	S. goreaui	None	None	None	None	None	None	None	None	S. goreaui	None	None	None	S. goreaui	None	None	None	None	None	None	None	None	None	None	None	None	None	None	S. goreaui	None	None	None	S. goreaui	S. goreaui	None	None	None	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	None
ITS2 profile abundance local		1	80	74	61	41	34	21	19	17	17	14	14	13	11	10	10	9	6	6	5	5	4	4	3	3	3	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36	21	7	4	3	1
ITS2 profile abundance DB		35	181	125	214	70	77	45	74	134	44	210	249	82	64	24	39	74	10	33	65	73	27	23	132	21	172	6	114	15	23	65	46	21	13	9	41	62	37	33	29	13	19	68	43	1	18	12	54	7	58	47	692	63	175	59	231	85
ITS2 type profile		B1-B1g	C15-C15ci-C15n-C15cf-C15ce-C15ck-C15l-C15hd	C15-C15ci-C15cc-C15cl-C15n-C15cj-C15l	C31-C17d-C31.1-C31a-C21-C31f-C17e-C31l-C21ac	C15-C15ci-C15cj-C15n-C15ch-C15id-C15l	C1d-C42.2-C1-C3cg-C1b-C3cw-C115k	C15-C15ci-C15cl-C15n-C15ie-C15ch	C1d/C42.2-C1-C3cg	C31/C17d-C21-C31.9-C21ac-C17e-C31h-C31i	C1d	C31/C17d-C21-C31a-C21ac-C31.9-C17e	C17d/C31-C21-C21ac-C17e-C17f-C31.9	C1d/C42.2/C1-C1k-C1b	C31/C17d-C31.1-C21-C31a-C31f-C21ac-C17e-C31j	C1d/C42.2/C1	C31/C17d-C21-C21ac-C17e-C31a-C17f	C31/C17d-C21-C21ac-C31k-C31.9-C17f	C1d-C1di-C42.2-C1dx-C1	C1d/C15	C17d/C31-C21-C17e-C21ac-C17f-C17g	C31/C17d-C21-C21ac-C31.9	C31-C17d-C31.1-C21-C31a-C17e-C21ac	C31/C17d/C21-C31.9-C31.5-C21ac-C31a	C3/C1	C31	C15	C17d	C42a/C1/C42.2-C42b-C1az-C1b-C1au-C115l	C31/C17d/C15-C21-C21ac-C17e	C31/C17d-C21-C21ac-C31k-C31.9	C3	C31/C17d-C21-C21ac-C17e	C31/C17d-C21	C15-C15n-C15cf-C15ce-C15hd	C1d/C31/C21	C3u/C3	C15-C15ci-C15cj-C15cm-C15ch	C31/C17d-C21-C21ac	C31/C17d-C21-C31a-C21ac	C15/C15ch	C3-C1bp-C3dg-C3df-C3dh	C15/C15bc	C1d/C1/C42.2-C1b-C3cg-C3-C45c	C15-C15cl-C15cj-C15n-C15l	C21ar	C15/C31/C17d-C21	C1d/C15/C1-C42.2	C42a/C1-C42.2-C42b-C1az-C1b-C1au-C1j	C31/C17d-C31.1	C17d/C31-C21-C21ac-C17f	C15h/C3	D4/D1/D6-D1ab-D3h	D4/D1-D6-D1ab-D17d-D17j-D3h	D1/D4/D6/D1ab	D1/D4/D6	D1/D4-D6-D1ab-D3h-D4d	D4/D6
133433	82_25_t0	0	6572.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133228	28_HIMB_t3	0	13347.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133226	28_HIMB_t1	0	14293.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
