ITS2 type profile UID		98519	98623	98616	98521	98042	98518	98026	97789	98113	98622	98621	97968	98520	98066	98111	98112	97809	98517	97808	97810	98619	98028	98128	98527	98104	98309	98249	98240	98654	98659	
Clade		C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	
Majority ITS2 sequence		C31/C17d	C31	C31/C17d	C17d/C31	C31/C17d	C31	C31/C17d	C17d/C31	C31	C31	C31/C17d	C3/C1	C31/C17d	C31	C31	C31/C17d/C21	C31	C31	C31	C31	C31	C31/C17d	C31	C31/C17d	C15	D1/D4	D4/D1	D1	D1	D4	
Associated species		None	None	None	None	None	None	None	None	None	None	None	S. goreaui	None	None	None	None	None	None	None	None	None	None	None	None	S. goreaui	"S. glynnii,S. trenchii"	"S. glynnii,S. trenchii"	"S. glynnii,S. trenchii"	"S. glynnii,S. trenchii"	"S. glynnii,S. trenchii"	
ITS2 profile abundance local		101	93	70	58	52	45	42	40	39	36	24	22	21	17	15	15	9	9	4	3	3	3	2	2	1	410	4	1	1	1	
ITS2 profile abundance DB		220	200	148	67	67	125	46	58	58	55	38	143	41	28	20	19	23	12	13	14	15	15	10	36	59	684	165	50	14	230	
ITS2 type profile		C17d/C31-C21-C21ac-C17e-C17f-C31.9	C31/C17d-C21-C31a-C21ac-C31.9-C17e	C31/C17d-C31.1-C21-C31a-C31f-C17e-C21ac-C31j	C17d/C31-C21-C17e-C21ac-C17f-C17g	C31/C17d-C21-C21ac-C31.9	C31/C17d-C21-C31.9-C21ac-C17e-C31h-C17f-C31i	C31/C17d-C21-C21ac-C17e	C17d/C31-C21-C21ac-C17f	C31-C17d-C31.1-C31a-C21-C31f-C31b-C17e	C31/C17d-C21-C21ac-C31.9-C31k	C31/C17d-C21-C21ac-C31k-C17e	C3/C1	C31/C17d-C21-C21ac-C31a-C31.9-C17f	C31-C17d-C31a-C21-C21ac-C31g-C31.9	C31-C17d-C21-C31.1-C21ac-C31f-C31a-C31j	C31/C17d/C21-C31.9-C31.5-C31a-C21ac	C31/C17d-C21-C31a-C21ac	C31-C17d-C31.1-C21-C31a-C31f-C17e-C21ac	C31/C17d-C21-C21ac	C31-C17d-C31.1-C31a-C21-C17e-C21ac	C31/C17d/C15-C21-C21ac-C17e	C31/C17d-C21	C31/C17d-C31.1	C31/C17d-C21-C21ap-C21ac	C15/C1	D4/D1/D6-D1ab-D3h	D1/D4/D1ab/D6	D1/D4/D6	D1/D4-D6-D1ab-D17d-D1r-D17e-D17c	D1/D4-D6-D1ab-D3h-D4d	
124472	Clo2019_ID447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0
124467	Clo2019_ID442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	
124441	Clo2019_ID419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	
124435	Clo2019_ID411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	
124396	Clo2019_ID368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	
124391	Clo2019_ID362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0	
124218	Clo2019_ID161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	
124016	Clo2017_ID50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	
124200	Clo2019_ID145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	
