sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B1	C31	C17d	C21	C21ac	C31a	C17e	C31.9	C31.1	C31j	C17f	70830_C	70831_C	C31f	C3	42607_C	70840_C	70847_C	C31.10	C21aj	C31k	C21k	70828_C	70821_C	70844_C	C17g	C31i	C31b	70829_C	70921_C	C31h	C31g	C3.14	456029_C	C31.5	42603_C	70932_C	70928_C	C21ap	70826_C	C21.16	42605_C	70841_C	70992_C	71013_C	71566_C	70823_C	70954_C	70827_C	C21ad	C15	70923_C	67859_C	70922_C	456414_C	70848_C	70933_C	1180443_C	51911_C	70875_C	70825_C	68728_C	70925_C	67855_C	480004_C	71170_C	456159_C	456053_C	67869_C	C17	456376_C	71232_C	70930_C	C1	70949_C	70929_C	457831_C	456449_C	1250588_C	1253818_C	1251387_C	70994_C	1180360_C	1336429_C	456034_C	459079_C	1336428_C	464979_C	67866_C	459074_C	1253898_C	456014_C	70906_C	455677_C	456452_C	70956_C	70843_C	468204_C	459329_C	456144_C	1180597_C	1269519_C	460879_C	1336438_C	1253353_C	462842_C	1336423_C	456077_C	1246504_C	1336446_C	1249361_C	1336433_C	70908_C	456082_C	1336441_C	1249659_C	1336470_C	1270149_C	1336457_C	1336432_C	1336430_C	1336451_C	1336439_C	71233_C	456017_C	456039_C	478978_C	456072_C	456435_C	1249589_C	1249193_C	571138_C	70850_C	1336461_C	1250108_C	1336456_C	1252703_C	71028_C	455305_C	1336435_C	1246501_C	1250905_C	455151_C	71011_C	1336464_C	456948_C	1336424_C	456952_C	459315_C	1336467_C	456372_C	456169_C	1336474_C	1336458_C	471793_C	1336442_C	1249203_C	459063_C	C1au	108242_C	1250449_C	1336445_C	1336434_C	70851_C	1246505_C	1180596_C	1336473_C	456817_C	1253305_C	456073_C	C15ce	1336444_C	1336450_C	1336477_C	1336449_C	126441_C	1250884_C	49085_C	460791_C	1259251_C	477965_C	1180414_C	456332_C	1336426_C	1336462_C	48981_C	456365_C	457972_C	469033_C	456147_C	456466_C	1147977_C	1336437_C	70913_C	67874_C	458697_C	1336425_C	456380_C	1336468_C	469958_C	1262015_C	456920_C	1250679_C	1336431_C	71143_C	747364_C	1269207_C	1336454_C	1246503_C	1180404_C	1260686_C	1336480_C	1336469_C	1336443_C	1336460_C	1336459_C	456347_C	1249915_C	459330_C	1263441_C	1336478_C	1336448_C	1336453_C	1336466_C	1336479_C	1251129_C	1250524_C	1336463_C	1336476_C	473565_C	1249332_C	466215_C	1336472_C	1336471_C	70907_C	1249453_C	1249277_C	70912_C	1336475_C	1336436_C	1246526_C	C15eo	D1	D4	D6	D1ab	D3h	70903_D	38566_D	70916_D	70955_D	D4d	5587_D	D17j	D17d	45918_D	1336427_D	70934_D	1336447_D	1336455_D	11467_D	15655_D	10614_D	1336452_D	D1r	1336440_D	53306_D	D1ay	D2.2	11250_D	D17l	D17e	D5m	946_D	D17c	455369_D	1336465_D	D17k	10612_D	26782_D	470665_D	455581_D	F3.1
124472	Clo2019_ID447	Clo2019_ID447_R1.fastq.gz	13a82c3f2c1c9119c094667671cdd495cb71e0b4ce9ca9d0d00b000b0dabfb64	Clo2019_ID447_R2.fastq.gz	5bb8c1c6418da5d07aa0f6b1c1a5d2797523957d5b573666a9e47d6f3bf9d7e3	363	252	7	252	7	0	0	0	0	252	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	101	42	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124467	Clo2019_ID442	Clo2019_ID442_R1.fastq.gz	c734707f71de1cda5adccca0332de0e97a4f0ca45152430bddd51cdd2e70bf1f	Clo2019_ID442_R2.fastq.gz	929c90de7a464fa30ed9ef55159c7a43eb0d2cb2fa990c91df4bce6745433cf3	364	233	6	233	6	0	0	0	0	233	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	76	40	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124441	Clo2019_ID419	Clo2019_ID419_R1.fastq.gz	82ddf0f978879b5060167624ee27dfa5e619c8a0a5fd01411a9dd99f3a978e08	Clo2019_ID419_R2.fastq.gz	c059254f335132608c0e6a9b1072e593d4e5dbffbe4340ac82cb352d237636f8	499	317	8	317	8	0	0	0	0	317	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	109	69	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124435	Clo2019_ID411	Clo2019_ID411_R1.fastq.gz	6c0d962e6b3eeb2667fcb0fae8d4460d5427860b0c126b1426a957bad2463b7d	Clo2019_ID411_R2.fastq.gz	80869330d12c431a31c0487d3b5eec6f4bfd7804aabb02861fedb7c2e8261dea	371	244	8	244	8	0	0	0	0	241	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	84	48	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124396	Clo2019_ID368	Clo2019_ID368_R1.fastq.gz	fb284b36a6e6c33c6826eb8db8a71435e2b6bc8ff73dc7433e0d5b2db9bc5928	Clo2019_ID368_R2.fastq.gz	384f3ffd57455aa25c9928f25c2d7fa8400a02eb115f2a073028c225d3937356	430	275	8	275	8	0	0	0	0	272	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	88	46	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124391	Clo2019_ID362	Clo2019_ID362_R1.fastq.gz	c4f51612d6fbae774c6432d8e44ff1b9f57be2b9ae6280211b618297fba62b18	Clo2019_ID362_R2.fastq.gz	7e3aa22aad8ca55316fc8a9545f2be1fec2d20f135ca42eefe4b5089603c6927	472	306	9	306	9	0	0	0	0	303	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	109	56	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124218	Clo2019_ID161	Clo2019_ID161_R1.fastq.gz	eb738a70e4d2cd88c796d788f1df372ed6fdbe70aa1512e1a6df3f2cb3664ff5	Clo2019_ID161_R2.fastq.gz	13ac7b8917567640f5357915a50ba8cab473cfcd8eecb13b6721e6705bdab53b	341	229	9	229	9	0	0	0	0	223	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	82	41	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124016	Clo2017_ID50	Clo2017_ID50_R1.fastq.gz	f0571e717d70cc3177ad82485dfea66baf3d7cfd9ca6ac9dce6e8b9398baf9b3	Clo2017_ID50_R2.fastq.gz	67b9ac0d26c08e0ae0465552f3c7b58a0267234e74c9748e489692f99f5a039c	510	300	9	300	9	0	0	0	0	297	5	0	0	0	0	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	101	67	19	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124200	Clo2019_ID145	Clo2019_ID145_R1.fastq.gz	f06554c5e3eeef4429c521ecb18c724e7e2d37200ce501ba75f3d374ec46bf69	Clo2019_ID145_R2.fastq.gz	34e02d20dda9510fa83fa6e693fbe37bf653dfdadaeaf498c02ad56ae596aa32	830	572	13	572	13	0	0	0	0	566	6	0	0	0	4	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	228	90	30	19	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124459	Clo2019_ID435	Clo2019_ID435_R1.fastq.gz	1fc9f698a25baff7281ff6c830a0b8b813f73219595e917d8685c0053c632b26	Clo2019_ID435_R2.fastq.gz	a4941c0d0a821f775b064785a3a3f6269657741d8a7e7e5faa37f6fc5650f331	629	432	10	432	10	0	0	0	0	429	6	0	0	0	4	0	0	0	0	0	NoData	NoData	NoData	NoData	NoData	Montipora	Capitata	999	999	NoData	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	146	74	23	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
