ITS2 type profile UID		128171	126793	126942	128211	126826	126857	126865	126811	126834	128197	127136	127499	127930	127500	127609	127899	127900	127453	127944	127928	127084	127423	127428	127080	127095	127107	127237	127501	127392	127137	127929	127438	127322	128220	127458	127224	127610	127845	127764	127725	127716	127667	127831	127719
Clade		A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D
Majority ITS2 sequence		A1	A1	A1/A1gb	A1	A1	A1ee	A1	A1	A1	C3ae	C3ae/C3f	C3g/C3/C3f	C1	C3ae	C3bj	C1	C1	C3	C3ae/C1	C1	C1	C116	C116	C1	C1	C3v	C3	C3ae	C3	C1	C1	C1	C1	C1	C3	C21	C115k	D1	D1/D2d	D1	D1	D1	D6	D1
Associated species		S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	None	None	S. goreaui	None	None	S. goreaui	S. goreaui	None	S. goreaui	S. goreaui	S. goreaui	None	None	S. goreaui	S. goreaui	S. goreaui	None	None	None	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	None	None	None	S. glynnii,S. trenchii	S. glynnii	S. trenchii	S. glynnii	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		63	19	10	3	3	1	1	1	1	16	13	10	9	8	6	5	5	5	4	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	15	11	5	4	1	1	1
ITS2 profile abundance DB		63	322	10	17	5	10	13	37	48	17	16	40	789	40	6	79	202	60	6	251	38	12	42	58	78	9	68	23	40	30	39	77	138	41	107	40	3	79	11	92	42	21	124	17
ITS2 type profile		A1-A1gb-A1ee-A1gc	A1	A1/A1gb-A1ee	A1-A1ee	A1-A1ac-A1bn	A1ee-A1cl-A1-A1en	A1-A1eq-A1ep	A1/A1g	A1-A1z	C3ae	C3ae/C3f-C3-C3bj-C3p	C3g/C3f/C3ae/C3-C3h-C3bj-C3j	C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C72k	C3ae-C3f-C3bj-C3-C3h-C3p-C3j-C3ch	C3bj	C1-C1c-C1am-C1ao-C1an-C1b-C3cm-C42.2	C1/C3-C1c-C1b-C1w-C42.2	C3/C21	C3ae/C1-C3f-C3-C3bj-C3p	C1/C1c/C3-C1b-C72k	C1/C1c-C1b	C116-C116i-C116q	C116	C1	C1/C1c	C3/C3v/C1-C1q-C1n	C3	C3ae-C3f-C3g-C3bj-C3-C3h-C3j-C3p	C3u/C3	C1/C42.2	C1-C1c-C1al-C72k	C15/C1	C3/C1	C1/C3/C42.2/C1b	C3/C3.10	C21	C115k	D1-D4-D6-D1b-D1d-D6c-D2.2-D2	D1/D2d-D1ct	D1-D1u-D2-D4-D2.2	D1/D2d	D1/D4/D6-D2.2-D2	D1/D6-D4-D4c-D1d-D6c	D1/D2d/D6-D4
134562	230Mc2	14145.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134559	226Mc2	33585.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134468	266Mc	6926.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
