sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A1gb	A1ee	A1gc	3283_A	A1cl	7561_A	1890_A	A1bv	443458_A	54511_A	73370_A	40178_A	200452_A	A1g	9345_A	1767161_A	6731_A	76466_A	A1z	73416_A	1767146_A	922_A	3265_A	2479_A	A1bw	A1en	1017_A	1767175_A	A1bx	7164_A	57992_A	A1bn	A1ac	1767168_A	A1ep	1752220_A	1438_A	A1eq	A1do	A1cj	2762_A	1478_A	72717_A	1477_A	2357_A	1767180_A	B1	C3ae	C1	C3	C3f	C3g	C3bj	C1c	C21	C3p	C21.12	C3gj	C3.10	C3h	C1b	C3k	C50f	C3cv	240_C	C3fk	54_C	56_C	C3j	181_C	76_C	66_C	C3ch	C3gl	C3.11	C1al	C3fj	C3cp	C42.2	C3hv	C3b	33_C	70_C	63351_C	65_C	C3ba	C72k	C3.9	48_C	C1bh	152_C	63_C	884538_C	834_C	44_C	143_C	40_C	C1br	78_C	C1w	C116	51_C	C3ew	38_C	43_C	849_C	34_C	52_C	39_C	891932_C	C1cb	75_C	53_C	4134_C	140_C	C3fv	47_C	62_C	175_C	C3cg	C3v	55_C	69_C	644346_C	1767167_C	C1cu	21064_C	397_C	550_C	C1n	348_C	C1h	C115k	73651_C	412_C	169_C	C116ag	C1q	33162_C	C1bc	C116af	33161_C	C1cv	C42au	C116i	21507_C	243_C	49_C	C1t	23090_C	21049_C	6145_C	C41p	256_C	21077_C	C116q	142_C	42_C	33163_C	21513_C	C1j	639_C	21508_C	33180_C	C3cm	32968_C	13926_C	21063_C	57_C	58_C	33802_C	C15	C3az	33171_C	46465_C	99_C	746452_C	C1ao	917974_C	13928_C	23143_C	C1x	C1am	753639_C	73381_C	265082_C	C1an	753687_C	C116e	36147_C	21062_C	C39	33809_C	C1a	864_C	1500390_C	6124_C	64_C	23091_C	C116n	746241_C	866_C	744265_C	40474_C	57558_C	33097_C	914781_C	21042_C	1830_C	6128_C	36390_C	46470_C	744079_C	753853_C	879_C	37402_C	39714_C	32995_C	15255_C	C93b	71950_C	460_C	15254_C	67_C	17032_C	C3u	10123_C	11259_C	21085_C	1767185_C	14726_C	62459_C	C3cy	33164_C	21053_C	51175_C	375_C	1119_C	123346_C	1767174_C	6150_C	590473_C	C42ao	792311_C	1767184_C	45_C	61_C	D1	D6	D4	D1d	D2d	D2.2	D1b	D6c	D2	46471_D	D1u	32604_D	46467_D	46468_D	D1ct	21127_D	46469_D	1767151_D	70051_D	D4d	1767148_D	1767150_D	1767160_D	D1bo	D4c	25762_D	1767166_D	506682_D	1767155_D	24647_D	D1aa	508233_D	725200_D	350196_D	D2e	1767163_D	1767181_D	D2c	3310_D	350183_D	7487_D	11473_D	14506_D	1661_D	1767164_D	62641_D	1767165_D	1767169_D	350270_D	61929_D	D1z	1767178_D	664397_D	4121_D	641989_D	1767171_D	1767179_D	19653_D	61760_D	485360_D	1767170_D	62184_D	1767172_D	350451_D	D1bp	172342_D	1662_D	488698_D	1767182_D	10157_D	1767183_D	1176153_D	10557_D	1767173_D	15547_D	350378_D	14166_D	350557_D	1587526_D	14473_D	873419_D	13860_D	1501693_D	D4j	46489_D	22785_D	D5	73452_D	D17d	41663_D	2102_D	2131_D	D17e	D17c	6884_D	1738_D	2795_D	13959_D	D1x	3296_D	D1n	1767158_D	1767156_D	D17l	10614_D	908_D	D17k	D17j	10616_D	1767157_D	10612_D	946_D	11053_D	558349_D	D5m	443218_D	726431_D	1692_D	D1by	53304_D	1767159_D	2897_D	2899_D	1767145_D	1767149_D	12509_D	876240_D	1767152_D	1161198_D	1742_D	D10	42748_D	65168_D	1767153_D	230111_D	502896_D	21691_D	1767162_D	937533_D	19898_D	4935_D	762327_D	1668_D	1767147_D	56858_D	133733_D	13597_D	53106_D	8837_D	1767154_D	12425_D	G3a	G3ai	483427_G	1767176_G	481256_G	1767177_G
134562	230Mc2	230Mc2_S11_L001_R1_001.fastq.gz	33cd74bdb35514b8e10e78bea4fe7d2d2062261fcfd0b0bfcb200986db0ad099	230Mc2_S11_L001_R2_001.fastq.gz	cef7ea6a35b3be1ef24fab555ca8727793153bb7ba751c3cf397493582bc1892	24818	14366	145	14359	143	0	0	7	2	14165	6	0	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	12659	927	416	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134559	226Mc2	226Mc2_S8_L001_R1_001.fastq.gz	1bf219f3c52ad8a73bd54ea8fad2da1452c4dd3208ac51db79599ceb13a0dfef	226Mc2_S8_L001_R2_001.fastq.gz	9519808e5cfeea44a68f987e6fd5df36c2321f998a9ac8bd86ba71b9ed25d82e	45822	34377	301	34377	301	0	0	0	0	33886	7	290	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	30719	1375	1137	354	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134468	266Mc	266Mc_S48_L001_R1_001.fastq.gz	64b0150994cddb8e56b5bdcc9afc33165ef586ebb273e88832ed58dbc712e17b	266Mc_S48_L001_R2_001.fastq.gz	24fc4fcf586fab2d4066c19fc3f157eeeed63c4d8bc02ecd64b866499fa42801	8479	7083	80	7083	80	0	0	0	0	6992	5	66	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	5916	811	138	61	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134552	214Mc2	214Mc2_S1_L001_R1_001.fastq.gz	47e4c386a0345a0282cd77fff4cfa615648e013957a3bdeaf47cfcfef3cef0d7	214Mc2_S1_L001_R2_001.fastq.gz	ee45f69da10c5dc2eb19b7adef552a1fb8953a2423ea220e0c089cecd54f4da3	85251	64422	449	64422	449	0	0	0	0	63431	6	616	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	56637	3113	2269	791	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134445	22NBOb	22NBOb_S139_L001_R1_001.fastq.gz	9b51aed9824fce1f0a372950c934a57a85a7dc85ae2b4500ea6d946b24bb7b07	22NBOb_S139_L001_R2_001.fastq.gz	ca7834b97e5147892b7e4e5718ba97b7b20a531833409f74677bda35da6d3ebb	81331	71614	543	71611	542	0	0	3	1	70157	13	398	0	7	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	1	61791	4760	2180	661	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134568	252Mc2	252Mc2_S17_L001_R1_001.fastq.gz	65910bfee9e2637b91a75feb868203b31858d3f5b99657307f8dc229e0867dd4	252Mc2_S17_L001_R2_001.fastq.gz	493aa132eb3b269e9d1ed3e376184ca8ce1c093f2f43c7b94069045ac37a6890	151208	113384	571	113384	571	0	0	0	0	112152	7	1250	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	99778	7924	2417	774	1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134442	228Mc	228Mc_S86_L001_R1_001.fastq.gz	f513c0bb20bbcdef6baab64ca5bd4b0cca1dcc20d4c33a92ea29864730cc63af	228Mc_S86_L001_R2_001.fastq.gz	6a7e3295b64d6db6457e79729078178c9cc1a7ffc14ea4be7addc4d9e2d55e46	13434	11401	113	11401	113	0	0	0	0	11271	5	129	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	9603	1233	225	81	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134555	218Mc2	218Mc2_S4_L001_R1_001.fastq.gz	1898403426e24d348776f297cb3901863d6fa8585d339761ce7628de1fd1308e	218Mc2_S4_L001_R2_001.fastq.gz	6acf04e261f575106b2a7d16f1ea296d5562ce0c0f7d7132aa780b7a48e14184	23720	17443	144	17443	144	0	0	0	0	17285	5	198	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	15860	705	400	122	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134434	215Mc	215Mc_S85_L001_R1_001.fastq.gz	6c905b6d5ce2549de0fd9009365099ce57b21aa11c36a870c79e167446a4b54e	215Mc_S85_L001_R2_001.fastq.gz	585229c790fa7960fd1501d110e368211721cabde7d03e8b4151e7639fdc9c9f	784484	675432	1843	675425	1842	0	0	7	1	663665	14	7776	0	16	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	582071	55611	12047	6083	7776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	15	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134446	248Mc	248Mc_S70_L001_R1_001.fastq.gz	a09428bf1678d85fa2232e01f20e94ae200aff46a6bbdc8b28002717e6e86a61	248Mc_S70_L001_R2_001.fastq.gz	9b5da643fc2f637dc877f90c549220f3f9fa1f3713eac21318cb3e1bd14d0c6a	44630	38813	357	38813	357	0	0	0	0	38287	7	443	0	0	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidae	acropora	hyacinthus	999.00000000	999.00000000	NoData	5	33991	2725	843	273	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
