index,sample_name,host_genus_meta,host_species_meta,published
S9_1,B7_S19,porites,lobata,y
S9_1,D6_S42,porites,lobata,y
S9_1,B10_S22,porites,lobata,y
S9_1,D10_S46,porites,lobata,y
S9_1,D5_S41,porites,lobata,y
S9_1,C6_S30,porites,lobata,y
S9_1,E6_S54,porites,lobata,y
S9_1,E4_S52,porites,lobata,y
S9_1,B1_S13,porites,lobata,y
S9_1,C7_S31,porites,lobata,y
S9_1,B4_S16,porites,lobata,y
S9_1,E2_S50,porites,lobata,y
S9_1,B3_S15,porites,lobata,y
S9_1,C9_S33,porites,lobata,y
S9_1,C5_S29,porites,lobata,y
S9_1,A10_S10,porites,lobata,y
S9_1,B12_S24,porites,lobata,y
S9_1,H1_S85,porites,lobata,y
S9_1,B2_S14,porites,lobata,y
S9_1,C11_S35,porites,lobata,y
S9_1,C10_S34,porites,lobata,y
S9_1,C12_S36,porites,lobata,y
S9_1,D1_S37,porites,lobata,y
S9_1,E7_S55,porites,lobata,y
S9_1,D7_S43,porites,lobata,y
S9_1,A7_S7,porites,lobata,y
S9_1,A2_S2,porites,lobata,y
S9_1,A6_S6,porites,lobata,y
S9_1,C8_S32,porites,lobata,y
S9_1,D2_S38,porites,lobata,y
S9_1,D12_S48,porites,lobata,y
S9_1,F8_S68,porites,lobata,y
S9_1,F1_S61,porites,lobata,y
S9_1,F6_S66,porites,lobata,y
S9_1,E1_S49,porites,lobata,y
S9_1,B5_S17,porites,lobata,y
S9_1,E11_S59,porites,lobata,y
S9_1,B9_S21,porites,lobata,y
S9_1,D11_S47,porites,lobata,y
S9_1,E10_S58,porites,lobata,y
S9_1,B8_S20,porites,lobata,y
S9_1,C1_S25,porites,lobata,y
S9_1,C2_S26,porites,lobata,y
S9_1,C3_S27,porites,lobata,y
S9_1,A3_S3,porites,lobata,y
S9_1,D3_S39,porites,lobata,y
S9_1,A9_S9,porites,lobata,y
S9_1,F2_S62,porites,lobata,y
S9_1,F11_S71,porites,lobata,y
S9_1,A12_S12,porites,lobata,y
S9_1,A11_S11,porites,lobata,y
S9_1,A4_S4,porites,lobata,y
S9_1,F9_S69,porites,lobata,y
S9_1,F4_S64,porites,lobata,y
S9_1,G1_S73,porites,lobata,y
S9_1,F5_S65,porites,lobata,y
S9_1,E3_S51,porites,lobata,y
S9_1,A8_S8,porites,lobata,y
S9_1,E12_S60,porites,lobata,y
S9_1,E5_S53,porites,lobata,y
S9_1,E8_S56,porites,lobata,y
S9_1,C4_S28,porites,lobata,y
S9_1,B6_S18,porites,lobata,y
S9_1,D4_S40,porites,lobata,y
S9_1,D8_S44,porites,lobata,y
S9_1,F3_S63,porites,lobata,y
S9_1,B11_S23,porites,lobata,y
S9_1,D9_S45,porites,lobata,y
S9_1,F7_S67,porites,lobata,y
S9_1,F10_S70,porites,lobata,y
S9_1,E9_S57,porites,lobata,y
