index,sample_name,host_genus_meta,host_species_meta,published
S12,U107A,,,y
S12,U105A,,,y
S12,U6A,,,y
S12,U20A,,,y
S12,M11A,,,y
S12,U69,,,y
S12,U38,,,y
S12,U91,,,y
S12,U106,,,y
S12,U20T,,,y
S12,M11T,,,y
S12,U101T,,,y
S12,U38T,,,y
S12,U91A,,,y
S12,U106A,,,y
S12,M21,,,y
S12,U9A,,,y
S12,U67,,,y
S12,M18A,,,y
S12,U37A,,,y
S12,U107T,,,y
S12,U104A,,,y
S12,U105,,,y
S12,U69T,,,y
S12,U105T,,,y
S12,U40T,,,y
S12,U9T,,,y
S12,U9,,,y
S12,U91T,,,y
S12,U107,,,y
S12,U67T,,,y
S12,U69A,,,y
S12,U40A,,,y
S12,U104,,,y
S12,U38A,,,y
S12,M18T,,,y
S12,U104T,,,y
S12,U67A,,,y
S12,U63A,,,y
S12,U63,,,y
S12,M20T,,,y
S12,M21T,,,y
S12,U40,,,y
S12,M21A,,,y
S12,M20A,,,y
S12,M9T,,,y
S12,U106T,,,y
S12,U101A,,,y
S12,U63T,,,y
S12,U37T,,,y
S12,M9A,,,y
S12,M9,,,y
S12,U6,,,y
S12,U37,,,y
