index,sample_name,host_genus_meta,host_species_meta,published
S9_2,MVDs0,porites,lobata,y
S9_2,HVEt0,porites,lobata,y
S9_2,MVCs0,porites,lobata,y
S9_2,HVDt0,porites,lobata,y
S9_2,LVAs0,porites,lobata,y
S9_2,HVDs0,porites,lobata,y
S9_2,LVEs0,porites,lobata,y
S9_2,LVEt0,porites,lobata,y
S9_2,HVCs0,porites,lobata,y
S9_2,LVAt0,porites,lobata,y
S9_2,MVEs0,porites,lobata,y
S9_2,MVBt0,porites,lobata,y
S9_2,MVEt0,porites,lobata,y
S9_2,LVDt0,porites,lobata,y
S9_2,LVBt0,porites,lobata,y
S9_2,LVBs0,porites,lobata,y
S9_2,LVCt0,porites,lobata,y
S9_2,LVCs0,porites,lobata,y
S9_2,HVAs0,porites,lobata,y
S9_2,LVDs0,porites,lobata,y
S9_2,HVEs0,porites,lobata,y
S9_2,HVAt0,porites,lobata,y
S9_2,MVAs0,porites,lobata,y
S9_2,HVBt0,porites,lobata,y
S9_2,HVBs0,porites,lobata,y
S9_2,MVAt0,porites,lobata,y
S9_2,MVCt0,porites,lobata,y
S9_2,HVFt15,goniastrea,retiformis,n
S9_2,HVJs0,goniastrea,retiformis,n
S9_2,HVCt0,porites,lobata,y
S9_2,MVBs0,porites,lobata,y
S9_2,HVJt0,goniastrea,retiformis,n
S9_2,MVIt15,goniastrea,retiformis,n
S9_2,MVIs15,goniastrea,retiformis,n
S9_2,MVHt15,goniastrea,retiformis,n
S9_2,MVHs15,goniastrea,retiformis,n
S9_2,MVGt15,goniastrea,retiformis,n
S9_2,MVGs15,goniastrea,retiformis,n
S9_2,MVFt15,goniastrea,retiformis,n
S9_2,MVFs15,goniastrea,retiformis,n
S9_2,MVDt0,porites,lobata,y
S9_2,LVJt15,goniastrea,retiformis,n
S9_2,LVJs15,goniastrea,retiformis,n
S9_2,LVIt15,goniastrea,retiformis,n
S9_2,LVIs15,goniastrea,retiformis,n
S9_2,LVHt15,goniastrea,retiformis,n
S9_2,LVHs15,goniastrea,retiformis,n
S9_2,LVGt15,goniastrea,retiformis,n
S9_2,LVGs15,goniastrea,retiformis,n
S9_2,LVFt15,goniastrea,retiformis,n
S9_2,LVFs15,goniastrea,retiformis,n
S9_2,HVIt15,goniastrea,retiformis,n
S9_2,HVIs15,goniastrea,retiformis,n
S9_2,HVHt15,goniastrea,retiformis,n
S9_2,HVHs5,goniastrea,retiformis,n
S9_2,HVGt15,goniastrea,retiformis,n
S9_2,HVGs15,goniastrea,retiformis,n
S9_2,HVFs15,goniastrea,retiformis,n
